% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.5203,0,0,0.31107,0,-0.45608,0.40549,2.1829
0,-1.3171,0,0,0.37203,0,-0.39512,0.48495,1.8912
0,-1.2635,0,0,0.38811,0,-0.37905,0.5059,1.8142
1.5868e-14,-1.3217,0,0,0.37063,0,-0.39652,0.48313,1.8979
0,-1.1558,0,0,0.42043,0,-0.34673,0.54804,1.6595
1.5868e-14,-1.5721,0,0,0.29552,0,-0.47163,0.38522,2.2574
1.5868e-14,-1.4751,0,0,0.32461,0,-0.44254,0.42314,2.1181
-1.5868e-14,-1.0517,0,0,0.45163,0,-0.31552,0.58871,1.5102
-1.5868e-14,-1.2021,0,0,0.40651,0,-0.36064,0.52989,1.7262
0,-1.2513,0,0,0.39176,0,-0.37539,0.51067,1.7967
1.5868e-14,-1.2434,0,0,0.39413,0,-0.37302,0.51376,1.7854
0,-1.1724,0,0,0.41543,0,-0.35172,0.54152,1.6835
1.5868e-14,-1.1281,0,0,0.42871,0,-0.33844,0.55883,1.6199
-1.5868e-14,-1.2055,0,0,0.4055,0,-0.36166,0.52857,1.731
0,-1.1626,0,0,0.41838,0,-0.34878,0.54536,1.6694
1.5868e-14,-1.4363,0,0,0.33626,0,-0.43089,0.43832,2.0624
3.1736e-14,-1.4015,0,1.4827e-14,0.3467,0,-0.42046,0.45193,2.0124
0,-1.1543,0,0,0.42086,0,-0.34629,0.5486,1.6574
1.5868e-14,-1.3558,0,0,0.36041,0,-0.40674,0.4698,1.9468
0,-1.229,0,0,0.39846,0,-0.36869,0.51941,1.7647
0,-1.536,0,0,0.30637,0,-0.46079,0.39935,2.2055
-1.5868e-14,-1.4253,0,0,0.33956,0,-0.4276,0.44262,2.0466
3.1736e-14,-1.1162,0,1.4827e-14,0.4323,0,-0.33486,0.56351,1.6027
-1.5868e-14,-1.3036,0,0,0.37606,0,-0.39109,0.4902,1.8719
0,-1.5811,0,0,0.29282,0,-0.47433,0.3817,2.2703
0,-1.2378,0,0,0.39581,0,-0.37134,0.51595,1.7774
-1.5868e-14,-1.1426,0,0,0.42437,0,-0.34278,0.55318,1.6406
1.5868e-14,-1.2817,0,0,0.38265,0,-0.3845,0.49879,1.8403
-3.1736e-14,-1.4042,0,0,0.3459,0,-0.42125,0.45089,2.0162
1.5868e-14,-1.1606,0,0,0.41896,0,-0.34819,0.54612,1.6666
0,-1.859,0,0,0.20946,0,-0.55769,0.27304,2.6693
1.5868e-14,-1.0109,0,0,0.46388,0,-0.30328,0.60467,1.4516
-1.5868e-14,-1.2386,0,0,0.39559,0,-0.37157,0.51565,1.7784
1.5868e-14,-1.4557,0,0,0.33045,0,-0.4367,0.43075,2.0902
-1.5868e-14,-1.6664,0,0,0.26723,0,-0.49992,0.34834,2.3928
1.5868e-14,-1.3569,0,0,0.3601,0,-0.40706,0.46939,1.9483
1.5868e-14,-1.4728,0,0,0.32532,0,-0.44184,0.42406,2.1148
-1.5868e-14,-1.041,0,0,0.45484,0,-0.31231,0.5929,1.4948
