% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-373.71,0,0,76.469,0,-112.11,0.40549,536.61
0,-323.77,0,0,91.453,0,-97.13,0.48495,464.89
0,-310.59,0,0,95.405,0,-93.178,0.5059,445.98
1.5868e-14,-324.91,0,0,91.11,0,-97.473,0.48313,466.54
0,-284.11,0,0,103.35,0,-85.233,0.54804,407.95
1.5868e-14,-386.46,0,0,72.645,0,-115.94,0.38522,554.91
1.5868e-14,-362.62,0,0,79.797,0,-108.79,0.42314,520.68
-1.5868e-14,-258.54,0,0,111.02,0,-77.562,0.58871,371.23
-1.5868e-14,-295.51,0,0,99.929,0,-88.654,0.52989,424.33
0,-307.6,0,0,96.303,0,-92.28,0.51067,441.68
1.5868e-14,-305.65,0,0,96.887,0,-91.696,0.51376,438.89
0,-288.21,0,0,102.12,0,-86.462,0.54152,413.83
1.5868e-14,-277.32,0,0,105.39,0,-83.197,0.55883,398.2
-1.5868e-14,-296.34,0,0,99.68,0,-88.903,0.52857,425.52
0,-285.79,0,0,102.85,0,-85.737,0.54536,410.36
1.5868e-14,-353.08,0,0,82.66,0,-105.92,0.43832,506.98
3.1736e-14,-344.53,0,1.4827e-14,85.225,0,-103.36,0.45193,494.7
0,-283.75,0,0,103.46,0,-85.126,0.5486,407.44
1.5868e-14,-333.29,0,0,88.597,0,-99.987,0.4698,478.57
0,-302.11,0,0,97.951,0,-90.632,0.51941,433.79
0,-377.57,0,0,75.311,0,-113.27,0.39935,542.15
-1.5868e-14,-350.37,0,0,83.471,0,-105.11,0.44262,503.1
3.1736e-14,-274.38,0,1.4827e-14,106.27,0,-82.315,0.56351,393.98
-1.5868e-14,-320.46,0,0,92.444,0,-96.139,0.4902,460.15
0,-388.67,0,0,71.982,0,-116.6,0.3817,558.09
