% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-431.59,0,0,88.312,0,-129.48,0.40549,619.72
0,-373.91,0,0,105.62,0,-112.17,0.48495,536.89
0,-358.7,0,0,110.18,0,-107.61,0.5059,515.05
1.5868e-14,-375.23,0,0,105.22,0,-112.57,0.48313,538.79
0,-328.11,0,0,119.36,0,-98.433,0.54804,471.13
1.5868e-14,-446.31,0,0,83.896,0,-133.89,0.38522,640.86
1.5868e-14,-418.78,0,0,92.156,0,-125.63,0.42314,601.32
-1.5868e-14,-298.58,0,0,128.22,0,-89.574,0.58871,428.73
-1.5868e-14,-341.28,0,0,115.41,0,-102.38,0.52989,490.04
0,-355.24,0,0,111.22,0,-106.57,0.51067,510.08
1.5868e-14,-352.99,0,0,111.89,0,-105.9,0.51376,506.86
0,-332.84,0,0,117.94,0,-99.852,0.54152,477.92
1.5868e-14,-320.27,0,0,121.71,0,-96.082,0.55883,459.88
-1.5868e-14,-342.24,0,0,115.12,0,-102.67,0.52857,491.42
0,-330.05,0,0,118.77,0,-99.016,0.54536,473.92
1.5868e-14,-407.76,0,0,95.462,0,-122.33,0.43832,585.5
3.1736e-14,-397.88,0,1.4827e-14,98.425,0,-119.37,0.45193,571.32
0,-327.7,0,0,119.48,0,-98.31,0.5486,470.54
1.5868e-14,-384.91,0,0,102.32,0,-115.47,0.4698,552.68
0,-348.9,0,0,113.12,0,-104.67,0.51941,500.98
0,-436.05,0,0,86.975,0,-130.81,0.39935,626.12
-1.5868e-14,-404.64,0,0,96.398,0,-121.39,0.44262,581.02
3.1736e-14,-316.88,0,1.4827e-14,122.73,0,-95.063,0.56351,455
-1.5868e-14,-370.1,0,0,106.76,0,-111.03,0.4902,531.42
0,-448.87,0,0,83.13,0,-134.66,0.3817,644.52
0,-351.41,0,0,112.37,0,-105.42,0.51595,504.58
-1.5868e-14,-324.38,0,0,120.48,0,-97.313,0.55318,465.77
1.5868e-14,-363.86,0,0,108.63,0,-109.16,0.49879,522.46
-3.1736e-14,-398.63,0,0,98.2,0,-119.59,0.45089,572.39
1.5868e-14,-329.5,0,0,118.94,0,-98.85,0.54612,473.12
0,-527.75,0,0,59.465,0,-158.33,0.27304,757.79
1.5868e-14,-286.99,0,0,131.69,0,-86.098,0.60467,412.09
-1.5868e-14,-351.62,0,0,112.3,0,-105.49,0.51565,504.89
1.5868e-14,-413.26,0,0,93.813,0,-123.98,0.43075,593.39
-1.5868e-14,-473.08,0,0,75.865,0,-141.93,0.34834,679.29
1.5868e-14,-385.2,0,0,102.23,0,-115.56,0.46939,553.11
1.5868e-14,-418.12,0,0,92.355,0,-125.43,0.42406,600.37
-1.5868e-14,-295.54,0,0,129.13,0,-88.663,0.5929,424.37
-1.5868e-14,-345.26,0,0,114.21,0,-103.58,0.52442,495.75
1.5868e-14,-377.86,0,0,104.43,0,-113.36,0.47951,542.56
-1.5868e-14,-439.41,0,0,85.968,0,-131.82,0.39473,630.94
0,-390.68,0,0,100.59,0,-117.2,0.46185,560.97
-1.5868e-14,-498.72,0,0,68.174,0,-149.62,0.31303,716.11
1.5868e-14,-454.42,0,0,81.463,0,-136.33,0.37404,652.5
1.5868e-14,-425.61,0,0,90.108,0,-127.68,0.41374,611.12
0,-447.97,0,0,83.399,0,-134.39,0.38293,643.24
-1.5868e-14,-370.85,0,0,106.53,0,-111.26,0.48916,532.5
1.5868e-14,-487.71,0,0,71.477,0,-146.31,0.32819,700.3
-1.5868e-14,-362.31,0,0,109.1,0,-108.69,0.50092,520.24
-1.5868e-14,-417.79,0,0,92.452,0,-125.34,0.4245,599.9
0,-360.67,0,0,109.59,0,-108.2,0.50318,517.89
