% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-568.11,0,0,116.24,0,-170.43,0.40549,815.74
0,-492.18,0,0,139.02,0,-147.65,0.48495,706.71
0,-472.15,0,0,145.03,0,-141.65,0.5059,677.96
1.5868e-14,-493.92,0,0,138.5,0,-148.17,0.48313,709.21
0,-431.89,0,0,157.11,0,-129.57,0.54804,620.15
1.5868e-14,-587.48,0,0,110.43,0,-176.24,0.38522,843.56
1.5868e-14,-551.24,0,0,121.3,0,-165.37,0.42314,791.52
-1.5868e-14,-393.02,0,0,168.77,0,-117.91,0.58871,564.34
-1.5868e-14,-449.23,0,0,151.91,0,-134.77,0.52989,645.04
0,-467.6,0,0,146.4,0,-140.28,0.51067,671.42
1.5868e-14,-464.64,0,0,147.28,0,-139.39,0.51376,667.18
0,-438.12,0,0,155.24,0,-131.44,0.54152,629.09
1.5868e-14,-421.57,0,0,160.2,0,-126.47,0.55883,605.33
-1.5868e-14,-450.49,0,0,151.53,0,-135.15,0.52857,646.85
0,-434.45,0,0,156.34,0,-130.33,0.54536,623.82
1.5868e-14,-536.73,0,0,125.66,0,-161.02,0.43832,770.69
3.1736e-14,-523.73,0,1.4827e-14,129.56,0,-157.12,0.45193,752.02
0,-431.35,0,0,157.27,0,-129.4,0.5486,619.37
1.5868e-14,-506.65,0,0,134.68,0,-152,0.4698,727.5
0,-459.25,0,0,148.9,0,-137.78,0.51941,659.43
0,-573.97,0,0,114.49,0,-172.19,0.39935,824.16
-1.5868e-14,-532.63,0,0,126.89,0,-159.79,0.44262,764.79
3.1736e-14,-417.11,0,1.4827e-14,161.54,0,-125.13,0.56351,598.92
-1.5868e-14,-487.16,0,0,140.53,0,-146.15,0.4902,699.5
0,-590.84,0,0,109.42,0,-177.25,0.3817,848.38
0,-462.56,0,0,147.91,0,-138.77,0.51595,664.18
-1.5868e-14,-426.97,0,0,158.58,0,-128.09,0.55318,613.09
1.5868e-14,-478.95,0,0,142.99,0,-143.68,0.49879,687.71
-3.1736e-14,-524.72,0,0,129.26,0,-157.42,0.45089,753.44
1.5868e-14,-433.72,0,0,156.56,0,-130.12,0.54612,622.77
0,-694.68,0,0,78.273,0,-208.4,0.27304,997.48
1.5868e-14,-377.77,0,0,173.35,0,-113.33,0.60467,542.44
-1.5868e-14,-462.84,0,0,147.83,0,-138.85,0.51565,664.58
