% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-649.26,0,0,132.85,0,-194.78,0.40549,932.27
0,-562.49,0,0,158.88,0,-168.75,0.48495,807.67
0,-539.6,0,0,165.75,0,-161.88,0.5059,774.81
1.5868e-14,-564.48,0,0,158.29,0,-169.34,0.48313,810.52
0,-493.59,0,0,179.55,0,-148.08,0.54804,708.74
1.5868e-14,-671.41,0,0,126.21,0,-201.42,0.38522,964.07
1.5868e-14,-629.99,0,0,138.63,0,-189,0.42314,904.59
-1.5868e-14,-449.17,0,0,192.88,0,-134.75,0.58871,644.95
-1.5868e-14,-513.4,0,0,173.61,0,-154.02,0.52989,737.19
0,-534.4,0,0,167.31,0,-160.32,0.51067,767.34
1.5868e-14,-531.02,0,0,168.32,0,-159.31,0.51376,762.49
0,-500.71,0,0,177.42,0,-150.21,0.54152,718.96
1.5868e-14,-481.8,0,0,183.09,0,-144.54,0.55883,691.81
-1.5868e-14,-514.85,0,0,173.18,0,-154.45,0.52857,739.26
0,-496.51,0,0,178.68,0,-148.95,0.54536,712.94
1.5868e-14,-613.41,0,0,143.61,0,-184.02,0.43832,880.79
3.1736e-14,-598.55,0,1.4827e-14,148.06,0,-179.57,0.45193,859.45
0,-492.97,0,0,179.74,0,-147.89,0.5486,707.85
1.5868e-14,-579.03,0,0,153.92,0,-173.71,0.4698,831.42
0,-524.86,0,0,170.17,0,-157.46,0.51941,753.64
0,-655.97,0,0,130.84,0,-196.79,0.39935,941.89
-1.5868e-14,-608.72,0,0,145.02,0,-182.61,0.44262,874.05
3.1736e-14,-476.69,0,1.4827e-14,184.62,0,-143.01,0.56351,684.48
-1.5868e-14,-556.75,0,0,160.61,0,-167.03,0.4902,799.43
0,-675.25,0,0,125.06,0,-202.57,0.3817,969.58
0,-528.64,0,0,169.04,0,-158.59,0.51595,759.06
-1.5868e-14,-487.97,0,0,181.24,0,-146.39,0.55318,700.67
1.5868e-14,-547.37,0,0,163.42,0,-164.21,0.49879,785.96
-3.1736e-14,-599.68,0,0,147.73,0,-179.9,0.45089,861.07
1.5868e-14,-495.68,0,0,178.93,0,-148.7,0.54612,711.74
0,-793.92,0,0,89.455,0,-238.17,0.27304,1140
1.5868e-14,-431.74,0,0,198.11,0,-129.52,0.60467,619.93
-1.5868e-14,-528.95,0,0,168.94,0,-158.69,0.51565,759.52
1.5868e-14,-621.68,0,0,141.13,0,-186.5,0.43075,892.66
-1.5868e-14,-711.68,0,0,114.13,0,-213.5,0.34834,1021.9
1.5868e-14,-579.47,0,0,153.79,0,-173.84,0.46939,832.06
1.5868e-14,-628.99,0,0,138.93,0,-188.7,0.42406,903.16
-1.5868e-14,-444.6,0,0,194.25,0,-133.38,0.5929,638.39
-1.5868e-14,-519.38,0,0,171.82,0,-155.82,0.52442,745.78
1.5868e-14,-568.42,0,0,157.1,0,-170.53,0.47951,816.19
-1.5868e-14,-661.02,0,0,129.32,0,-198.31,0.39473,949.15
0,-587.71,0,0,151.32,0,-176.31,0.46185,843.89
-1.5868e-14,-750.25,0,0,102.56,0,-225.07,0.31303,1077.3
1.5868e-14,-683.61,0,0,122.55,0,-205.08,0.37404,981.59
1.5868e-14,-640.26,0,0,135.55,0,-192.08,0.41374,919.34
0,-673.9,0,0,125.46,0,-202.17,0.38293,967.65
-1.5868e-14,-557.89,0,0,160.26,0,-167.37,0.48916,801.07
1.5868e-14,-733.68,0,0,107.53,0,-220.1,0.32819,1053.5
-1.5868e-14,-545.04,0,0,164.12,0,-163.51,0.50092,782.62
-1.5868e-14,-628.5,0,0,139.08,0,-188.55,0.4245,902.46
0,-542.58,0,0,164.86,0,-162.77,0.50318,779.08
0,-402.28,0,0,206.95,0,-120.68,0.63165,577.63
0,-555.85,0,0,160.88,0,-166.75,0.49103,798.14
-1.5868e-14,-578.61,0,0,154.05,0,-173.58,0.47018,830.83
0,-506.45,0,0,175.7,0,-151.93,0.53626,727.2
1.5868e-14,-558.33,0,0,160.13,0,-167.5,0.48876,801.69
0,-443.88,0,0,194.47,0,-133.16,0.59356,637.36
-1.5868e-14,-554,0,0,161.43,0,-166.2,0.49272,795.48
-1.5868e-14,-476.81,0,0,184.59,0,-143.04,0.5634,684.64
-1.5868e-14,-600.18,0,0,147.58,0,-180.05,0.45044,861.79
1.5868e-14,-497.82,0,0,178.28,0,-149.35,0.54416,714.81
1.5868e-14,-558.92,0,0,159.95,0,-167.68,0.48822,802.54
0,-678.49,0,0,124.08,0,-203.55,0.37873,974.24
1.5868e-14,-470.67,0,0,186.43,0,-141.2,0.56903,675.82
0,-552.98,0,0,161.74,0,-165.89,0.49366,794.01
1.5868e-14,-598.74,0,0,148.01,0,-179.62,0.45175,859.73
0,-587.33,0,0,151.43,0,-176.2,0.4622,843.34
1.5868e-14,-610.08,0,0,144.61,0,-183.02,0.44137,876.01
1.5868e-14,-471,0,0,186.33,0,-141.3,0.56872,676.3
-1.5868e-14,-632.22,0,0,137.96,0,-189.67,0.4211,907.8
0,-611.72,0,0,144.12,0,-183.51,0.43987,878.36
0,-560.23,0,0,159.56,0,-168.07,0.48702,804.43
0,-551.4,0,0,162.21,0,-165.42,0.4951,791.75
0,-669.1,0,0,126.9,0,-200.73,0.38733,960.75
0,-612.76,0,0,143.8,0,-183.83,0.43892,879.85
0,-563.99,0,0,158.43,0,-169.2,0.48357,809.83
0,-720.49,0,0,111.48,0,-216.15,0.34027,1034.5
-1.5868e-14,-574.92,0,0,155.15,0,-172.48,0.47356,825.53
1.5868e-14,-562.41,0,0,158.91,0,-168.72,0.48502,807.56
0,-790.04,0,0,90.617,0,-237.01,0.27658,1134.4
-1.5868e-14,-506.32,0,0,175.73,0,-151.9,0.53638,727.02
0,-622.12,0,0,140.99,0,-186.64,0.43035,893.29
0,-524.74,0,0,170.21,0,-157.42,0.51951,753.47
0,-775.71,0,0,94.917,0,-232.71,0.28971,1113.8
-1.5868e-14,-607.67,0,0,145.33,0,-182.3,0.44357,872.55
1.5868e-14,-503.84,0,0,176.48,0,-151.15,0.53865,723.45
0,-865.32,0,0,68.035,0,-259.59,0.20766,1242.5
0,-815.34,0,0,83.028,0,-244.6,0.25342,1170.7
-1.5868e-14,-539.22,0,0,165.86,0,-161.77,0.50625,774.26
-3.1736e-14,-650.91,0,0,132.36,0,-195.27,0.40398,934.64
0,-528.8,0,0,168.99,0,-158.64,0.5158,759.3
-1.5868e-14,-582.93,0,0,152.75,0,-174.88,0.46623,837.02
0,-581.74,0,0,153.11,0,-174.52,0.46732,835.31
-1.5868e-14,-578.78,0,0,154,0,-173.63,0.47003,831.07
-1.5868e-14,-585.99,0,0,151.83,0,-175.8,0.46343,841.41
-1.5868e-14,-579.78,0,0,153.7,0,-173.93,0.46911,832.5
1.5868e-14,-598.2,0,0,148.17,0,-179.46,0.45225,858.95
0,-538.7,0,0,166.02,0,-161.61,0.50673,773.52
-1.5868e-14,-623.61,0,0,140.55,0,-187.08,0.42898,895.44
1.5868e-14,-485.99,0,0,181.83,0,-145.8,0.55499,697.83
0,-602.01,0,0,147.03,0,-180.6,0.44876,864.41
0,-609.38,0,0,144.82,0,-182.82,0.44201,875.01
-1.5868e-14,-528.75,0,0,169.01,0,-158.62,0.51584,759.22
1.5868e-14,-572.76,0,0,155.8,0,-171.83,0.47554,822.42
0,-544.69,0,0,164.22,0,-163.41,0.50125,782.11
