% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-364.17,0,0,74.516,0,-109.25,0.40549,522.91
0,-315.5,0,0,89.117,0,-94.649,0.48495,453.02
0,-302.66,0,0,92.968,0,-90.799,0.5059,434.59
1.5868e-14,-316.61,0,0,88.783,0,-94.984,0.48313,454.62
0,-276.85,0,0,100.71,0,-83.056,0.54804,397.53
1.5868e-14,-376.59,0,0,70.79,0,-112.98,0.38522,540.74
1.5868e-14,-353.36,0,0,77.759,0,-106.01,0.42314,507.38
-1.5868e-14,-251.94,0,0,108.19,0,-75.581,0.58871,361.75
-1.5868e-14,-287.97,0,0,97.377,0,-86.39,0.52989,413.49
0,-299.74,0,0,93.844,0,-89.923,0.51067,430.4
1.5868e-14,-297.85,0,0,94.412,0,-89.355,0.51376,427.68
0,-280.85,0,0,99.513,0,-84.254,0.54152,403.26
1.5868e-14,-270.24,0,0,102.69,0,-81.072,0.55883,388.03
-1.5868e-14,-288.78,0,0,97.134,0,-86.633,0.52857,414.65
0,-278.49,0,0,100.22,0,-83.548,0.54536,399.88
1.5868e-14,-344.06,0,0,80.549,0,-103.22,0.43832,494.03
3.1736e-14,-335.73,0,1.4827e-14,83.049,0,-100.72,0.45193,482.07
0,-276.51,0,0,100.82,0,-82.952,0.5486,397.03
1.5868e-14,-324.78,0,0,86.334,0,-97.433,0.4698,466.34
0,-294.39,0,0,95.45,0,-88.317,0.51941,422.71
0,-367.93,0,0,73.388,0,-110.38,0.39935,528.31
-1.5868e-14,-341.43,0,0,81.339,0,-102.43,0.44262,490.25
3.1736e-14,-267.38,0,1.4827e-14,103.55,0,-80.213,0.56351,383.92
-1.5868e-14,-312.28,0,0,90.083,0,-93.684,0.4902,448.4
0,-378.75,0,0,70.143,0,-113.62,0.3817,543.84
0,-296.51,0,0,94.814,0,-88.953,0.51595,425.76
-1.5868e-14,-273.7,0,0,101.66,0,-82.111,0.55318,393.01
1.5868e-14,-307.02,0,0,91.662,0,-92.105,0.49879,440.84
-3.1736e-14,-336.36,0,0,82.859,0,-100.91,0.45089,482.97
1.5868e-14,-278.02,0,0,100.36,0,-83.407,0.54612,399.21
0,-445.31,0,0,50.175,0,-133.59,0.27304,639.41
1.5868e-14,-242.16,0,0,111.12,0,-72.648,0.60467,347.72
-1.5868e-14,-296.69,0,0,94.76,0,-89.007,0.51565,426.01
1.5868e-14,-348.7,0,0,79.158,0,-104.61,0.43075,500.69
-1.5868e-14,-399.18,0,0,64.013,0,-119.75,0.34834,573.18
1.5868e-14,-325.03,0,0,86.259,0,-97.508,0.46939,466.7
1.5868e-14,-352.8,0,0,77.927,0,-105.84,0.42406,506.58
-1.5868e-14,-249.37,0,0,108.96,0,-74.812,0.5929,358.07
-1.5868e-14,-291.32,0,0,96.371,0,-87.396,0.52442,418.3
1.5868e-14,-318.83,0,0,88.119,0,-95.648,0.47951,457.8
-1.5868e-14,-370.76,0,0,72.538,0,-111.23,0.39473,532.38
0,-329.65,0,0,84.873,0,-98.894,0.46185,473.34
-1.5868e-14,-420.81,0,0,57.524,0,-126.24,0.31303,604.24
1.5868e-14,-383.43,0,0,68.737,0,-115.03,0.37404,550.57
1.5868e-14,-359.12,0,0,76.031,0,-107.74,0.41374,515.65
0,-377.99,0,0,70.37,0,-113.4,0.38293,542.75
-1.5868e-14,-312.92,0,0,89.891,0,-93.876,0.48916,449.32
1.5868e-14,-411.52,0,0,60.311,0,-123.46,0.32819,590.9
-1.5868e-14,-305.71,0,0,92.053,0,-91.714,0.50092,438.97
-1.5868e-14,-352.52,0,0,78.009,0,-105.76,0.4245,506.19
0,-304.33,0,0,92.468,0,-91.299,0.50318,436.98
0,-225.64,0,0,116.08,0,-67.691,0.63165,323.99
0,-311.77,0,0,90.235,0,-93.532,0.49103,447.67
-1.5868e-14,-324.54,0,0,86.404,0,-97.363,0.47018,466.01
0,-284.06,0,0,98.548,0,-85.219,0.53626,407.88
1.5868e-14,-313.16,0,0,89.818,0,-93.949,0.48876,449.67
0,-248.97,0,0,109.08,0,-74.691,0.59356,357.49
-1.5868e-14,-310.74,0,0,90.546,0,-93.221,0.49272,446.18
-1.5868e-14,-267.44,0,0,103.53,0,-80.232,0.5634,384.01
-1.5868e-14,-336.64,0,0,82.776,0,-100.99,0.45044,483.37
1.5868e-14,-279.23,0,0,99.999,0,-83.768,0.54416,400.94
1.5868e-14,-313.5,0,0,89.718,0,-94.049,0.48822,450.14
0,-380.56,0,0,69.598,0,-114.17,0.37873,546.45
1.5868e-14,-264,0,0,104.57,0,-79.199,0.56903,379.07
0,-310.16,0,0,90.718,0,-93.049,0.49366,445.36
1.5868e-14,-335.83,0,0,83.017,0,-100.75,0.45175,482.22
0,-329.43,0,0,84.937,0,-98.83,0.4622,473.03
1.5868e-14,-342.19,0,0,81.109,0,-102.66,0.44137,491.35
1.5868e-14,-264.18,0,0,104.51,0,-79.255,0.56872,379.34
-1.5868e-14,-354.61,0,0,77.384,0,-106.38,0.4211,509.18
0,-343.11,0,0,80.834,0,-102.93,0.43987,492.67
0,-314.23,0,0,89.497,0,-94.27,0.48702,451.2
0,-309.28,0,0,90.983,0,-92.784,0.4951,444.09
0,-375.29,0,0,71.179,0,-112.59,0.38733,538.88
0,-343.69,0,0,80.659,0,-103.11,0.43892,493.51
0,-316.34,0,0,88.865,0,-94.902,0.48357,454.23
0,-404.12,0,0,62.531,0,-121.24,0.34027,580.27
-1.5868e-14,-322.47,0,0,87.025,0,-96.742,0.47356,463.04
1.5868e-14,-315.46,0,0,89.13,0,-94.637,0.48502,452.96
0,-443.13,0,0,50.827,0,-132.94,0.27658,636.29
-1.5868e-14,-283.99,0,0,98.569,0,-85.198,0.53638,407.78
0,-348.95,0,0,79.083,0,-104.68,0.43035,501.05
0,-294.33,0,0,95.469,0,-88.298,0.51951,422.62
0,-435.09,0,0,53.238,0,-130.53,0.28971,624.75
-1.5868e-14,-340.84,0,0,81.514,0,-102.25,0.44357,489.41
1.5868e-14,-282.6,0,0,98.987,0,-84.78,0.53865,405.78
0,-485.35,0,0,38.161,0,-145.61,0.20766,696.91
0,-457.32,0,0,46.57,0,-137.2,0.25342,656.66
-1.5868e-14,-302.45,0,0,93.033,0,-90.734,0.50625,434.28
-3.1736e-14,-365.1,0,0,74.238,0,-109.53,0.40398,524.24
0,-296.6,0,0,94.786,0,-88.981,0.5158,425.89
-1.5868e-14,-326.96,0,0,85.678,0,-98.088,0.46623,469.48
0,-326.29,0,0,85.878,0,-97.888,0.46732,468.52
-1.5868e-14,-324.64,0,0,86.376,0,-97.391,0.47003,466.14
-1.5868e-14,-328.68,0,0,85.164,0,-98.603,0.46343,471.94
-1.5868e-14,-325.2,0,0,86.207,0,-97.56,0.46911,466.95
1.5868e-14,-335.53,0,0,83.108,0,-100.66,0.45225,481.78
0,-302.16,0,0,93.12,0,-90.647,0.50673,433.86
-1.5868e-14,-349.78,0,0,78.832,0,-104.93,0.42898,502.25
1.5868e-14,-272.59,0,0,101.99,0,-81.777,0.55499,391.41
0,-337.66,0,0,82.468,0,-101.3,0.44876,484.85
0,-341.8,0,0,81.226,0,-102.54,0.44201,490.79
-1.5868e-14,-296.57,0,0,94.795,0,-88.972,0.51584,425.85
1.5868e-14,-321.26,0,0,87.388,0,-96.379,0.47554,461.3
0,-305.52,0,0,92.112,0,-91.655,0.50125,438.69
1.5868e-14,-337.19,0,0,82.61,0,-101.16,0.44954,484.17
0,-283.78,0,0,98.632,0,-85.135,0.53672,407.48
0,-405.85,0,0,62.013,0,-121.75,0.33745,582.75
-1.5868e-14,-307.6,0,0,91.487,0,-92.28,0.49784,441.68
-1.5868e-14,-391.61,0,0,66.283,0,-117.48,0.36069,562.31
-1.5868e-14,-385.98,0,0,67.974,0,-115.79,0.36989,554.22
-1.5868e-14,-307.95,0,0,91.383,0,-92.384,0.49727,442.18
1.5868e-14,-381.15,0,0,69.422,0,-114.35,0.37777,547.29
-1.5868e-14,-333.34,0,0,83.765,0,-100,0.45582,478.64
1.5868e-14,-368.14,0,0,73.326,0,-110.44,0.39901,528.6
-1.5868e-14,-314.27,0,0,89.486,0,-94.281,0.48695,451.26
-1.5868e-14,-317.75,0,0,88.443,0,-95.324,0.48128,456.25
-1.5868e-14,-288.47,0,0,97.225,0,-86.542,0.52907,414.21
0,-290.83,0,0,96.519,0,-87.248,0.52522,417.6
0,-252.57,0,0,107.99,0,-75.772,0.58767,362.67
0,-271.42,0,0,102.34,0,-81.427,0.5569,389.73
-1.5868e-14,-289.75,0,0,96.843,0,-86.924,0.52699,416.04
0,-270.6,0,0,102.59,0,-81.179,0.55825,388.54
-1.5868e-14,-278.76,0,0,100.14,0,-83.629,0.54492,400.28
0,-331.21,0,0,84.404,0,-99.363,0.4593,475.58
-1.5868e-14,-373.37,0,0,71.756,0,-112.01,0.39047,536.12
0,-270.44,0,0,102.64,0,-81.131,0.55851,388.32
0,-444.51,0,0,50.415,0,-133.35,0.27434,638.26
1.5868e-14,-320.87,0,0,87.507,0,-96.26,0.47618,460.73
0,-314.02,0,0,89.562,0,-94.205,0.48737,450.89
1.5868e-14,-298.12,0,0,94.331,0,-89.436,0.51332,428.07
0,-307.2,0,0,91.606,0,-92.161,0.49849,441.11
1.5868e-14,-363.51,0,0,74.712,0,-109.05,0.40656,521.97
0,-350,0,0,78.766,0,-105,0.42862,502.57
0,-307.28,0,0,91.583,0,-92.184,0.49837,441.22
-1.5868e-14,-403.26,0,0,62.789,0,-120.98,0.34168,579.04
0,-306.79,0,0,91.731,0,-92.036,0.49917,440.51
-1.5868e-14,-436.89,0,0,52.701,0,-131.07,0.28678,627.32
-1.5868e-14,-369.9,0,0,72.798,0,-110.97,0.39614,531.13
0,-315,0,0,89.266,0,-94.501,0.48575,452.31
0,-313.4,0,0,89.747,0,-94.02,0.48837,450.01
0,-312.51,0,0,90.013,0,-93.754,0.48982,448.73
1.5868e-14,-320.12,0,0,87.731,0,-96.036,0.4774,459.66
0,-302.37,0,0,93.056,0,-90.711,0.50638,434.17
-1.5868e-14,-300.19,0,0,93.709,0,-90.058,0.50993,431.05
-1.5868e-14,-315.18,0,0,89.214,0,-94.553,0.48547,452.56
-1.5868e-14,-266.78,0,0,103.73,0,-80.033,0.56449,383.06
0,-321.69,0,0,87.26,0,-96.507,0.47484,461.91
0,-279.76,0,0,99.84,0,-83.927,0.5433,401.7
1.5868e-14,-317.1,0,0,88.638,0,-95.129,0.48234,455.32
-1.5868e-14,-269.83,0,0,102.82,0,-80.95,0.5595,387.45
0,-374.42,0,0,71.441,0,-112.33,0.38876,537.62
0,-328.52,0,0,85.21,0,-98.557,0.46368,471.72
1.5868e-14,-310.36,0,0,90.658,0,-93.109,0.49333,445.65
-1.5868e-14,-307.81,0,0,91.423,0,-92.344,0.49749,441.99
0,-277.28,0,0,100.58,0,-83.184,0.54734,398.14
0,-343.63,0,0,80.676,0,-103.09,0.43902,493.42
0,-303.79,0,0,92.629,0,-91.138,0.50406,436.21
1.5868e-14,-325,0,0,86.268,0,-97.499,0.46944,466.66
0,-289.93,0,0,96.789,0,-86.978,0.52669,416.3
0,-308.8,0,0,91.126,0,-92.641,0.49588,443.4
-1.5868e-14,-324.12,0,0,86.531,0,-97.236,0.47087,465.4
1.5868e-14,-344.56,0,0,80.398,0,-103.37,0.4375,494.76
-1.5868e-14,-284.56,0,0,98.4,0,-85.367,0.53546,408.59
0,-316.19,0,0,88.911,0,-94.856,0.48382,454.01
-1.5868e-14,-303.55,0,0,92.701,0,-91.066,0.50445,435.87
0,-280.71,0,0,99.553,0,-84.214,0.54174,403.07
-1.5868e-14,-355.12,0,0,77.231,0,-106.54,0.42027,509.91
1.5868e-14,-331.19,0,0,84.41,0,-99.357,0.45933,475.55
-3.1736e-14,-401.52,0,0,63.31,0,-120.46,0.34451,576.54
1.5868e-14,-281.9,0,0,99.196,0,-84.571,0.53979,404.78
0,-266.66,0,0,103.77,0,-79.998,0.56467,382.9
0,-302.59,0,0,92.99,0,-90.777,0.50602,434.49
1.5868e-14,-396.02,0,0,64.962,0,-118.8,0.3535,568.64
0,-287.64,0,0,97.474,0,-86.293,0.53042,413.02
-1.5868e-14,-261.37,0,0,105.36,0,-78.41,0.57332,375.29
0,-310.34,0,0,90.664,0,-93.103,0.49337,445.62
0,-320.6,0,0,87.587,0,-96.18,0.47662,460.35
0,-310.15,0,0,90.721,0,-93.046,0.49367,445.35
1.5868e-14,-275.46,0,0,101.13,0,-82.639,0.5503,395.54
0,-270.48,0,0,102.62,0,-81.143,0.55845,388.37
0,-395.7,0,0,65.056,0,-118.71,0.35401,568.19
-1.5868e-14,-317.92,0,0,88.391,0,-95.376,0.481,456.5
3.1736e-14,-332.95,0,1.4827e-14,83.881,0,-99.886,0.45645,478.08
-1.5868e-14,-315.81,0,0,89.025,0,-94.742,0.48444,453.47
0,-312.03,0,0,90.158,0,-93.609,0.49061,448.04
1.5868e-14,-372.3,0,0,72.077,0,-111.69,0.39222,534.58
0,-314.57,0,0,89.397,0,-94.37,0.48647,451.68
-1.5868e-14,-319.45,0,0,87.931,0,-95.836,0.47849,458.7
0,-247.64,0,0,109.47,0,-74.292,0.59573,355.58
1.5868e-14,-336.94,0,0,82.685,0,-101.08,0.44995,483.81
0,-348.35,0,0,79.261,0,-104.51,0.43131,500.2
0,-262.58,0,0,104.99,0,-78.775,0.57133,377.04
1.5868e-14,-309.23,0,0,90.998,0,-92.769,0.49518,444.02
-1.5868e-14,-292.17,0,0,96.117,0,-87.65,0.52304,419.52
0,-272.38,0,0,102.05,0,-81.714,0.55534,391.11
0,-308.29,0,0,91.28,0,-92.487,0.49672,442.67
0,-344.38,0,0,80.453,0,-103.31,0.4378,494.49
0,-317.78,0,0,88.433,0,-95.334,0.48122,456.3
0,-310.72,0,0,90.55,0,-93.217,0.49275,446.16
0,-392.1,0,0,66.137,0,-117.63,0.35989,563.01
0,-335.23,0,0,83.199,0,-100.57,0.45274,481.35
0,-290.3,0,0,96.678,0,-87.089,0.52609,416.84
-1.5868e-14,-277.94,0,0,100.38,0,-83.382,0.54626,399.09
0,-274.72,0,0,101.35,0,-82.415,0.55152,394.46
0,-294.4,0,0,95.446,0,-88.32,0.51939,422.73
