% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-753.31,0,0,154.14,0,-225.99,0.40549,1081.7
0,-652.63,0,0,184.35,0,-195.79,0.48495,937.1
0,-626.08,0,0,192.31,0,-187.82,0.5059,898.98
1.5868e-14,-654.94,0,0,183.65,0,-196.48,0.48313,940.42
0,-572.69,0,0,208.33,0,-171.81,0.54804,822.32
1.5868e-14,-779,0,0,146.43,0,-233.7,0.38522,1118.6
1.5868e-14,-730.95,0,0,160.85,0,-219.28,0.42314,1049.6
-1.5868e-14,-521.15,0,0,223.79,0,-156.34,0.58871,748.31
-1.5868e-14,-595.68,0,0,201.43,0,-178.7,0.52989,855.33
0,-620.04,0,0,194.12,0,-186.01,0.51067,890.31
1.5868e-14,-616.12,0,0,195.3,0,-184.84,0.51376,884.68
0,-580.95,0,0,205.85,0,-174.28,0.54152,834.18
1.5868e-14,-559.01,0,0,212.43,0,-167.7,0.55883,802.68
-1.5868e-14,-597.35,0,0,200.93,0,-179.21,0.52857,857.73
0,-576.08,0,0,207.31,0,-172.82,0.54536,827.19
1.5868e-14,-711.71,0,0,166.62,0,-213.51,0.43832,1021.9
3.1736e-14,-694.47,0,1.4827e-14,171.79,0,-208.34,0.45193,997.19
0,-571.97,0,0,208.54,0,-171.59,0.5486,821.29
1.5868e-14,-671.82,0,0,178.59,0,-201.55,0.4698,964.66
0,-608.97,0,0,197.44,0,-182.69,0.51941,874.41
0,-761.09,0,0,151.81,0,-228.33,0.39935,1092.8
-1.5868e-14,-706.27,0,0,168.26,0,-211.88,0.44262,1014.1
3.1736e-14,-553.09,0,1.4827e-14,214.21,0,-165.93,0.56351,794.17
-1.5868e-14,-645.97,0,0,186.34,0,-193.79,0.4902,927.55
0,-783.46,0,0,145.1,0,-235.04,0.3817,1125
0,-613.35,0,0,196.13,0,-184.01,0.51595,880.71
-1.5868e-14,-566.17,0,0,210.28,0,-169.85,0.55318,812.96
1.5868e-14,-635.09,0,0,189.61,0,-190.53,0.49879,911.91
-3.1736e-14,-695.78,0,0,171.4,0,-208.73,0.45089,999.07
1.5868e-14,-575.11,0,0,207.6,0,-172.53,0.54612,825.8
0,-921.15,0,0,103.79,0,-276.34,0.27304,1322.7
1.5868e-14,-500.93,0,0,229.86,0,-150.28,0.60467,719.27
-1.5868e-14,-613.72,0,0,196.02,0,-184.12,0.51565,881.24
1.5868e-14,-721.31,0,0,163.74,0,-216.39,0.43075,1035.7
-1.5868e-14,-825.73,0,0,132.42,0,-247.72,0.34834,1185.7
1.5868e-14,-672.34,0,0,178.43,0,-201.7,0.46939,965.4
1.5868e-14,-729.79,0,0,161.2,0,-218.94,0.42406,1047.9
-1.5868e-14,-515.85,0,0,225.38,0,-154.75,0.5929,740.7
-1.5868e-14,-602.62,0,0,199.35,0,-180.79,0.52442,865.29
1.5868e-14,-659.52,0,0,182.28,0,-197.86,0.47951,946.99
-1.5868e-14,-766.95,0,0,150.05,0,-230.09,0.39473,1101.3
0,-681.9,0,0,175.57,0,-204.57,0.46185,979.13
-1.5868e-14,-870.48,0,0,118.99,0,-261.14,0.31303,1249.9
1.5868e-14,-793.16,0,0,142.19,0,-237.95,0.37404,1138.9
1.5868e-14,-742.86,0,0,157.28,0,-222.86,0.41374,1066.7
0,-781.9,0,0,145.57,0,-234.57,0.38293,1122.7
-1.5868e-14,-647.29,0,0,185.95,0,-194.19,0.48916,929.44
1.5868e-14,-851.26,0,0,124.76,0,-255.38,0.32819,1222.3
-1.5868e-14,-632.39,0,0,190.42,0,-189.72,0.50092,908.04
-1.5868e-14,-729.22,0,0,161.37,0,-218.77,0.4245,1047.1
0,-629.53,0,0,191.28,0,-188.86,0.50318,903.93
0,-466.75,0,0,240.11,0,-140.02,0.63165,670.2
0,-644.93,0,0,186.66,0,-193.48,0.49103,926.04
-1.5868e-14,-671.34,0,0,178.73,0,-201.4,0.47018,963.97
0,-587.61,0,0,203.85,0,-176.28,0.53626,843.74
1.5868e-14,-647.8,0,0,185.79,0,-194.34,0.48876,930.17
0,-515.01,0,0,225.63,0,-154.5,0.59356,739.5
-1.5868e-14,-642.78,0,0,187.3,0,-192.83,0.49272,922.96
-1.5868e-14,-553.22,0,0,214.17,0,-165.97,0.5634,794.36
-1.5868e-14,-696.36,0,0,171.23,0,-208.91,0.45044,999.89
1.5868e-14,-577.6,0,0,206.86,0,-173.28,0.54416,829.37
1.5868e-14,-648.49,0,0,185.59,0,-194.55,0.48822,931.16
0,-787.22,0,0,143.97,0,-236.17,0.37873,1130.4
1.5868e-14,-546.09,0,0,216.31,0,-163.83,0.56903,784.13
0,-641.59,0,0,187.66,0,-192.48,0.49366,921.26
1.5868e-14,-694.69,0,0,171.73,0,-208.41,0.45175,997.5
0,-681.46,0,0,175.7,0,-204.44,0.4622,978.5
1.5868e-14,-707.85,0,0,167.78,0,-212.35,0.44137,1016.4
1.5868e-14,-546.48,0,0,216.19,0,-163.94,0.56872,784.68
-1.5868e-14,-733.54,0,0,160.07,0,-220.06,0.4211,1053.3
0,-709.75,0,0,167.21,0,-212.92,0.43987,1019.1
0,-650.01,0,0,185.13,0,-195,0.48702,933.34
0,-639.77,0,0,188.2,0,-191.93,0.4951,918.64
0,-776.32,0,0,147.24,0,-232.9,0.38733,1114.7
0,-710.96,0,0,166.85,0,-213.29,0.43892,1020.9
0,-654.37,0,0,183.82,0,-196.31,0.48357,939.61
0,-835.95,0,0,129.35,0,-250.79,0.34027,1200.3
