% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-647.72,0,0,132.54,0,-194.32,0.40549,930.06
0,-561.15,0,0,158.51,0,-168.35,0.48495,805.75
0,-538.32,0,0,165.36,0,-161.5,0.5059,772.97
1.5868e-14,-563.14,0,0,157.91,0,-168.94,0.48313,808.6
0,-492.42,0,0,179.13,0,-147.73,0.54804,707.06
1.5868e-14,-669.81,0,0,125.91,0,-200.94,0.38522,961.78
1.5868e-14,-628.49,0,0,138.3,0,-188.55,0.42314,902.45
-1.5868e-14,-448.1,0,0,192.42,0,-134.43,0.58871,643.42
-1.5868e-14,-512.19,0,0,173.2,0,-153.66,0.52989,735.44
0,-533.13,0,0,166.91,0,-159.94,0.51067,765.52
1.5868e-14,-529.76,0,0,167.92,0,-158.93,0.51376,760.68
0,-499.52,0,0,177,0,-149.86,0.54152,717.25
1.5868e-14,-480.66,0,0,182.66,0,-144.2,0.55883,690.17
-1.5868e-14,-513.62,0,0,172.77,0,-154.09,0.52857,737.51
0,-495.33,0,0,178.25,0,-148.6,0.54536,711.24
1.5868e-14,-611.95,0,0,143.27,0,-183.59,0.43832,878.7
3.1736e-14,-597.13,0,1.4827e-14,147.71,0,-179.14,0.45193,857.41
0,-491.8,0,0,179.31,0,-147.54,0.5486,706.17
1.5868e-14,-577.66,0,0,153.56,0,-173.3,0.4698,829.45
0,-523.61,0,0,169.77,0,-157.08,0.51941,751.85
0,-654.41,0,0,130.53,0,-196.32,0.39935,939.66
-1.5868e-14,-607.27,0,0,144.67,0,-182.18,0.44262,871.97
3.1736e-14,-475.56,0,1.4827e-14,184.18,0,-142.67,0.56351,682.85
-1.5868e-14,-555.43,0,0,160.22,0,-166.63,0.4902,797.53
0,-673.65,0,0,124.76,0,-202.09,0.3817,967.28
0,-527.38,0,0,168.64,0,-158.21,0.51595,757.26
-1.5868e-14,-486.81,0,0,180.81,0,-146.04,0.55318,699.01
1.5868e-14,-546.07,0,0,163.03,0,-163.82,0.49879,784.09
-3.1736e-14,-598.26,0,0,147.38,0,-179.48,0.45089,859.03
1.5868e-14,-494.5,0,0,178.5,0,-148.35,0.54612,710.05
0,-792.03,0,0,89.243,0,-237.61,0.27304,1137.3
1.5868e-14,-430.71,0,0,197.64,0,-129.21,0.60467,618.45
-1.5868e-14,-527.7,0,0,168.54,0,-158.31,0.51565,757.72
1.5868e-14,-620.2,0,0,140.79,0,-186.06,0.43075,890.54
-1.5868e-14,-709.99,0,0,113.86,0,-213,0.34834,1019.5
1.5868e-14,-578.1,0,0,153.42,0,-173.43,0.46939,830.09
1.5868e-14,-627.5,0,0,138.6,0,-188.25,0.42406,901.01
-1.5868e-14,-443.54,0,0,193.79,0,-133.06,0.5929,636.87
-1.5868e-14,-518.15,0,0,171.41,0,-155.45,0.52442,744.01
1.5868e-14,-567.07,0,0,156.73,0,-170.12,0.47951,814.26
-1.5868e-14,-659.45,0,0,129.02,0,-197.83,0.39473,946.9
0,-586.32,0,0,150.96,0,-175.9,0.46185,841.89
-1.5868e-14,-748.46,0,0,102.31,0,-224.54,0.31303,1074.7
1.5868e-14,-681.99,0,0,122.26,0,-204.6,0.37404,979.26
1.5868e-14,-638.74,0,0,135.23,0,-191.62,0.41374,917.16
0,-672.3,0,0,125.16,0,-201.69,0.38293,965.35
-1.5868e-14,-556.56,0,0,159.88,0,-166.97,0.48916,799.16
1.5868e-14,-731.94,0,0,107.27,0,-219.58,0.32819,1051
-1.5868e-14,-543.75,0,0,163.73,0,-163.12,0.50092,780.76
-1.5868e-14,-627.01,0,0,138.75,0,-188.1,0.4245,900.32
0,-541.29,0,0,164.47,0,-162.39,0.50318,777.23
0,-401.32,0,0,206.46,0,-120.4,0.63165,576.26
0,-554.53,0,0,160.49,0,-166.36,0.49103,796.24
-1.5868e-14,-577.24,0,0,153.68,0,-173.17,0.47018,828.85
0,-505.24,0,0,175.28,0,-151.57,0.53626,725.47
1.5868e-14,-557,0,0,159.75,0,-167.1,0.48876,799.79
0,-442.82,0,0,194.01,0,-132.85,0.59356,635.84
-1.5868e-14,-552.69,0,0,161.05,0,-165.81,0.49272,793.59
-1.5868e-14,-475.68,0,0,184.15,0,-142.7,0.5634,683.02
-1.5868e-14,-598.75,0,0,147.23,0,-179.63,0.45044,859.74
1.5868e-14,-496.64,0,0,177.86,0,-148.99,0.54416,713.12
1.5868e-14,-557.59,0,0,159.58,0,-167.28,0.48822,800.64
0,-676.88,0,0,123.79,0,-203.06,0.37873,971.92
1.5868e-14,-469.55,0,0,185.99,0,-140.86,0.56903,674.22
0,-551.66,0,0,161.35,0,-165.5,0.49366,792.13
1.5868e-14,-597.32,0,0,147.66,0,-179.2,0.45175,857.68
0,-585.94,0,0,151.07,0,-175.78,0.4622,841.34
1.5868e-14,-608.63,0,0,144.26,0,-182.59,0.44137,873.93
1.5868e-14,-469.88,0,0,185.89,0,-140.96,0.56872,674.7
-1.5868e-14,-630.72,0,0,137.64,0,-189.22,0.4211,905.64
0,-610.26,0,0,143.77,0,-183.08,0.43987,876.27
0,-558.9,0,0,159.18,0,-167.67,0.48702,802.52
0,-550.09,0,0,161.82,0,-165.03,0.4951,789.87
0,-667.51,0,0,126.6,0,-200.25,0.38733,958.47
0,-611.3,0,0,143.46,0,-183.39,0.43892,877.76
0,-562.65,0,0,158.06,0,-168.8,0.48357,807.91
0,-718.78,0,0,111.22,0,-215.63,0.34027,1032.1
-1.5868e-14,-573.56,0,0,154.78,0,-172.07,0.47356,823.57
1.5868e-14,-561.08,0,0,158.53,0,-168.32,0.48502,805.65
0,-788.17,0,0,90.402,0,-236.45,0.27658,1131.7
-1.5868e-14,-505.12,0,0,175.32,0,-151.53,0.53638,725.29
0,-620.64,0,0,140.66,0,-186.19,0.43035,891.17
0,-523.49,0,0,169.8,0,-157.05,0.51951,751.68
0,-773.87,0,0,94.691,0,-232.16,0.28971,1111.2
-1.5868e-14,-606.23,0,0,144.98,0,-181.87,0.44357,870.48
