% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-723.06,0,0,147.95,0,-216.92,0.40549,1038.2
0,-626.42,0,0,176.94,0,-187.93,0.48495,899.47
0,-600.94,0,0,184.59,0,-180.28,0.5059,862.88
1.5868e-14,-628.64,0,0,176.28,0,-188.59,0.48313,902.65
0,-549.7,0,0,199.96,0,-164.91,0.54804,789.3
1.5868e-14,-747.72,0,0,140.55,0,-224.32,0.38522,1073.6
1.5868e-14,-701.6,0,0,154.39,0,-210.48,0.42314,1007.4
-1.5868e-14,-500.22,0,0,214.8,0,-150.07,0.58871,718.26
-1.5868e-14,-571.76,0,0,193.34,0,-171.53,0.52989,820.99
0,-595.14,0,0,186.33,0,-178.54,0.51067,854.56
1.5868e-14,-591.38,0,0,187.46,0,-177.41,0.51376,849.16
0,-557.62,0,0,197.58,0,-167.29,0.54152,800.68
1.5868e-14,-536.56,0,0,203.9,0,-160.97,0.55883,770.45
-1.5868e-14,-573.37,0,0,192.86,0,-172.01,0.52857,823.29
0,-552.95,0,0,198.99,0,-165.88,0.54536,793.97
1.5868e-14,-683.13,0,0,159.93,0,-204.94,0.43832,980.9
3.1736e-14,-666.59,0,1.4827e-14,164.89,0,-199.98,0.45193,957.15
0,-549.01,0,0,200.17,0,-164.7,0.5486,788.31
1.5868e-14,-644.85,0,0,171.42,0,-193.45,0.4698,925.93
0,-584.52,0,0,189.52,0,-175.35,0.51941,839.3
0,-730.53,0,0,145.71,0,-219.16,0.39935,1049
-1.5868e-14,-677.91,0,0,161.5,0,-203.37,0.44262,973.4
3.1736e-14,-530.88,0,1.4827e-14,205.61,0,-159.26,0.56351,762.28
-1.5868e-14,-620.03,0,0,178.86,0,-186.01,0.4902,890.3
0,-752,0,0,139.27,0,-225.6,0.3817,1079.8
0,-588.72,0,0,188.25,0,-176.62,0.51595,845.34
-1.5868e-14,-543.44,0,0,201.84,0,-163.03,0.55318,780.31
1.5868e-14,-609.59,0,0,182,0,-182.88,0.49879,875.3
-3.1736e-14,-667.84,0,0,164.52,0,-200.35,0.45089,958.95
1.5868e-14,-552.02,0,0,199.26,0,-165.61,0.54612,792.64
0,-884.16,0,0,99.623,0,-265.25,0.27304,1269.6
1.5868e-14,-480.81,0,0,220.63,0,-144.24,0.60467,690.39
-1.5868e-14,-589.08,0,0,188.15,0,-176.72,0.51565,845.85
1.5868e-14,-692.34,0,0,157.17,0,-207.7,0.43075,994.13
-1.5868e-14,-792.57,0,0,127.1,0,-237.77,0.34834,1138
1.5868e-14,-645.34,0,0,171.27,0,-193.6,0.46939,926.64
1.5868e-14,-700.48,0,0,154.73,0,-210.15,0.42406,1005.8
-1.5868e-14,-495.13,0,0,216.33,0,-148.54,0.5929,710.95
-1.5868e-14,-578.42,0,0,191.34,0,-173.53,0.52442,830.55
1.5868e-14,-633.03,0,0,174.96,0,-189.91,0.47951,908.97
-1.5868e-14,-736.15,0,0,144.02,0,-220.85,0.39473,1057
0,-654.52,0,0,168.52,0,-196.35,0.46185,939.81
