% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-3.3654,0,0,0.68863,0,-1.0096,0.40549,4.8324
0,-2.9156,0,0,0.82357,0,-0.87469,0.48495,4.1865
0,-2.797,0,0,0.85916,0,-0.83911,0.5059,4.0162
1.5868e-14,-2.926,0,0,0.82048,0,-0.87779,0.48313,4.2013
0,-2.5585,0,0,0.93071,0,-0.76756,0.54804,3.6737
1.5868e-14,-3.4802,0,0,0.6542,0,-1.0441,0.38522,4.9972
1.5868e-14,-3.2655,0,0,0.7186,0,-0.97966,0.42314,4.6889
-1.5868e-14,-2.3283,0,0,0.99979,0,-0.69848,0.58871,3.3431
-1.5868e-14,-2.6612,0,0,0.8999,0,-0.79837,0.52989,3.8212
0,-2.7701,0,0,0.86725,0,-0.83102,0.51067,3.9775
1.5868e-14,-2.7525,0,0,0.8725,0,-0.82576,0.51376,3.9523
0,-2.5954,0,0,0.91964,0,-0.77862,0.54152,3.7267
1.5868e-14,-2.4974,0,0,0.94905,0,-0.74922,0.55883,3.586
-1.5868e-14,-2.6687,0,0,0.89766,0,-0.80061,0.52857,3.832
0,-2.5737,0,0,0.92617,0,-0.7721,0.54536,3.6955
1.5868e-14,-3.1796,0,0,0.74439,0,-0.95388,0.43832,4.5655
3.1736e-14,-3.1026,0,1.4827e-14,0.76749,0,-0.93078,0.45193,4.455
0,-2.5553,0,0,0.93167,0,-0.76659,0.5486,3.6691
1.5868e-14,-3.0014,0,0,0.79785,0,-0.90042,0.4698,4.3097
0,-2.7206,0,0,0.88209,0,-0.81618,0.51941,3.9065
0,-3.4002,0,0,0.67821,0,-1.0201,0.39935,4.8823
-1.5868e-14,-3.1553,0,0,0.75169,0,-0.94658,0.44262,4.5306
3.1736e-14,-2.4709,0,1.4827e-14,0.95699,0,-0.74128,0.56351,3.548
-1.5868e-14,-2.8859,0,0,0.83249,0,-0.86577,0.4902,4.1438
0,-3.5001,0,0,0.64822,0,-1.05,0.3817,5.0258
0,-2.7402,0,0,0.87621,0,-0.82205,0.51595,3.9346
-1.5868e-14,-2.5294,0,0,0.93945,0,-0.75882,0.55318,3.6319
1.5868e-14,-2.8373,0,0,0.84708,0,-0.85118,0.49879,4.074
-3.1736e-14,-3.1084,0,0,0.76574,0,-0.93253,0.45089,4.4634
1.5868e-14,-2.5693,0,0,0.92746,0,-0.7708,0.54612,3.6893
0,-4.1153,0,0,0.46369,0,-1.2346,0.27304,5.909
1.5868e-14,-2.2379,0,0,1.0269,0,-0.67137,0.60467,3.2134
-1.5868e-14,-2.7418,0,0,0.87572,0,-0.82255,0.51565,3.937
1.5868e-14,-3.2225,0,0,0.73153,0,-0.96674,0.43075,4.6271
-1.5868e-14,-3.689,0,0,0.59157,0,-1.1067,0.34834,5.2969
1.5868e-14,-3.0037,0,0,0.79716,0,-0.90111,0.46939,4.313
1.5868e-14,-3.2604,0,0,0.72016,0,-0.97811,0.42406,4.6815
-1.5868e-14,-2.3046,0,0,1.0069,0,-0.69137,0.5929,3.3091
-1.5868e-14,-2.6922,0,0,0.8906,0,-0.80766,0.52442,3.8657
1.5868e-14,-2.9464,0,0,0.81434,0,-0.88392,0.47951,4.2307
-1.5868e-14,-3.4264,0,0,0.67035,0,-1.0279,0.39473,4.9199
0,-3.0464,0,0,0.78434,0,-0.91392,0.46185,4.3743
-1.5868e-14,-3.8889,0,0,0.5316,0,-1.1667,0.31303,5.584
1.5868e-14,-3.5435,0,0,0.63522,0,-1.063,0.37404,5.088
1.5868e-14,-3.3188,0,0,0.70264,0,-0.99563,0.41374,4.7654
0,-3.4932,0,0,0.65032,0,-1.0479,0.38293,5.0158
-1.5868e-14,-2.8918,0,0,0.83072,0,-0.86754,0.48916,4.1523
1.5868e-14,-3.803,0,0,0.55736,0,-1.1409,0.32819,5.4607
-1.5868e-14,-2.8252,0,0,0.8507,0,-0.84757,0.50092,4.0567
-1.5868e-14,-3.2578,0,0,0.72092,0,-0.97735,0.4245,4.6779
0,-2.8124,0,0,0.85453,0,-0.84373,0.50318,4.0383
0,-2.0852,0,0,1.0727,0,-0.62556,0.63165,2.9941
0,-2.8812,0,0,0.83389,0,-0.86437,0.49103,4.1371
-1.5868e-14,-2.9992,0,0,0.79849,0,-0.89977,0.47018,4.3066
0,-2.6252,0,0,0.91072,0,-0.78755,0.53626,3.7694
1.5868e-14,-2.8941,0,0,0.83004,0,-0.86822,0.48876,4.1556
0,-2.3008,0,0,1.008,0,-0.69025,0.59356,3.3037
-1.5868e-14,-2.8717,0,0,0.83677,0,-0.8615,0.49272,4.1234
-1.5868e-14,-2.4715,0,0,0.95681,0,-0.74146,0.5634,3.5488
-1.5868e-14,-3.111,0,0,0.76496,0,-0.9333,0.45044,4.4671
1.5868e-14,-2.5804,0,0,0.92413,0,-0.77413,0.54416,3.7052
1.5868e-14,-2.8971,0,0,0.82912,0,-0.86914,0.48822,4.16
0,-3.5169,0,0,0.64318,0,-1.0551,0.37873,5.0499
1.5868e-14,-2.4397,0,0,0.96636,0,-0.73191,0.56903,3.5031
0,-2.8663,0,0,0.83836,0,-0.8599,0.49366,4.1158
1.5868e-14,-3.1036,0,0,0.7672,0,-0.93107,0.45175,4.4564
0,-3.0444,0,0,0.78494,0,-0.91333,0.4622,4.3715
1.5868e-14,-3.1623,0,0,0.74956,0,-0.9487,0.44137,4.5408
1.5868e-14,-2.4414,0,0,0.96584,0,-0.73242,0.56872,3.5056
-1.5868e-14,-3.2771,0,0,0.71514,0,-0.98313,0.4211,4.7055
0,-3.1708,0,0,0.74702,0,-0.95125,0.43987,4.5529
