% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-3.6525,0,0,0.74737,0,-1.0958,0.40549,5.2446
0,-3.1643,0,0,0.89382,0,-0.9493,0.48495,4.5436
0,-3.0356,0,0,0.93244,0,-0.91068,0.5059,4.3588
1.5868e-14,-3.1755,0,0,0.89046,0,-0.95266,0.48313,4.5597
0,-2.7767,0,0,1.0101,0,-0.83302,0.54804,3.9871
1.5868e-14,-3.7771,0,0,0.71,0,-1.1331,0.38522,5.4234
1.5868e-14,-3.5441,0,0,0.7799,0,-1.0632,0.42314,5.0889
-1.5868e-14,-2.5268,0,0,1.0851,0,-0.75805,0.58871,3.6283
-1.5868e-14,-2.8882,0,0,0.97665,0,-0.86646,0.52989,4.1471
0,-3.0063,0,0,0.94122,0,-0.9019,0.51067,4.3167
1.5868e-14,-2.9873,0,0,0.94692,0,-0.89619,0.51376,4.2894
0,-2.8168,0,0,0.99808,0,-0.84503,0.54152,4.0446
1.5868e-14,-2.7104,0,0,1.03,0,-0.81312,0.55883,3.8918
-1.5868e-14,-2.8963,0,0,0.97422,0,-0.8689,0.52857,4.1588
0,-2.7932,0,0,1.0052,0,-0.83795,0.54536,4.0107
1.5868e-14,-3.4508,0,0,0.80788,0,-1.0352,0.43832,4.955
3.1736e-14,-3.3672,0,1.4827e-14,0.83295,0,-1.0102,0.45193,4.835
0,-2.7733,0,0,1.0111,0,-0.83198,0.5486,3.9821
1.5868e-14,-3.2574,0,0,0.8659,0,-0.97722,0.4698,4.6773
0,-2.9526,0,0,0.95732,0,-0.88579,0.51941,4.2397
0,-3.6902,0,0,0.73606,0,-1.1071,0.39935,5.2987
-1.5868e-14,-3.4244,0,0,0.8158,0,-1.0273,0.44262,4.917
3.1736e-14,-2.6817,0,1.4827e-14,1.0386,0,-0.8045,0.56351,3.8506
-1.5868e-14,-3.1321,0,0,0.9035,0,-0.93962,0.4902,4.4973
0,-3.7987,0,0,0.70351,0,-1.1396,0.3817,5.4545
0,-2.9739,0,0,0.95095,0,-0.89217,0.51595,4.2702
-1.5868e-14,-2.7451,0,0,1.0196,0,-0.82354,0.55318,3.9417
1.5868e-14,-3.0793,0,0,0.91933,0,-0.92378,0.49879,4.4215
-3.1736e-14,-3.3736,0,0,0.83105,0,-1.0121,0.45089,4.8441
