% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.092565,0,0,0.01894,0,-0.02777,0.40549,0.13291
0,-0.080193,0,0,0.022652,0,-0.024058,0.48495,0.11515
0,-0.076931,0,0,0.023631,0,-0.023079,0.5059,0.11046
1.5868e-14,-0.080477,0,0,0.022567,0,-0.024143,0.48313,0.11556
0,-0.070371,0,0,0.025599,0,-0.021111,0.54804,0.10104
1.5868e-14,-0.095722,0,0,0.017993,0,-0.028717,0.38522,0.13745
1.5868e-14,-0.089817,0,0,0.019765,0,-0.026945,0.42314,0.12897
-1.5868e-14,-0.064037,0,0,0.027499,0,-0.019211,0.58871,0.091951
-1.5868e-14,-0.073196,0,0,0.024751,0,-0.021959,0.52989,0.1051
0,-0.076189,0,0,0.023853,0,-0.022857,0.51067,0.1094
1.5868e-14,-0.075707,0,0,0.023998,0,-0.022712,0.51376,0.10871
0,-0.071385,0,0,0.025294,0,-0.021416,0.54152,0.1025
1.5868e-14,-0.06869,0,0,0.026103,0,-0.020607,0.55883,0.098631
-1.5868e-14,-0.073401,0,0,0.02469,0,-0.02202,0.52857,0.1054
0,-0.070787,0,0,0.025474,0,-0.021236,0.54536,0.10164
1.5868e-14,-0.087453,0,0,0.020474,0,-0.026236,0.43832,0.12557
3.1736e-14,-0.085335,0,1.4827e-14,0.021109,0,-0.025601,0.45193,0.12253
0,-0.070283,0,0,0.025625,0,-0.021085,0.5486,0.10092
1.5868e-14,-0.082552,0,0,0.021944,0,-0.024766,0.4698,0.11854
0,-0.074829,0,0,0.024261,0,-0.022449,0.51941,0.10745
0,-0.093521,0,0,0.018654,0,-0.028056,0.39935,0.13429
-1.5868e-14,-0.086784,0,0,0.020675,0,-0.026035,0.44262,0.12461
3.1736e-14,-0.067962,0,1.4827e-14,0.026321,0,-0.020388,0.56351,0.097585
-1.5868e-14,-0.079375,0,0,0.022897,0,-0.023813,0.4902,0.11397
0,-0.09627,0,0,0.017829,0,-0.028881,0.3817,0.13823
0,-0.075367,0,0,0.0241,0,-0.02261,0.51595,0.10822
