% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.12184,0,0,0.024931,0,-0.036553,0.40549,0.17495
0,-0.10556,0,0,0.029817,0,-0.031668,0.48495,0.15157
0,-0.10126,0,0,0.031105,0,-0.030379,0.5059,0.1454
1.5868e-14,-0.10593,0,0,0.029705,0,-0.031779,0.48313,0.15211
0,-0.092629,0,0,0.033696,0,-0.027789,0.54804,0.133
1.5868e-14,-0.126,0,0,0.023685,0,-0.0378,0.38522,0.18092
1.5868e-14,-0.11823,0,0,0.026016,0,-0.035468,0.42314,0.16976
-1.5868e-14,-0.084292,0,0,0.036196,0,-0.025288,0.58871,0.12103
-1.5868e-14,-0.096347,0,0,0.03258,0,-0.028904,0.52989,0.13834
0,-0.10029,0,0,0.031398,0,-0.030086,0.51067,0.144
1.5868e-14,-0.099653,0,0,0.031588,0,-0.029896,0.51376,0.14309
0,-0.093964,0,0,0.033295,0,-0.028189,0.54152,0.13492
1.5868e-14,-0.090416,0,0,0.034359,0,-0.027125,0.55883,0.12983
-1.5868e-14,-0.096618,0,0,0.032499,0,-0.028985,0.52857,0.13873
0,-0.093177,0,0,0.033531,0,-0.027953,0.54536,0.13379
1.5868e-14,-0.11511,0,0,0.02695,0,-0.034534,0.43832,0.16529
3.1736e-14,-0.11233,0,1.4827e-14,0.027786,0,-0.033698,0.45193,0.16129
0,-0.092513,0,0,0.03373,0,-0.027754,0.5486,0.13284
1.5868e-14,-0.10866,0,0,0.028885,0,-0.032599,0.4698,0.15603
0,-0.098497,0,0,0.031935,0,-0.029549,0.51941,0.14143
0,-0.1231,0,0,0.024554,0,-0.03693,0.39935,0.17676
-1.5868e-14,-0.11423,0,0,0.027214,0,-0.03427,0.44262,0.16403
3.1736e-14,-0.089458,0,1.4827e-14,0.034647,0,-0.026837,0.56351,0.12845
-1.5868e-14,-0.10448,0,0,0.03014,0,-0.031344,0.4902,0.15002
0,-0.12672,0,0,0.023468,0,-0.038016,0.3817,0.18196
0,-0.099206,0,0,0.031723,0,-0.029762,0.51595,0.14245
-1.5868e-14,-0.091574,0,0,0.034012,0,-0.027472,0.55318,0.13149
1.5868e-14,-0.10272,0,0,0.030668,0,-0.030816,0.49879,0.1475
-3.1736e-14,-0.11254,0,0,0.027723,0,-0.033761,0.45089,0.16159
1.5868e-14,-0.093021,0,0,0.033578,0,-0.027906,0.54612,0.13357
0,-0.14899,0,0,0.016787,0,-0.044697,0.27304,0.21393
1.5868e-14,-0.081021,0,0,0.037178,0,-0.024306,0.60467,0.11634
-1.5868e-14,-0.099265,0,0,0.031705,0,-0.02978,0.51565,0.14253
1.5868e-14,-0.11667,0,0,0.026484,0,-0.035,0.43075,0.16752
-1.5868e-14,-0.13356,0,0,0.021417,0,-0.040067,0.34834,0.19177
1.5868e-14,-0.10875,0,0,0.02886,0,-0.032624,0.46939,0.15615
1.5868e-14,-0.11804,0,0,0.026073,0,-0.035411,0.42406,0.16949
-1.5868e-14,-0.083434,0,0,0.036454,0,-0.02503,0.5929,0.1198
-1.5868e-14,-0.097469,0,0,0.032243,0,-0.029241,0.52442,0.13996
1.5868e-14,-0.10667,0,0,0.029482,0,-0.032002,0.47951,0.15317
-1.5868e-14,-0.12405,0,0,0.024269,0,-0.037215,0.39473,0.17812
0,-0.11029,0,0,0.028397,0,-0.033088,0.46185,0.15837
-1.5868e-14,-0.14079,0,0,0.019246,0,-0.042238,0.31303,0.20216
1.5868e-14,-0.12829,0,0,0.022998,0,-0.038487,0.37404,0.18421
1.5868e-14,-0.12015,0,0,0.025438,0,-0.036046,0.41374,0.17253
0,-0.12647,0,0,0.023544,0,-0.03794,0.38293,0.18159
-1.5868e-14,-0.1047,0,0,0.030076,0,-0.031409,0.48916,0.15033
1.5868e-14,-0.13769,0,0,0.020179,0,-0.041306,0.32819,0.1977
-1.5868e-14,-0.10228,0,0,0.030799,0,-0.030685,0.50092,0.14687
-1.5868e-14,-0.11795,0,0,0.0261,0,-0.035384,0.4245,0.16936
0,-0.10182,0,0,0.030938,0,-0.030547,0.50318,0.1462
0,-0.075493,0,0,0.038836,0,-0.022648,0.63165,0.1084
0,-0.10431,0,0,0.03019,0,-0.031294,0.49103,0.14978
-1.5868e-14,-0.10858,0,0,0.028909,0,-0.032575,0.47018,0.15592
0,-0.095041,0,0,0.032972,0,-0.028512,0.53626,0.13647
1.5868e-14,-0.10478,0,0,0.030051,0,-0.031433,0.48876,0.15045
0,-0.083299,0,0,0.036494,0,-0.02499,0.59356,0.11961
-1.5868e-14,-0.10397,0,0,0.030294,0,-0.03119,0.49272,0.14928
-1.5868e-14,-0.089479,0,0,0.03464,0,-0.026844,0.5634,0.12848
