% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.14041,0,0,0.02873,0,-0.042123,0.40549,0.20161
0,-0.12164,0,0,0.03436,0,-0.036493,0.48495,0.17467
0,-0.11669,0,0,0.035845,0,-0.035008,0.5059,0.16756
1.5868e-14,-0.12207,0,0,0.034231,0,-0.036622,0.48313,0.17528
0,-0.10674,0,0,0.03883,0,-0.032023,0.54804,0.15327
1.5868e-14,-0.1452,0,0,0.027294,0,-0.043559,0.38522,0.20849
1.5868e-14,-0.13624,0,0,0.029981,0,-0.040872,0.42314,0.19563
-1.5868e-14,-0.097137,0,0,0.041712,0,-0.029141,0.58871,0.13948
-1.5868e-14,-0.11103,0,0,0.037545,0,-0.033309,0.52989,0.15942
0,-0.11557,0,0,0.036182,0,-0.034671,0.51067,0.16594
1.5868e-14,-0.11484,0,0,0.036402,0,-0.034452,0.51376,0.1649
0,-0.10828,0,0,0.038368,0,-0.032485,0.54152,0.15548
1.5868e-14,-0.10419,0,0,0.039595,0,-0.031258,0.55883,0.14961
-1.5868e-14,-0.11134,0,0,0.037451,0,-0.033402,0.52857,0.15987
0,-0.10738,0,0,0.038641,0,-0.032213,0.54536,0.15418
1.5868e-14,-0.13266,0,0,0.031057,0,-0.039797,0.43832,0.19048
3.1736e-14,-0.12944,0,1.4827e-14,0.03202,0,-0.038833,0.45193,0.18587
0,-0.10661,0,0,0.03887,0,-0.031983,0.5486,0.15308
1.5868e-14,-0.12522,0,0,0.033287,0,-0.037566,0.4698,0.1798
0,-0.11351,0,0,0.036802,0,-0.034052,0.51941,0.16298
0,-0.14186,0,0,0.028295,0,-0.042558,0.39935,0.20369
-1.5868e-14,-0.13164,0,0,0.031361,0,-0.039492,0.44262,0.18902
3.1736e-14,-0.10309,0,1.4827e-14,0.039926,0,-0.030927,0.56351,0.14802
-1.5868e-14,-0.1204,0,0,0.034732,0,-0.036121,0.4902,0.17288
0,-0.14603,0,0,0.027044,0,-0.043809,0.3817,0.20968
0,-0.11432,0,0,0.036556,0,-0.034297,0.51595,0.16415
-1.5868e-14,-0.10553,0,0,0.039195,0,-0.031659,0.55318,0.15153
1.5868e-14,-0.11837,0,0,0.035341,0,-0.035512,0.49879,0.16997
-3.1736e-14,-0.12969,0,0,0.031947,0,-0.038906,0.45089,0.18622
1.5868e-14,-0.1072,0,0,0.038695,0,-0.032159,0.54612,0.15392
0,-0.17169,0,0,0.019346,0,-0.051508,0.27304,0.24653
1.5868e-14,-0.093367,0,0,0.042843,0,-0.02801,0.60467,0.13407
-1.5868e-14,-0.11439,0,0,0.036536,0,-0.034317,0.51565,0.16425
1.5868e-14,-0.13444,0,0,0.03052,0,-0.040333,0.43075,0.19305
-1.5868e-14,-0.15391,0,0,0.024681,0,-0.046172,0.34834,0.22099
1.5868e-14,-0.12532,0,0,0.033258,0,-0.037595,0.46939,0.17994
1.5868e-14,-0.13602,0,0,0.030046,0,-0.040807,0.42406,0.19532
-1.5868e-14,-0.096148,0,0,0.042009,0,-0.028844,0.5929,0.13806
-1.5868e-14,-0.11232,0,0,0.037157,0,-0.033697,0.52442,0.16128
1.5868e-14,-0.12293,0,0,0.033975,0,-0.036878,0.47951,0.17651
-1.5868e-14,-0.14295,0,0,0.027968,0,-0.042886,0.39473,0.20526
0,-0.1271,0,0,0.032724,0,-0.03813,0.46185,0.1825
-1.5868e-14,-0.16225,0,0,0.022179,0,-0.048674,0.31303,0.23297
1.5868e-14,-0.14784,0,0,0.026502,0,-0.044351,0.37404,0.21228
1.5868e-14,-0.13846,0,0,0.029315,0,-0.041539,0.41374,0.19882
0,-0.14574,0,0,0.027132,0,-0.043721,0.38293,0.20926
-1.5868e-14,-0.12065,0,0,0.034659,0,-0.036195,0.48916,0.17324
1.5868e-14,-0.15867,0,0,0.023253,0,-0.0476,0.32819,0.22783
-1.5868e-14,-0.11787,0,0,0.035492,0,-0.035361,0.50092,0.16925
-1.5868e-14,-0.13592,0,0,0.030077,0,-0.040776,0.4245,0.19517
0,-0.11734,0,0,0.035652,0,-0.035201,0.50318,0.16848
0,-0.086997,0,0,0.044754,0,-0.026099,0.63165,0.12492
0,-0.12021,0,0,0.034791,0,-0.036062,0.49103,0.1726
-1.5868e-14,-0.12513,0,0,0.033314,0,-0.037539,0.47018,0.17967
0,-0.10952,0,0,0.037996,0,-0.032857,0.53626,0.15726
1.5868e-14,-0.12074,0,0,0.03463,0,-0.036223,0.48876,0.17337
0,-0.095993,0,0,0.042055,0,-0.028798,0.59356,0.13783
-1.5868e-14,-0.11981,0,0,0.034911,0,-0.035942,0.49272,0.17203
-1.5868e-14,-0.10311,0,0,0.039919,0,-0.030934,0.5634,0.14806
-1.5868e-14,-0.12979,0,0,0.031915,0,-0.038938,0.45044,0.18637
1.5868e-14,-0.10766,0,0,0.038556,0,-0.032298,0.54416,0.15459
1.5868e-14,-0.12087,0,0,0.034592,0,-0.036261,0.48822,0.17356
0,-0.14673,0,0,0.026834,0,-0.044019,0.37873,0.21069
1.5868e-14,-0.10179,0,0,0.040317,0,-0.030536,0.56903,0.14615
0,-0.11959,0,0,0.034977,0,-0.035876,0.49366,0.17171
1.5868e-14,-0.12948,0,0,0.032008,0,-0.038845,0.45175,0.18592
0,-0.12702,0,0,0.032748,0,-0.038105,0.4622,0.18238
1.5868e-14,-0.13194,0,0,0.031273,0,-0.039581,0.44137,0.18944
1.5868e-14,-0.10186,0,0,0.040296,0,-0.030557,0.56872,0.14626
-1.5868e-14,-0.13672,0,0,0.029836,0,-0.041017,0.4211,0.19632
0,-0.13229,0,0,0.031166,0,-0.039687,0.43987,0.18995
0,-0.12116,0,0,0.034507,0,-0.036347,0.48702,0.17397
0,-0.11925,0,0,0.035079,0,-0.035774,0.4951,0.17122
0,-0.1447,0,0,0.027444,0,-0.04341,0.38733,0.20777
0,-0.13251,0,0,0.031099,0,-0.039754,0.43892,0.19028
0,-0.12197,0,0,0.034263,0,-0.036591,0.48357,0.17513
0,-0.15581,0,0,0.024109,0,-0.046744,0.34027,0.22373
-1.5868e-14,-0.12433,0,0,0.033553,0,-0.0373,0.47356,0.17853
1.5868e-14,-0.12163,0,0,0.034365,0,-0.036488,0.48502,0.17464
0,-0.17085,0,0,0.019597,0,-0.051256,0.27658,0.24533
-1.5868e-14,-0.1095,0,0,0.038004,0,-0.032849,0.53638,0.15722
