% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.078105,0,0,0.015982,0,-0.023431,0.40549,0.11215
0,-0.067666,0,0,0.019113,0,-0.0203,0.48495,0.09716
0,-0.064913,0,0,0.019939,0,-0.019474,0.5059,0.093207
1.5868e-14,-0.067905,0,0,0.019042,0,-0.020371,0.48313,0.097504
0,-0.059377,0,0,0.0216,0,-0.017813,0.54804,0.085259
1.5868e-14,-0.080768,0,0,0.015182,0,-0.02423,0.38522,0.11597
1.5868e-14,-0.075786,0,0,0.016677,0,-0.022736,0.42314,0.10882
-1.5868e-14,-0.054034,0,0,0.023203,0,-0.01621,0.58871,0.077586
-1.5868e-14,-0.061761,0,0,0.020885,0,-0.018528,0.52989,0.088682
0,-0.064287,0,0,0.020127,0,-0.019286,0.51067,0.092309
1.5868e-14,-0.06388,0,0,0.020249,0,-0.019164,0.51376,0.091725
0,-0.060234,0,0,0.021343,0,-0.01807,0.54152,0.086489
1.5868e-14,-0.057959,0,0,0.022025,0,-0.017388,0.55883,0.083223
-1.5868e-14,-0.061934,0,0,0.020833,0,-0.01858,0.52857,0.088931
0,-0.059729,0,0,0.021494,0,-0.017919,0.54536,0.085764
1.5868e-14,-0.073791,0,0,0.017276,0,-0.022137,0.43832,0.10596
3.1736e-14,-0.072004,0,1.4827e-14,0.017812,0,-0.021601,0.45193,0.10339
0,-0.059303,0,0,0.021622,0,-0.017791,0.5486,0.085152
1.5868e-14,-0.069656,0,0,0.018516,0,-0.020897,0.4698,0.10002
0,-0.063139,0,0,0.020471,0,-0.018942,0.51941,0.09066
0,-0.078911,0,0,0.01574,0,-0.023673,0.39935,0.11331
-1.5868e-14,-0.073227,0,0,0.017445,0,-0.021968,0.44262,0.10515
3.1736e-14,-0.057345,0,1.4827e-14,0.02221,0,-0.017203,0.56351,0.082341
-1.5868e-14,-0.066975,0,0,0.01932,0,-0.020093,0.4902,0.096169
