% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.16156,0,0,0.033059,0,-0.048469,0.40549,0.23199
0,-0.13997,0,0,0.039537,0,-0.041991,0.48495,0.20098
0,-0.13428,0,0,0.041246,0,-0.040283,0.5059,0.19281
1.5868e-14,-0.14047,0,0,0.039389,0,-0.04214,0.48313,0.20169
0,-0.12283,0,0,0.044681,0,-0.036848,0.54804,0.17637
1.5868e-14,-0.16707,0,0,0.031406,0,-0.050122,0.38522,0.2399
1.5868e-14,-0.15677,0,0,0.034498,0,-0.04703,0.42314,0.2251
-1.5868e-14,-0.11177,0,0,0.047997,0,-0.033532,0.58871,0.16049
-1.5868e-14,-0.12776,0,0,0.043201,0,-0.038327,0.52989,0.18345
0,-0.13298,0,0,0.041634,0,-0.039895,0.51067,0.19095
1.5868e-14,-0.13214,0,0,0.041886,0,-0.039642,0.51376,0.18974
0,-0.1246,0,0,0.044149,0,-0.037379,0.54152,0.17891
1.5868e-14,-0.11989,0,0,0.045561,0,-0.035968,0.55883,0.17215
-1.5868e-14,-0.12812,0,0,0.043094,0,-0.038435,0.52857,0.18396
0,-0.12355,0,0,0.044462,0,-0.037066,0.54536,0.17741
1.5868e-14,-0.15264,0,0,0.035736,0,-0.045793,0.43832,0.21918
3.1736e-14,-0.14895,0,1.4827e-14,0.036845,0,-0.044684,0.45193,0.21387
0,-0.12267,0,0,0.044727,0,-0.036802,0.5486,0.17614
1.5868e-14,-0.14409,0,0,0.038302,0,-0.043226,0.4698,0.20689
0,-0.13061,0,0,0.042346,0,-0.039182,0.51941,0.18754
0,-0.16323,0,0,0.032559,0,-0.04897,0.39935,0.23438
-1.5868e-14,-0.15147,0,0,0.036086,0,-0.045442,0.44262,0.2175
3.1736e-14,-0.11862,0,1.4827e-14,0.045942,0,-0.035586,0.56351,0.17033
-1.5868e-14,-0.13854,0,0,0.039965,0,-0.041563,0.4902,0.19893
0,-0.16803,0,0,0.031119,0,-0.050409,0.3817,0.24127
0,-0.13155,0,0,0.042064,0,-0.039464,0.51595,0.18889
-1.5868e-14,-0.12143,0,0,0.0451,0,-0.036428,0.55318,0.17436
1.5868e-14,-0.13621,0,0,0.040666,0,-0.040863,0.49879,0.19558
-3.1736e-14,-0.14923,0,0,0.036761,0,-0.044768,0.45089,0.21427
