% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.021927,0,0,0.0044867,0,-0.0065782,0.40549,0.031485
0,-0.018997,0,0,0.0053659,0,-0.005699,0.48495,0.027277
0,-0.018224,0,0,0.0055978,0,-0.0054671,0.5059,0.026167
1.5868e-14,-0.019064,0,0,0.0053458,0,-0.0057191,0.48313,0.027374
0,-0.01667,0,0,0.006064,0,-0.0050009,0.54804,0.023936
1.5868e-14,-0.022675,0,0,0.0042624,0,-0.0068025,0.38522,0.032559
1.5868e-14,-0.021276,0,0,0.004682,0,-0.0063829,0.42314,0.03055
-1.5868e-14,-0.01517,0,0,0.0065141,0,-0.0045509,0.58871,0.021782
-1.5868e-14,-0.017339,0,0,0.0058632,0,-0.0052017,0.52989,0.024897
0,-0.018048,0,0,0.0056505,0,-0.0054144,0.51067,0.025915
1.5868e-14,-0.017934,0,0,0.0056847,0,-0.0053802,0.51376,0.025751
0,-0.01691,0,0,0.0059919,0,-0.005073,0.54152,0.024281
1.5868e-14,-0.016272,0,0,0.0061834,0,-0.0048815,0.55883,0.023364
-1.5868e-14,-0.017388,0,0,0.0058486,0,-0.0052163,0.52857,0.024967
0,-0.016768,0,0,0.0060344,0,-0.0050305,0.54536,0.024078
1.5868e-14,-0.020716,0,0,0.00485,0,-0.0062149,0.43832,0.029746
3.1736e-14,-0.020215,0,1.4827e-14,0.0050005,0,-0.0060644,0.45193,0.029026
0,-0.016649,0,0,0.0060702,0,-0.0049947,0.5486,0.023906
1.5868e-14,-0.019555,0,0,0.0051983,0,-0.0058666,0.4698,0.028079
0,-0.017726,0,0,0.0057472,0,-0.0053177,0.51941,0.025452
0,-0.022154,0,0,0.0044188,0,-0.0066461,0.39935,0.03181
-1.5868e-14,-0.020558,0,0,0.0048976,0,-0.0061674,0.44262,0.029519
3.1736e-14,-0.016099,0,1.4827e-14,0.0062352,0,-0.0048297,0.56351,0.023117
-1.5868e-14,-0.018803,0,0,0.0054241,0,-0.0056409,0.4902,0.026999
0,-0.022805,0,0,0.0042234,0,-0.0068415,0.3817,0.032745
0,-0.017853,0,0,0.0057089,0,-0.005356,0.51595,0.025635
-1.5868e-14,-0.01648,0,0,0.0061209,0,-0.004944,0.55318,0.023664
1.5868e-14,-0.018486,0,0,0.0055191,0,-0.0055458,0.49879,0.026544
-3.1736e-14,-0.020253,0,0,0.0049891,0,-0.0060758,0.45089,0.029081
1.5868e-14,-0.01674,0,0,0.0060428,0,-0.0050221,0.54612,0.024037
0,-0.026813,0,0,0.0030211,0,-0.0080438,0.27304,0.0385
1.5868e-14,-0.014581,0,0,0.0066907,0,-0.0043743,0.60467,0.020937
-1.5868e-14,-0.017864,0,0,0.0057057,0,-0.0053592,0.51565,0.025651
1.5868e-14,-0.020996,0,0,0.0047662,0,-0.0062987,0.43075,0.030147
