% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.028863,0,0,0.0059059,0,-0.0086589,0.40549,0.041444
0,-0.025005,0,0,0.0070631,0,-0.0075016,0.48495,0.035905
0,-0.023988,0,0,0.0073683,0,-0.0071964,0.5059,0.034444
1.5868e-14,-0.025094,0,0,0.0070366,0,-0.0075281,0.48313,0.036032
0,-0.021942,0,0,0.007982,0,-0.0065827,0.54804,0.031507
1.5868e-14,-0.029847,0,0,0.0056105,0,-0.0089542,0.38522,0.042857
1.5868e-14,-0.028006,0,0,0.0061629,0,-0.0084018,0.42314,0.040213
-1.5868e-14,-0.019968,0,0,0.0085744,0,-0.0059903,0.58871,0.028671
-1.5868e-14,-0.022823,0,0,0.0077177,0,-0.006847,0.52989,0.032772
0,-0.023757,0,0,0.0074377,0,-0.007127,0.51067,0.034112
1.5868e-14,-0.023606,0,0,0.0074828,0,-0.0070819,0.51376,0.033896
0,-0.022259,0,0,0.0078871,0,-0.0066776,0.54152,0.031961
1.5868e-14,-0.021418,0,0,0.0081392,0,-0.0064255,0.55883,0.030754
-1.5868e-14,-0.022887,0,0,0.0076985,0,-0.0068662,0.52857,0.032864
0,-0.022072,0,0,0.007943,0,-0.0066217,0.54536,0.031693
1.5868e-14,-0.027269,0,0,0.006384,0,-0.0081807,0.43832,0.039155
3.1736e-14,-0.026609,0,1.4827e-14,0.0065822,0,-0.0079826,0.45193,0.038207
0,-0.021915,0,0,0.0079902,0,-0.0065745,0.5486,0.031467
1.5868e-14,-0.025741,0,0,0.0068425,0,-0.0077222,0.4698,0.036961
0,-0.023332,0,0,0.007565,0,-0.0069997,0.51941,0.033503
0,-0.029161,0,0,0.0058165,0,-0.0087482,0.39935,0.041872
-1.5868e-14,-0.02706,0,0,0.0064466,0,-0.0081181,0.44262,0.038856
3.1736e-14,-0.021191,0,1.4827e-14,0.0082073,0,-0.0063574,0.56351,0.030428
-1.5868e-14,-0.02475,0,0,0.0071397,0,-0.0074251,0.4902,0.035539
0,-0.030018,0,0,0.0055593,0,-0.0090054,0.3817,0.043103
0,-0.0235,0,0,0.0075146,0,-0.0070501,0.51595,0.033744
-1.5868e-14,-0.021693,0,0,0.0080569,0,-0.0065078,0.55318,0.031148
1.5868e-14,-0.024333,0,0,0.0072648,0,-0.0072999,0.49879,0.03494
-3.1736e-14,-0.026659,0,0,0.0065671,0,-0.0079976,0.45089,0.038279
1.5868e-14,-0.022035,0,0,0.0079541,0,-0.0066106,0.54612,0.03164
0,-0.035293,0,0,0.0039767,0,-0.010588,0.27304,0.050677
1.5868e-14,-0.019193,0,0,0.0088069,0,-0.0057578,0.60467,0.027559
-1.5868e-14,-0.023515,0,0,0.0075104,0,-0.0070544,0.51565,0.033764
1.5868e-14,-0.027637,0,0,0.0062738,0,-0.008291,0.43075,0.039683
-1.5868e-14,-0.031637,0,0,0.0050735,0,-0.0094912,0.34834,0.045428
1.5868e-14,-0.02576,0,0,0.0068366,0,-0.0077281,0.46939,0.036989
1.5868e-14,-0.027962,0,0,0.0061763,0,-0.0083885,0.42406,0.04015
-1.5868e-14,-0.019764,0,0,0.0086354,0,-0.0059293,0.5929,0.028379
-1.5868e-14,-0.023089,0,0,0.007638,0,-0.0069267,0.52442,0.033153
1.5868e-14,-0.025269,0,0,0.006984,0,-0.0075807,0.47951,0.036284
-1.5868e-14,-0.029385,0,0,0.0057491,0,-0.0088156,0.39473,0.042194
0,-0.026127,0,0,0.0067267,0,-0.007838,0.46185,0.037515
-1.5868e-14,-0.033352,0,0,0.0045591,0,-0.010006,0.31303,0.04789
1.5868e-14,-0.03039,0,0,0.0054478,0,-0.0091169,0.37404,0.043636
1.5868e-14,-0.028462,0,0,0.006026,0,-0.0085387,0.41374,0.040869
0,-0.029958,0,0,0.0055773,0,-0.0089874,0.38293,0.043017
-1.5868e-14,-0.024801,0,0,0.0071245,0,-0.0074402,0.48916,0.035611
1.5868e-14,-0.032616,0,0,0.00478,0,-0.0097847,0.32819,0.046832
-1.5868e-14,-0.02423,0,0,0.0072958,0,-0.0072689,0.50092,0.034791
-1.5868e-14,-0.02794,0,0,0.0061828,0,-0.008382,0.4245,0.040119
0,-0.02412,0,0,0.0073287,0,-0.007236,0.50318,0.034634
0,-0.017883,0,0,0.0091998,0,-0.005365,0.63165,0.025678
0,-0.02471,0,0,0.0071517,0,-0.007413,0.49103,0.035481
-1.5868e-14,-0.025722,0,0,0.0068481,0,-0.0077166,0.47018,0.036934
0,-0.022514,0,0,0.0078105,0,-0.0067542,0.53626,0.032328
1.5868e-14,-0.02482,0,0,0.0071186,0,-0.0074461,0.48876,0.035639
0,-0.019732,0,0,0.008645,0,-0.0059197,0.59356,0.028334
-1.5868e-14,-0.024628,0,0,0.0071763,0,-0.0073884,0.49272,0.035363
-1.5868e-14,-0.021196,0,0,0.0082058,0,-0.0063589,0.5634,0.030436
-1.5868e-14,-0.026681,0,0,0.0065605,0,-0.0080042,0.45044,0.038311
1.5868e-14,-0.02213,0,0,0.0079256,0,-0.0066391,0.54416,0.031777
