% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.031633,0,0,0.0064726,0,-0.0094899,0.40549,0.045421
0,-0.027405,0,0,0.007741,0,-0.0082215,0.48495,0.039351
0,-0.02629,0,0,0.0080755,0,-0.007887,0.5059,0.03775
1.5868e-14,-0.027502,0,0,0.0077119,0,-0.0082506,0.48313,0.03949
0,-0.024048,0,0,0.008748,0,-0.0072145,0.54804,0.034531
1.5868e-14,-0.032712,0,0,0.006149,0,-0.0098135,0.38522,0.04697
1.5868e-14,-0.030694,0,0,0.0067544,0,-0.0092081,0.42314,0.044073
-1.5868e-14,-0.021884,0,0,0.0093973,0,-0.0065652,0.58871,0.031423
-1.5868e-14,-0.025014,0,0,0.0084584,0,-0.0075041,0.52989,0.035917
0,-0.026037,0,0,0.0081515,0,-0.007811,0.51067,0.037386
1.5868e-14,-0.025872,0,0,0.0082009,0,-0.0077616,0.51376,0.037149
0,-0.024395,0,0,0.008644,0,-0.0073185,0.54152,0.035028
1.5868e-14,-0.023474,0,0,0.0089204,0,-0.0070421,0.55883,0.033706
-1.5868e-14,-0.025084,0,0,0.0084373,0,-0.0075252,0.52857,0.036018
0,-0.024191,0,0,0.0087053,0,-0.0072572,0.54536,0.034735
1.5868e-14,-0.029886,0,0,0.0069967,0,-0.0089658,0.43832,0.042913
3.1736e-14,-0.029162,0,1.4827e-14,0.0072139,0,-0.0087486,0.45193,0.041874
0,-0.024018,0,0,0.0087571,0,-0.0072054,0.5486,0.034487
1.5868e-14,-0.028211,0,0,0.0074992,0,-0.0084633,0.4698,0.040508
0,-0.025572,0,0,0.008291,0,-0.0076715,0.51941,0.036718
0,-0.031959,0,0,0.0063747,0,-0.0095878,0.39935,0.04589
-1.5868e-14,-0.029657,0,0,0.0070653,0,-0.0088972,0.44262,0.042585
3.1736e-14,-0.023225,0,1.4827e-14,0.008995,0,-0.0069675,0.56351,0.033348
-1.5868e-14,-0.027125,0,0,0.0078249,0,-0.0081376,0.4902,0.038949
0,-0.032899,0,0,0.0060928,0,-0.0098697,0.3817,0.047239
0,-0.025756,0,0,0.0082358,0,-0.0077267,0.51595,0.036982
-1.5868e-14,-0.023774,0,0,0.0088302,0,-0.0071323,0.55318,0.034138
1.5868e-14,-0.026668,0,0,0.007962,0,-0.0080005,0.49879,0.038293
-3.1736e-14,-0.029217,0,0,0.0071974,0,-0.0087651,0.45089,0.041952
1.5868e-14,-0.02415,0,0,0.0087175,0,-0.007245,0.54612,0.034677
0,-0.03868,0,0,0.0043584,0,-0.011604,0.27304,0.055541
1.5868e-14,-0.021035,0,0,0.0096521,0,-0.0063104,0.60467,0.030204
-1.5868e-14,-0.025771,0,0,0.0082311,0,-0.0077314,0.51565,0.037005
1.5868e-14,-0.030289,0,0,0.0068759,0,-0.0090866,0.43075,0.043491
-1.5868e-14,-0.034674,0,0,0.0055604,0,-0.010402,0.34834,0.049788
1.5868e-14,-0.028233,0,0,0.0074927,0,-0.0084698,0.46939,0.040539
1.5868e-14,-0.030645,0,0,0.006769,0,-0.0091935,0.42406,0.044003
-1.5868e-14,-0.021661,0,0,0.0094641,0,-0.0064984,0.5929,0.031103
-1.5868e-14,-0.025305,0,0,0.008371,0,-0.0075915,0.52442,0.036335
1.5868e-14,-0.027694,0,0,0.0076542,0,-0.0083083,0.47951,0.039766
-1.5868e-14,-0.032206,0,0,0.0063008,0,-0.0096617,0.39473,0.046244
0,-0.028634,0,0,0.0073723,0,-0.0085902,0.46185,0.041115
-1.5868e-14,-0.036553,0,0,0.0049967,0,-0.010966,0.31303,0.052486
1.5868e-14,-0.033306,0,0,0.0059707,0,-0.0099919,0.37404,0.047824
1.5868e-14,-0.031194,0,0,0.0066043,0,-0.0093582,0.41374,0.044791
0,-0.032833,0,0,0.0061125,0,-0.00985,0.38293,0.047145
