% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.018502,0,0,0.0037858,0,-0.0055506,0.40549,0.026567
0,-0.016029,0,0,0.0045277,0,-0.0048087,0.48495,0.023016
0,-0.015377,0,0,0.0047233,0,-0.0046131,0.5059,0.022079
1.5868e-14,-0.016086,0,0,0.0045107,0,-0.0048257,0.48313,0.023097
0,-0.014066,0,0,0.0051167,0,-0.0042197,0.54804,0.020197
1.5868e-14,-0.019133,0,0,0.0035965,0,-0.0057399,0.38522,0.027473
1.5868e-14,-0.017953,0,0,0.0039506,0,-0.0053858,0.42314,0.025778
-1.5868e-14,-0.0128,0,0,0.0054964,0,-0.0038399,0.58871,0.018379
-1.5868e-14,-0.01463,0,0,0.0049473,0,-0.0043891,0.52989,0.021007
0,-0.015229,0,0,0.0047678,0,-0.0045686,0.51067,0.021867
1.5868e-14,-0.015132,0,0,0.0047967,0,-0.0045397,0.51376,0.021728
0,-0.014268,0,0,0.0050558,0,-0.0042805,0.54152,0.020488
1.5868e-14,-0.01373,0,0,0.0052175,0,-0.0041189,0.55883,0.019714
-1.5868e-14,-0.014671,0,0,0.0049349,0,-0.0044014,0.52857,0.021066
0,-0.014149,0,0,0.0050917,0,-0.0042447,0.54536,0.020316
1.5868e-14,-0.01748,0,0,0.0040923,0,-0.005244,0.43832,0.025099
3.1736e-14,-0.017057,0,1.4827e-14,0.0042193,0,-0.005117,0.45193,0.024492
0,-0.014048,0,0,0.005122,0,-0.0042144,0.5486,0.020171
1.5868e-14,-0.0165,0,0,0.0043862,0,-0.0049501,0.4698,0.023693
0,-0.014957,0,0,0.0048494,0,-0.004487,0.51941,0.021476
0,-0.018693,0,0,0.0037285,0,-0.0056078,0.39935,0.026841
-1.5868e-14,-0.017346,0,0,0.0041325,0,-0.0052039,0.44262,0.024907
3.1736e-14,-0.013584,0,1.4827e-14,0.0052611,0,-0.0040752,0.56351,0.019505
-1.5868e-14,-0.015866,0,0,0.0045767,0,-0.0047597,0.4902,0.022781
0,-0.019242,0,0,0.0035637,0,-0.0057727,0.3817,0.02763
0,-0.015064,0,0,0.0048171,0,-0.0045193,0.51595,0.021631
-1.5868e-14,-0.013906,0,0,0.0051647,0,-0.0041717,0.55318,0.019967
1.5868e-14,-0.015598,0,0,0.0046569,0,-0.0046794,0.49879,0.022397
-3.1736e-14,-0.017089,0,0,0.0042097,0,-0.0051267,0.45089,0.024538
1.5868e-14,-0.014125,0,0,0.0050988,0,-0.0042375,0.54612,0.020282
0,-0.022624,0,0,0.0025492,0,-0.0067872,0.27304,0.032485
1.5868e-14,-0.012303,0,0,0.0056454,0,-0.0036909,0.60467,0.017666
-1.5868e-14,-0.015073,0,0,0.0048143,0,-0.004522,0.51565,0.021644
1.5868e-14,-0.017716,0,0,0.0040216,0,-0.0053147,0.43075,0.025438
-1.5868e-14,-0.02028,0,0,0.0032522,0,-0.0060841,0.34834,0.02912
1.5868e-14,-0.016513,0,0,0.0043824,0,-0.0049539,0.46939,0.023711
1.5868e-14,-0.017924,0,0,0.0039591,0,-0.0053772,0.42406,0.025737
-1.5868e-14,-0.012669,0,0,0.0055355,0,-0.0038008,0.5929,0.018192
-1.5868e-14,-0.014801,0,0,0.0048962,0,-0.0044402,0.52442,0.021252
1.5868e-14,-0.016198,0,0,0.0044769,0,-0.0048595,0.47951,0.023259
-1.5868e-14,-0.018837,0,0,0.0036853,0,-0.005651,0.39473,0.027048
0,-0.016748,0,0,0.004312,0,-0.0050244,0.46185,0.024048
-1.5868e-14,-0.021379,0,0,0.0029225,0,-0.0064138,0.31303,0.030699
1.5868e-14,-0.019481,0,0,0.0034922,0,-0.0058442,0.37404,0.027972
1.5868e-14,-0.018245,0,0,0.0038628,0,-0.0054736,0.41374,0.026198
0,-0.019204,0,0,0.0035752,0,-0.0057612,0.38293,0.027575
-1.5868e-14,-0.015898,0,0,0.004567,0,-0.0047694,0.48916,0.022828
1.5868e-14,-0.020907,0,0,0.0030641,0,-0.0062722,0.32819,0.030021
-1.5868e-14,-0.015532,0,0,0.0046768,0,-0.0046596,0.50092,0.022302
-1.5868e-14,-0.01791,0,0,0.0039633,0,-0.0053731,0.4245,0.025717
0,-0.015462,0,0,0.0046979,0,-0.0046385,0.50318,0.022201
0,-0.011464,0,0,0.0058973,0,-0.0034391,0.63165,0.01646
0,-0.01584,0,0,0.0045844,0,-0.004752,0.49103,0.022744
-1.5868e-14,-0.016489,0,0,0.0043898,0,-0.0049466,0.47018,0.023676
0,-0.014432,0,0,0.0050068,0,-0.0043296,0.53626,0.020723
1.5868e-14,-0.01591,0,0,0.0045632,0,-0.0047731,0.48876,0.022846
0,-0.012649,0,0,0.0055417,0,-0.0037947,0.59356,0.018163
-1.5868e-14,-0.015787,0,0,0.0046002,0,-0.0047361,0.49272,0.022669
