% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.038272,0,0,0.0078312,0,-0.011482,0.40549,0.054955
0,-0.033157,0,0,0.0093658,0,-0.0099472,0.48495,0.04761
0,-0.031808,0,0,0.0097705,0,-0.0095425,0.5059,0.045673
1.5868e-14,-0.033274,0,0,0.0093306,0,-0.0099823,0.48313,0.047778
0,-0.029096,0,0,0.010584,0,-0.0087288,0.54804,0.041778
1.5868e-14,-0.039578,0,0,0.0074396,0,-0.011873,0.38522,0.056829
1.5868e-14,-0.037136,0,0,0.0081721,0,-0.011141,0.42314,0.053323
-1.5868e-14,-0.026477,0,0,0.01137,0,-0.0079432,0.58871,0.038018
-1.5868e-14,-0.030264,0,0,0.010234,0,-0.0090792,0.52989,0.043456
0,-0.031501,0,0,0.0098625,0,-0.0094504,0.51067,0.045233
1.5868e-14,-0.031302,0,0,0.0099222,0,-0.0093907,0.51376,0.044947
0,-0.029515,0,0,0.010458,0,-0.0088546,0.54152,0.042381
1.5868e-14,-0.028401,0,0,0.010793,0,-0.0085202,0.55883,0.04078
-1.5868e-14,-0.030349,0,0,0.010208,0,-0.0091046,0.52857,0.043578
0,-0.029268,0,0,0.010533,0,-0.0087804,0.54536,0.042026
1.5868e-14,-0.036159,0,0,0.0084653,0,-0.010848,0.43832,0.05192
3.1736e-14,-0.035283,0,1.4827e-14,0.008728,0,-0.010585,0.45193,0.050663
0,-0.029059,0,0,0.010595,0,-0.0087178,0.5486,0.041726
1.5868e-14,-0.034132,0,0,0.0090732,0,-0.01024,0.4698,0.04901
0,-0.030939,0,0,0.010031,0,-0.0092817,0.51941,0.044425
0,-0.038667,0,0,0.0077127,0,-0.0116,0.39935,0.055522
-1.5868e-14,-0.035882,0,0,0.0085483,0,-0.010765,0.44262,0.051523
3.1736e-14,-0.0281,0,1.4827e-14,0.010883,0,-0.0084299,0.56351,0.040348
-1.5868e-14,-0.032819,0,0,0.0094672,0,-0.0098457,0.4902,0.047124
0,-0.039804,0,0,0.0073717,0,-0.011941,0.3817,0.057154
0,-0.031162,0,0,0.0099644,0,-0.0093485,0.51595,0.044745
-1.5868e-14,-0.028765,0,0,0.010684,0,-0.0086294,0.55318,0.041303
1.5868e-14,-0.032266,0,0,0.0096332,0,-0.0096798,0.49879,0.04633
-3.1736e-14,-0.03535,0,0,0.0087081,0,-0.010605,0.45089,0.050758
1.5868e-14,-0.029219,0,0,0.010547,0,-0.0087657,0.54612,0.041955
0,-0.046799,0,0,0.0052731,0,-0.01404,0.27304,0.067198
1.5868e-14,-0.02545,0,0,0.011678,0,-0.0076349,0.60467,0.036543
-1.5868e-14,-0.03118,0,0,0.0099588,0,-0.0093541,0.51565,0.044772
1.5868e-14,-0.036646,0,0,0.0083191,0,-0.010994,0.43075,0.05262
-1.5868e-14,-0.041952,0,0,0.0067275,0,-0.012585,0.34834,0.060238
1.5868e-14,-0.034158,0,0,0.0090654,0,-0.010248,0.46939,0.049048
1.5868e-14,-0.037077,0,0,0.0081898,0,-0.011123,0.42406,0.053239
-1.5868e-14,-0.026208,0,0,0.011451,0,-0.0078623,0.5929,0.037631
-1.5868e-14,-0.030616,0,0,0.010128,0,-0.0091849,0.52442,0.043962
1.5868e-14,-0.033507,0,0,0.0092608,0,-0.010052,0.47951,0.048112
-1.5868e-14,-0.038965,0,0,0.0076233,0,-0.01169,0.39473,0.05595
0,-0.034644,0,0,0.0089197,0,-0.010393,0.46185,0.049745
-1.5868e-14,-0.044225,0,0,0.0060454,0,-0.013267,0.31303,0.063502
1.5868e-14,-0.040297,0,0,0.0072238,0,-0.012089,0.37404,0.057862
1.5868e-14,-0.037741,0,0,0.0079905,0,-0.011322,0.41374,0.054193
0,-0.039725,0,0,0.0073955,0,-0.011917,0.38293,0.05704
-1.5868e-14,-0.032886,0,0,0.0094471,0,-0.0098658,0.48916,0.047221
1.5868e-14,-0.043249,0,0,0.0063383,0,-0.012975,0.32819,0.0621
-1.5868e-14,-0.032129,0,0,0.0096743,0,-0.0096387,0.50092,0.046133
-1.5868e-14,-0.037048,0,0,0.0081984,0,-0.011115,0.4245,0.053197
0,-0.031983,0,0,0.0097179,0,-0.009595,0.50318,0.045925
0,-0.023713,0,0,0.012199,0,-0.007114,0.63165,0.03405
0,-0.032766,0,0,0.0094832,0,-0.0098297,0.49103,0.047048
-1.5868e-14,-0.034108,0,0,0.0090806,0,-0.010232,0.47018,0.048975
0,-0.029854,0,0,0.010357,0,-0.0089561,0.53626,0.042867
1.5868e-14,-0.032912,0,0,0.0094394,0,-0.0098735,0.48876,0.047258
0,-0.026165,0,0,0.011463,0,-0.0078496,0.59356,0.03757
-1.5868e-14,-0.032657,0,0,0.0095159,0,-0.0097971,0.49272,0.046892
-1.5868e-14,-0.028107,0,0,0.010881,0,-0.008432,0.5634,0.040358
-1.5868e-14,-0.035379,0,0,0.0086993,0,-0.010614,0.45044,0.0508
1.5868e-14,-0.029345,0,0,0.010509,0,-0.0088035,0.54416,0.042136
1.5868e-14,-0.032947,0,0,0.0094289,0,-0.009884,0.48822,0.047308
0,-0.039995,0,0,0.0073144,0,-0.011999,0.37873,0.057429
1.5868e-14,-0.027745,0,0,0.01099,0,-0.0083234,0.56903,0.039838
0,-0.032597,0,0,0.009534,0,-0.009779,0.49366,0.046805
1.5868e-14,-0.035294,0,0,0.0087247,0,-0.010588,0.45175,0.050679
0,-0.034622,0,0,0.0089264,0,-0.010387,0.4622,0.049713
1.5868e-14,-0.035963,0,0,0.0085242,0,-0.010789,0.44137,0.051638
1.5868e-14,-0.027764,0,0,0.010984,0,-0.0083292,0.56872,0.039866
-1.5868e-14,-0.037268,0,0,0.0081326,0,-0.01118,0.4211,0.053512
0,-0.036059,0,0,0.0084952,0,-0.010818,0.43987,0.051777
0,-0.033024,0,0,0.0094057,0,-0.0099072,0.48702,0.047419
0,-0.032504,0,0,0.0095618,0,-0.0097511,0.4951,0.046672
0,-0.039441,0,0,0.0074805,0,-0.011832,0.38733,0.056634
0,-0.03612,0,0,0.0084768,0,-0.010836,0.43892,0.051865
0,-0.033246,0,0,0.0093392,0,-0.0099737,0.48357,0.047737
0,-0.042471,0,0,0.0065716,0,-0.012741,0.34027,0.060984
-1.5868e-14,-0.03389,0,0,0.0091459,0,-0.010167,0.47356,0.048663
1.5868e-14,-0.033153,0,0,0.0093671,0,-0.0099459,0.48502,0.047604
0,-0.046571,0,0,0.0053416,0,-0.013971,0.27658,0.066871
-1.5868e-14,-0.029846,0,0,0.010359,0,-0.0089538,0.53638,0.042856
0,-0.036672,0,0,0.0083112,0,-0.011002,0.43035,0.052657
0,-0.030932,0,0,0.010033,0,-0.0092796,0.51951,0.044415
0,-0.045726,0,0,0.0055951,0,-0.013718,0.28971,0.065658
-1.5868e-14,-0.035821,0,0,0.0085667,0,-0.010746,0.44357,0.051435
1.5868e-14,-0.0297,0,0,0.010403,0,-0.0089099,0.53865,0.042646
0,-0.051008,0,0,0.0040105,0,-0.015302,0.20766,0.073242
0,-0.048062,0,0,0.0048943,0,-0.014419,0.25342,0.069012
-1.5868e-14,-0.031786,0,0,0.0097773,0,-0.0095357,0.50625,0.045641
-3.1736e-14,-0.03837,0,0,0.007802,0,-0.011511,0.40398,0.055095
0,-0.031171,0,0,0.0099615,0,-0.0093514,0.5158,0.044758
