Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
0,Argentina,corn,0.0468166,-0.0163858,214551273,5452063,232911724,-0.00596166,-0.0325031
1,Argentina,corn,0.0704747,-0.0246662,317442321,12354607,350610887,-0.0107699,-0.0487239
2,Argentina,corn,-0.133841,0.0468443,-693561894,44559444,-665856766,-0.00899589,0.095883
3,Argentina,corn,-0.0805267,0.0281843,-403049140,16130272,-400619216,-0.000788999,0.057163
4,Argentina,corn,0.132008,-0.0462029,567669264,43347499,656739226,-0.0289211,-0.0902711
5,Argentina,corn,0.151057,-0.0528699,640040181,56760144,751506392,-0.0361932,-0.102945
6,Argentina,corn,0.103796,-0.0363286,456062156,26799351,516384355,-0.0195867,-0.0713375
7,Argentina,corn,0.0445396,-0.0155889,204452753,4934628,221583870,-0.0055625,-0.0309347
8,Argentina,corn,0.164163,-0.0574572,688436981,67036995,816710623,-0.0416506,-0.111613
9,Argentina,corn,0.020215,-0.00707524,94424890,1016502,100569238,-0.00199508,-0.0141004
0,Australia,corn,0.105085,-0.0341527,10473688,320231,6094700,0.0473492,-0.0671389
1,Australia,corn,0.0694637,-0.0225757,7037124,139926,4028738,0.0325291,-0.0446417
2,Australia,corn,0.15989,-0.0519643,15533126,741353,9273276,0.0676866,-0.101228
3,Australia,corn,0.129374,-0.0420466,12750060,485374,7503413,0.056731,-0.0823253
4,Australia,corn,-0.121871,0.039608,-13418484,430706,-7068237,-0.068664,0.0807849
5,Australia,corn,0.0150453,-0.00488973,1561834,6564,872594,0.00745262,-0.00975554
6,Australia,corn,-0.0659054,0.0214193,-7086863,125957,-3822366,-0.0352984,0.0432973
7,Australia,corn,0.0416937,-0.0135504,4277079,50411,2418140,0.0201004,-0.0269173
8,Australia,corn,0.255577,-0.0830625,23704495,1894194,14822885,0.0960352,-0.159226
9,Australia,corn,0.0138077,-0.00448749,1434139,5529,800813,0.00684804,-0.00895484
0,Brazil,corn,0.107458,-0.0268644,1516865282,57444021,1069148238,0.0381637,-0.0530071
1,Brazil,corn,0.100822,-0.0252055,1427766065,50568517,1003126299,0.0361966,-0.0497756
2,Brazil,corn,-0.00628492,0.00157123,-93600860,196504,-62531793,-0.00264835,0.00314493
3,Brazil,corn,-0.0572366,0.0143092,-872342124,16297433,-569475585,-0.0258165,0.0288231
4,Brazil,corn,0.098951,-0.0247377,1402536868,48709219,984512183,0.0356327,-0.0488635
5,Brazil,corn,0.014733,-0.00368326,217302559,1079829,146586157,0.00602791,-0.00735295
6,Brazil,corn,-0.000760037,0.000190009,-11290490,2874,-7561984,-0.00031782,0.000380055
7,Brazil,corn,-0.075039,0.0187598,-1152793508,28012093,-746600524,-0.0346241,0.0378714
8,Brazil,corn,-0.102342,0.0255855,-1591323459,52104838,-1018250267,-0.0488491,0.0518256
9,Brazil,corn,-0.00783423,0.00195856,-116757473,305326,-77946607,-0.00330826,0.00392095
0,Canada,corn,0.83001,-0.190902,1174211089,272052355,655540054,0.295882,-0.345361
1,Canada,corn,0.924081,-0.212539,1253707588,337214507,729837396,0.298848,-0.379905
2,Canada,corn,0.343243,-0.0789459,588576329,46525273,271092470,0.181112,-0.151659
3,Canada,corn,0.954596,-0.219557,1277150840,359852771,753937618,0.298473,-0.390909
4,Canada,corn,0.433677,-0.0997458,719473067,74271006,342517401,0.215039,-0.189542
5,Canada,corn,1.05696,-0.243101,1347409965,441167766,834785456,0.292433,-0.427104
6,Canada,corn,0.735628,-0.169194,1083488106,213699036,580997506,0.286652,-0.309762
7,Canada,corn,0.81187,-0.18673,1157626739,260290733,641213032,0.294594,-0.338592
8,Canada,corn,0.306342,-0.0704586,532268321,37059380,241948015,0.165617,-0.135953
9,Canada,corn,0.748712,-0.172204,1096720527,221368376,591331177,0.288305,-0.314753
0,China,corn,0.535953,-0.0535953,46592406888,3150288771,11755848879,0.390682,-0.104318
1,China,corn,0.659157,-0.0659157,56025095090,4765129578,14458264631,0.466161,-0.127486
2,China,corn,0.504531,-0.0504531,44110262068,2791728726,11066630755,0.370575,-0.0983607
3,China,corn,0.330897,-0.0330897,29833854378,1200836219,7258062459,0.253181,-0.0650845
4,China,corn,0.185814,-0.0185814,17177333808,378666376,4075746680,0.146931,-0.0368176
5,China,corn,0.211417,-0.0211417,19458973047,490206111,4637331817,0.166221,-0.0418365
6,China,corn,0.327794,-0.0327794,29570060011,1178417366,7189991533,0.250986,-0.0644843
7,China,corn,0.861535,-0.0861535,70482697307,8140362112,18897339878,0.578516,-0.164885
8,China,corn,0.215684,-0.0215684,19837240604,510193944,4730929340,0.169413,-0.0426717
9,China,corn,0.564348,-0.0564348,48808802306,3492949452,12378697849,0.408554,-0.109685
0,Egypt,corn,-0.0166151,0.00556606,-43302165,208849,-25139626,-0.00802544,0.0111631
1,Egypt,corn,0.00924049,-0.00309556,23798233,64597,13981396,0.00433774,-0.00618155
2,Egypt,corn,0.11053,-0.0370277,271343426,9242503,167239007,0.0460004,-0.0726844
3,Egypt,corn,0.0864519,-0.0289614,214709078,5654244,130806715,0.0370737,-0.057084
4,Egypt,corn,0.0693037,-0.0232167,173534276,3633608,104860470,0.0303447,-0.0458944
5,Egypt,corn,0.0669935,-0.0224428,167933930,3395405,101365121,0.0294146,-0.044382
6,Egypt,corn,0.0832533,-0.0278898,207081891,5243582,125967001,0.035842,-0.0550018
7,Egypt,corn,0.18019,-0.0603635,427417247,24563189,272637223,0.0683923,-0.117083
8,Egypt,corn,0.0876069,-0.0293483,217457358,5806343,132554390,0.0375159,-0.0578353
9,Egypt,corn,0.00959589,-0.00321462,24709492,69662,14519142,0.00450279,-0.00641891
0,India,corn,0.18902,-0.047255,671865319,31310060,331288190,0.099874,-0.092277
1,India,corn,0.281746,-0.0704364,966118157,69563610,493804515,0.138506,-0.135911
2,India,corn,0.0358859,-0.00897147,134988168,1128536,62895818,0.021141,-0.0178625
3,India,corn,0.0288204,-0.0072051,108686090,727894,50512406,0.0170594,-0.0143583
4,India,corn,0.129315,-0.0323289,470090397,14654432,226646230,0.0713898,-0.0636126
5,India,corn,0.0874324,-0.0218581,322789311,6699045,153239405,0.0497204,-0.0432384
6,India,corn,0.150318,-0.0375794,542168002,19801053,263456028,0.0817321,-0.0737466
7,India,corn,-0.162482,0.0406205,-654787207,23135481,-284775924,-0.108506,0.082891
8,India,corn,-0.0616713,0.0154178,-240120245,3332991,-108088889,-0.0387181,0.0310734
9,India,corn,0.260088,-0.0650219,899471692,59279946,455845740,0.130093,-0.125816
0,Indonesia,corn,0.305903,-0.120526,1504707389,185405399,1212185746,0.057854,-0.226525
1,Indonesia,corn,0.0772426,-0.0304336,435401005,11821421,306085555,0.0255756,-0.059941
2,Indonesia,corn,0.115092,-0.0453462,635073457,26244923,456069088,0.0354029,-0.0886361
3,Indonesia,corn,0.522759,-0.205967,2215493306,541450559,2071511685,0.0284762,-0.369512
4,Indonesia,corn,0.157594,-0.0620919,848567917,49207699,624488599,0.0443177,-0.120328
