Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0155623857137301,-0.0123845465509862,71804550.266054,1474717.20126057,104667689.770414,-32863139.5043604,-73279267.4673142,-0.0246157161086987,-0.0246157161086991,2976930150.79166,2976930150.79166,33087165
1,Brazil,corn,0.0155623857137299,-0.0123845465509863,225048235.503736,4622026.08025523,328047161.493333,-102998925.989597,-229670261.583992,-0.024615716108699,-0.0246157161086991,9330228727.44408,9330228727.44408,79881614
1,Chile,corn,0.0155623857137299,-0.0123845465509863,6020253.75256603,123643.581527448,8775572.71479291,-2755318.96222688,-6143897.33409348,-0.0246157161086991,-0.024615716108699,249592467.956773,249592467.956773,1518545
1,China,corn,0.0306586826347304,-0.0287609101796409,2786086821.43475,93490930.1741603,5136297269.30698,-2350210447.87223,-2879577751.60892,-0.0566946304049204,-0.0566946304049202,50791013735.2094,50791013735.2094,215646300
1,Colombia,corn,0.01556238571373,-0.0123845465509861,8965215.68596143,184127.018916081,13068369.771361,-4103154.08539954,-9149342.70487744,-0.0246157161086989,-0.0246157161086989,371687041.907515,371687041.907515,1803039
1,Ecuador,corn,0.0155623857137298,-0.0123845465509865,8481844.64987883,174199.575893863,12363771.9504536,-3881927.30057481,-8656044.2257728,-0.0246157161086992,-0.0246157161086992,351647061.070621,351647061.070621,1667704
1,El Salvador,corn,0.01556238571373,-0.0123845465509864,3724988.32084622,76503.568797417,5429821.93357002,-1704833.6127238,-3801491.88964364,-0.0246157161086988,-0.0246157161086991,154433528.273436,154433528.273436,866701
1,Mexico,corn,0.01556238571373,-0.0123845465509863,82673088.8110504,1697934.54174222,120510485.477239,-37837396.6661885,-84371023.3527932,-0.0246157161086988,-0.0246157161086993,3427526665.49384,3427526665.49384,23273257
1,Nicaragua,corn,0.01556238571373,-0.0123845465509862,1809391.56846137,37161.1668054316,2637504.65199212,-828113.083530743,-1846552.73526679,-0.0246157161086988,-0.0246157161086989,75015194.6468962,75015194.6468962,465293
1,Panama,corn,0.0155623857137297,-0.0123845465509866,1096824.26987115,22526.5057930979,1598813.1947929,-501988.924921747,-1119350.77566427,-0.0246157161086996,-0.0246157161086992,45473012.8801206,45473012.8801206,134701
1,Paraguay,corn,0.01556238571373,-0.0123845465509861,8195700.402484,168322.763879703,11946666.6666667,-3750966.26418266,-8364023.16636366,-0.0246157161086987,-0.024615716108699,339783865.292787,339783865.292787,3200000
1,Peru,corn,0.0155623857137301,-0.0123845465509857,13034835.9866018,267708.616986347,19000553.087495,-5965717.10089317,-13302544.6035878,-0.024615716108698,-0.0246157161086986,540408596.883639,540408596.883639,1529636
1,United States,corn,0.105807324379167,-0.0855769639578701,4728610088.31199,610800718.950827,8153285315.04804,-3424675226.73605,-5339410807.26281,-0.163830511155494,-0.163830511155494,32591064812.0673,32591064812.0673,361091140
1,Uruguay,corn,0.0155623857137299,-0.0123845465509862,1910302.13291281,39233.6614402987,2784599.44773175,-874297.314818941,-1949535.79435313,-0.024615716108699,-0.0246157161086991,79198825.0816788,79198825.0816788,564500
1,Venezuela,corn,0.0155623857137297,-0.0123845465509864,42873730.3958324,880537.897148181,62495960.1549505,-19622229.7591181,-43754268.2929811,-0.0246157161086994,-0.024615716108699,1777493212.05077,1777493212.05077,2271059
1,Argentina,soybean,0.0235475446333005,-0.0197375519116325,372197426.83099,10632762.5597385,586480074.408494,-214282647.577503,-382830189.39073,-0.0390855328678008,-0.0390855328678006,9794677500.89477,9794677500.89477,53397715
1,Brazil,soybean,0.0235475446333005,-0.0197375519116326,842710772.716534,24074168.4571007,1327878811.2419,-485168038.52537,-866784941.173637,-0.0390855328678006,-0.0390855328678007,22176618241.4698,22176618241.4698,86760520
1,China,soybean,0.0697718272675844,-0.058140863662078,647851912.026067,68219814.1250235,976035043.365691,-328183131.339624,-716071726.151091,-0.112901367296784,-0.112901367296784,6342453978.15913,6342453978.15913,12154000
