Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.038095238095238,-0.0133333333333334,175685073.29219,3609967.25942857,189523281.12,-13838207.8278103,-179295040.55162,-0.00449328449328474,-0.026488888888889,6768688611.42857,6768688611.42857,33087165
1,Brazil,corn,0.0597014925373133,-0.0149253731343283,862219186.006517,17731333.7822089,593999681.704,268219504.302517,-879950519.788727,0.0228632014685686,-0.0296279795054577,29699984085.2,29699984085.2,79881614
1,China,corn,0.278260869565218,-0.0278260869565218,25299160435.4381,848531811.906785,6098822398.08,19200338037.3581,-26147692247.345,0.215492049371734,-0.0548778827977318,476470499850,476470499850,215646300
1,Mexico,corn,0.112676056338028,-0.0152112676056338,597707692.081463,12293524.3736338,218210057.632001,379497634.449463,-610001216.455097,0.07816355324541,-0.0301911525490974,20204634965.9259,20204634965.9259,23273257
1,United States,corn,0.578599735799207,-0.099229854689564,25649834197.947,3340119757.15831,11545528110.36,14104306087.587,-28989953955.1053,0.298422622281993,-0.188613145317416,153700601865.889,153700601865.889,361091140
1,Argentina,soybean,0.159420289855073,-0.00398550724637676,2540447182.14198,71985343.509511,903088854.937502,1637358327.20447,-2612432525.65149,0.118712555385523,-0.00795513022474271,328395947250,328395947250,53397715
1,Brazil,soybean,0.144736842105263,-0.00578947368421057,5217314654.61631,147973777.013816,2044728555.1,3172586099.51631,-5365288431.63013,0.102816390214598,-0.0115454293628809,464711035250,464711035250,86760520
1,China,soybean,0.389473684210526,-0.00973684210526321,3716014023.70637,380810183.478947,1955511753,1760502270.70637,-4096824207.18533,0.214904834241801,-0.0193788781163436,211406676000,211406676000,12154000
1,United States,soybean,0.279497098646035,-0.0919545454545454,8971561729.78273,1601425909.70995,11459338343.53,-2487776613.74727,-10572987639.4927,-0.0968969056976793,-0.175453452479339,60260926702.1277,60260926702.1277,106877870
2,Argentina,corn,0.0352380952380952,-0.0123333333333333,162842614.766773,3088778.23634857,175309035.036,-12466420.269227,-165931393.003121,-0.00404786324786337,-0.0245145555555555,6768688611.42857,6768688611.42857,33087165
2,Brazil,corn,0.055223880597015,-0.0138059701492538,799241855.083866,15171372.4674026,549449705.576202,249792149.507664,-814413227.55127,0.021292442003096,-0.0274213354867454,29699984085.2,29699984085.2,79881614
2,China,corn,0.334782608695652,-0.0334782608695653,30140524043.0916,1228258084.17854,7337645697.69,22802878345.4016,-31368782127.2703,0.255924608028466,-0.0658357277882799,476470499850,476470499850,215646300
2,Mexico,corn,0.104225352112676,-0.0140704225352113,554056806.708244,10518646.7921904,201844303.3096,352212503.398643,-564575453.500431,0.072543748007908,-0.027942868280103,20204634965.9259,20204634965.9259,23273257
2,United States,corn,0.459709379128137,-0.0788401585204756,21171698262.0555,2108493687.94906,9173159320.56001,11998538941.4955,-23280191950.0046,0.253868246494237,-0.151464546445418,153700601865.889,153700601865.889,361091140
2,Argentina,soybean,0.156521739130435,-0.0039130434782609,2495635378.93888,69391491.4623912,886669057.574999,1608966321.36388,-2565026870.40131,0.116654064272212,-0.00781077504725907,328395947250,328395947250,53397715
2,Brazil,soybean,0.142105263157895,-0.00568421052631583,5125373957.77523,142641829.34621,2007551672.27999,3117822285.49524,-5268015787.12146,0.101041617995528,-0.0113361108033241,464711035250,464711035250,86760520
2,China,soybean,0.429473684210526,-0.0107368421052632,4052261905.21795,463047380.442947,2156348095.2,1895913810.01795,-4515309285.66092,0.231434545617014,-0.0213584044321331,211406676000,211406676000,12154000
2,United States,soybean,0.245647969052224,-0.0808181818181819,8109732740.69548,1237025346.80915,10071529201.58,-1961796460.88452,-9346758087.50464,-0.0764104002015029,-0.155104785123967,60260926702.1277,60260926702.1277,106877870
3,Argentina,corn,0.0314285714285714,-0.011,145635104.163497,2457033.96594857,156356706.924,-10721602.7605033,-148092138.129445,-0.00348131868131882,-0.0218789999999999,6768688611.42857,6768688611.42857,33087165
3,Brazil,corn,0.0492537313432837,-0.0123134328358211,714845999.216009,12068389.055516,490049737.405804,224796261.810205,-726914388.27153,0.0191617766072338,-0.0244752450434397,29699984085.2,29699984085.2,79881614
3,China,corn,0.317391304347826,-0.0317391304347826,28661574022.7632,1103961432.04376,6956469297.80999,21705104724.9533,-29765535454.8071,0.243603914155454,-0.0624708884688091,476470499850,476470499850,215646300
