Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0265251989389919,-0.0214323607427057,121818202.806729,2513571.36763925,189523281.120001,-67705078.313272,-124331774.174368,-0.0219839290092374,-0.0424053753984057,2931981452.9703,2931981452.9703,33087165
1,Brazil,corn,0.03257328990228,-0.0263192182410425,467673358.665293,9674261.91700323,593999681.704,-126326323.038708,-477347620.582296,-0.0107681362767709,-0.051945735233265,9189351511.5099,9189351511.5099,79881614
1,China,corn,0.0682302771855009,-0.0551300639658849,6114654420.98088,208062171.36307,6098822398.08002,15832022.9008636,-6322716592.34396,0.000177688281006784,-0.107220803978887,58969121268.5643,58969121268.5643,215646300
1,Mexico,corn,0.038910505836576,-0.0314396887159532,204684463.361907,4245331.86054476,218210057.632,-13525594.270093,-208929795.222452,-0.00278581053460298,-0.0618909234053507,3375774406.43564,3375774406.43564,23273257
1,United States,corn,0.21576354679803,-0.174336945812808,9137819436.45078,1245552047.37381,11545528110.36,-2407708673.90922,-10383371483.8246,-0.0509429341434559,-0.318280520950278,32623333193.0693,32623333193.0693,361091140
1,Argentina,soybean,0.0487588652482267,-0.0393971631205674,762822998.192859,22016793.8925365,903088854.9375,-140265856.74464,-784839792.085398,-0.0101696238452126,-0.077242189779186,10160765694.6163,10160765694.6163,53397715
1,Brazil,soybean,0.0479094076655055,-0.0387108013937281,1697667229.38543,48980866.955793,2044728555.1,-347061325.714565,-1746648096.34122,-0.0112474781057966,-0.0759230766429118,23005496794.5545,23005496794.5545,86760520
1,China,soybean,0.147058823529412,-0.118823529411765,1318319961.60467,143787628.897059,1955511753,-637191791.395329,-1462107590.50173,-0.0777821185400156,-0.223528027681661,6541048143.56436,6541048143.56436,12154000
1,United States,soybean,0.191011235955056,-0.154337078651685,5895018870.64051,1094431190.11242,11459338343.53,-5564319472.88949,-6989450060.75292,-0.21672578488637,-0.284854223456634,24536936738.8614,24536936738.8614,106877870
2,Argentina,corn,0.0245358090185675,-0.0198249336870028,112949650.458005,2150674.50143632,175309035.036,-62359384.5779943,-115100324.959443,-0.0202481751410016,-0.0392568393783113,2931981452.9703,2931981452.9703,33087165
2,Brazil,corn,0.0301302931596091,-0.0243452768729643,433710613.532597,8277540.35273593,549449705.576203,-115739092.043606,-441988153.885334,-0.00986567396007721,-0.0480978612399071,9189351511.5099,9189351511.5099,79881614
2,China,corn,0.0820895522388058,-0.0663283582089552,7262046207.04214,301172024.905186,7337645697.69,-75599490.6478577,-7563218231.94733,-0.000848479289243163,-0.128257265315215,58969121268.5643,58969121268.5643,215646300
