Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,-0.0639985855542597,-0.0847990098879818,-284309111.950963,-6064610.96064117,189523281.12,-473832393.070963,693698654.158648,-0.15385400845932,-0.106002337684999,-6544182603.0297,-6544182603.0297,33087165
1,Brazil,corn,-0.0785910969184226,-0.0730082607057375,-1101132483.65931,-23341543.2771557,593999681.704001,-1695132165.36331,2038381055.18713,-0.14449414599186,-0.0993816766920123,-20510632573.6901,-20510632573.6901,79881614
1,China,corn,-0.0773026300808337,-0.0740493419105085,-6858015386.09415,-235727505.883741,6098822398.08002,-12956837784.1742,13156806771.0317,-0.145419081792009,-0.099961243490204,-131619078671.436,-131619078671.436,215646300
1,Mexico,corn,-0.0938811935951583,-0.0606538625909348,-486370804.395593,-10242910.3324802,218210057.632,-704580862.027593,697551342.008691,-0.145119596870964,-0.09257816579694,-7534728475.16436,-7534728475.16436,23273257
1,United States,corn,0.0812710669794854,-0.202176889135247,3382276662.29626,469158694.185299,11545528110.36,-8163251448.06374,13012408514.5336,-0.172720223763609,-0.178704367688766,-72815279686.9307,-72815279686.9307,361091140
1,Argentina,soybean,-0.11778543514956,-0.0926913392478593,-1791194494.03148,-53185356.8787658,903088854.937501,-2694283348.96898,3740490901.4592,-0.195342250974994,-0.121095661057299,-30888727711.6337,-30888727711.6337,53397715
1,Brazil,soybean,-0.115733424084237,-0.0943493641886407,-3981312065.02757,-118321718.502269,2044728555.1,-6026040620.12757,8546813956.80779,-0.195290442690433,-0.122207835135372,-69936710255.4455,-69936710255.4455,86760520
1,China,soybean,-0.00227501657289667,-0.186023757457804,-19586553.4312668,-2224410.82328461,1955511753,-1975098306.43127,3708829796.23635,-0.241100611579767,-0.186515948914684,-19884786356.4356,-19884786356.4356,12154000
1,United States,soybean,0.0668460205890916,-0.24187355548469,1947002183.41151,383005583.424486,11459338343.53,-9512336160.11848,17037172902.9261,-0.370497871383746,-0.228403946727217,-74592287686.1386,-74592287686.1386,106877870
2,Argentina,corn,-0.0591347680184958,-0.0783943376129471,-264019478.32035,-5183429.55920011,175309035.036,-439328513.356349,642137077.473042,-0.142650552808924,-0.098123343498355,-6544182603.0297,-6544182603.0297,33087165
2,Brazil,corn,-0.07261826561229,-0.0674996715571618,-1022035453.75902,-19950042.3300636,549449705.576201,-1571485159.33523,1887256124.99783,-0.133954396404459,-0.0920135504459624,-20510632573.6901,-20510632573.6901,79881614
2,China,corn,-0.05242561852014,-0.0838153304076182,-4594147326.58983,-192340307.091521,7337645697.69,-11931793024.2798,13320258134.3504,-0.133914649131626,-0.101203095089293,-131619078671.436,-131619078671.436,215646300
2,Mexico,corn,-0.086746332852035,-0.0560841932274477,-451198264.023637,-8754626.55959083,201844303.3096,-653042567.333237,645920529.663108,-0.134504468143314,-0.0857257871723132,-7534728475.16436,-7534728475.16436,23273257
2,United States,corn,0.0471179998306489,-0.164246574035056,2063921245.52165,216110459.656331,9173159320.55999,-7109238075.03835,10921642656.7607,-0.150419131264252,-0.149991082966628,-72815279686.9307,-72815279686.9307,361091140
2,Argentina,soybean,-0.112443301435486,-0.0899818564593553,-1713379645.36391,-49849998.0572118,886669057.574999,-2600048702.93891,3619506594.41086,-0.188510004514209,-0.117178882477819,-30888727711.6337,-30888727711.6337,53397715
2,Brazil,soybean,-0.110484358901766,-0.0915646820266005,-3808513214.10358,-110901529.737012,2007551672.27999,-5816064886.38357,8269415348.20005,-0.188485600741617,-0.118241411670578,-69936710255.4455,-69936710255.4455,86760520
2,China,soybean,0.0184133195395647,-0.195714006207196,155735779.310888,19852763.2577246,2156348095.2,-2000612315.88911,3813460124.77322,-0.244215111381679,-0.191777777061156,-19884786356.4356,-19884786356.4356,12154000
2,United States,soybean,0.048356877713663,-0.219908401211868,1463088367.10431,243513852.995195,10071529201.58,-8608440834.47569,15655584464.3689,-0.33529187272398,-0.209882079635938,-74592287686.1386,-74592287686.1386,106877870
3,Argentina,corn,-0.0593848029580867,-0.0745693620706607,-266236668.291554,-4642606.11592853,156356706.924,-422593375.215554,618189762.573306,-0.137216631188677,-0.0944640148468822,-6544182603.0297,-6544182603.0297,33087165
3,Brazil,corn,-0.0729253117758902,-0.0636286309458739,-1030618780.30402,-17868514.9430056,490049737.405802,-1520668517.70982,1812080615.95672,-0.129622753489605,-0.088348353442846,-20510632573.6901,-20510632573.6901,79881614
3,China,corn,-0.0528275936682228,-0.0798675871768688,-4649378199.32722,-183746766.715087,6956469297.80998,-11605847497.1372,12828144209.8753,-0.1302564494952,-0.0974641696277066,-131619078671.436,-131619078671.436,215646300
3,Mexico,corn,-0.0871131156233406,-0.052164885437135,-454987752.908015,-7841195.16702733,180023297.5464,-635011050.454415,618265221.023507,-0.130790591423903,-0.082055408242169,-7534728475.16436,-7534728475.16436,23273257
3,United States,corn,0.0615248444721251,-0.17226435719427,2664145239.29222,300028109.469436,9753071691.40001,-7088926452.10779,11201077565.1281,-0.149989372597636,-0.153828669110208,-72815279686.9307,-72815279686.9307,361091140
3,Argentina,soybean,-0.108392368332588,-0.082685557866428,-1663484905.28668,-42714737.3679012,788150273.399999,-2451635178.68667,3370360963.44392,-0.17774965448879,-0.109112974639436,-30888727711.6337,-30888727711.6337,53397715
3,Brazil,soybean,-0.106503999546306,-0.0842113598457443,-3697742149.8185,-95027681.0638648,1784490375.36,-5482232525.1785,7702491949.13406,-0.17766684366481,-0.110135176804864,-69936710255.4455,-69936710255.4455,86760520
3,China,soybean,0.012506684038825,-0.180371992182529,107982668.391855,12294583.7270006,1966082086.8,-1858099418.40814,3532481189.62616,-0.226818535915646,-0.177647429864535,-19884786356.4356,-19884786356.4356,12154000
