Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0614722622532853,-0.0496695879006543,322473625.466714,-38446401.9723687,314372148.796106,8101476.67060757,-284027223.494345,0.00213200020576194,-0.0968721078390881,2931981452.9703,2931981452.9703,33087165
1,Brazil,corn,0.0754887389885617,-0.060994901102758,1234792259.32478,-147972946.873759,985298245.249636,249494014.07514,-1086819312.45102,0.0178354062755682,-0.118269424244981,9189351511.5099,9189351511.5099,79881614
1,China,corn,0.124413828867755,-0.100526373725146,12682696796.8424,-1422708461.49291,8609830102.70816,4072866694.1342,-11259988335.3494,0.0393191969312236,-0.190947195635964,58969121268.5643,58969121268.5643,215646300
1,Mexico,corn,0.090175264083613,-0.0728616133795592,538941972.099256,-64934593.5897978,361956400.824758,176985571.274498,-474007378.509459,0.0311354660169318,-0.140414412054846,3375774406.43564,3375774406.43564,23273257
1,United States,corn,0.267684898007836,-0.216289397590332,13185773532.6054,-599766892.116001,12934686355.1534,251087177.452049,-12586006640.4894,0.00454241084131648,-0.385797691670675,32623333193.0693,32623333193.0693,361091140
1,Argentina,soybean,0.120124600165015,-0.097060676933332,2463494729.36138,-586795423.90586,1563990205.89868,899504523.4627,-1876699305.45552,0.0470229242204783,-0.184700578859907,10160765694.6163,10160765694.6163,53397715
1,Brazil,soybean,0.118031837095938,-0.0953697243735178,5484258535.34476,-1305446593.58164,3541108293.40163,1943150241.94312,-4178811941.76311,0.0452534218643648,-0.181644064419955,23005496794.5545,23005496794.5545,86760520
1,China,soybean,0.211049720974671,-0.170528174547534,2559329590.64642,-518676344.790549,2380970589.93336,178359000.71306,-2040653245.85587,0.0153395861635687,-0.311976490780555,6541048143.56436,6541048143.56436,12154000
1,United States,soybean,0.244217150684823,-0.197327457753336,10476094267.8303,-1747893896.53196,13055329740.8865,-2579235473.0562,-8728200371.29832,-0.0668866867371054,-0.355716789923278,24536936738.8614,24536936738.8614,106877870
2,Argentina,corn,0.0579781900748616,-0.0468463775804881,304944117.110402,-36673173.6246909,294782404.50689,10161712.6035113,-268270943.48571,0.00267417586230673,-0.0914981720685625,2931981452.9703,2931981452.9703,33087165
2,Brazil,corn,0.0711979728280873,-0.0575279620450947,1168025605.27227,-141148125.547837,923900501.375161,244125103.897106,-1026877479.72443,0.0174516027016138,-0.111746457673127,9189351511.5099,9189351511.5099,79881614
2,China,corn,0.135854062508413,-0.109770082506798,13704925181.2771,-1469381284.68983,9740539346.81443,3964385834.46266,-12235543896.5873,0.0382719295873558,-0.207490694000046,58969121268.5643,58969121268.5643,215646300
2,Mexico,corn,0.0850497185144858,-0.0687201725597043,509965307.245765,-61939674.528682,339401497.780212,170563809.465552,-448025632.717083,0.0300057437173599,-0.132717883002773,3375774406.43564,3375774406.43564,23273257
2,United States,corn,0.221114394712208,-0.178660430927464,11373380271.4868,-757704839.653322,10502505908.3425,870874363.144363,-10615675431.8335,0.015754962832887,-0.325401312275741,32623333193.0693,32623333193.0693,361091140
2,Argentina,soybean,0.113701475197648,-0.0918707919596997,2337548501.37874,-556352644.403685,1496297251.75286,841251249.625874,-1781195856.97505,0.0439776485050444,-0.175301341504097,10160765694.6163,10160765694.6163,53397715
2,Brazil,soybean,0.111720613260407,-0.0902702555144088,5203679214.25433,-1237720396.03268,3387841296.95463,1815837917.2997,-3965958818.22165,0.0422884847168077,-0.172391791998181,23005496794.5545,23005496794.5545,86760520
2,China,soybean,0.221188604151786,-0.178720392154643,2650492235.48585,-521382335.43682,2548799558.76484,101692676.721008,-2129109900.04903,0.00874597620826216,-0.325499805737377,6541048143.56436,6541048143.56436,12154000
2,United States,soybean,0.21695655255978,-0.175300894468302,9551997341.84468,-1703333395.30248,11543702547.9937,-1991705206.14899,-7848663946.54219,-0.0516504071024178,-0.319871385335218,24536936738.8614,24536936738.8614,106877870
3,Argentina,corn,0.0535128663830375,-0.0432383960374944,282422639.969493,-34355801.4895299,269353809.721081,13068830.2484112,-248066838.479963,0.00343921854145028,-0.0846072331830935,2931981452.9703,2931981452.9703,33087165
3,Brazil,corn,0.065714497154414,-0.0530973137007667,1082180991.38527,-132228997.456492,844202761.236379,237978230.14889,-949951993.928778,0.0170121853832045,-0.103375302679296,9189351511.5099,9189351511.5099,79881614
3,China,corn,0.128675269195757,-0.103969617510172,13040816858.2275,-1416260303.12003,9229109819.14997,3811707039.07753,-11624556555.1075,0.036797978173327,-0.197129553655133,58969121268.5643,58969121268.5643,215646300
3,Mexico,corn,0.0784994187797869,-0.0634275303740676,472678868.874524,-58025716.1327535,310123959.417004,162554909.45752,-414653152.74177,0.0285968105922617,-0.122832009138782,3375774406.43564,3375774406.43564,23273257
3,United States,corn,0.22925852463608,-0.185240887905952,11686045122.7798,-719137849.649169,11010358680.9429,675686441.836937,-10966907273.1307,0.0122238238124159,-0.336167589259719,32623333193.0693,32623333193.0693,361091140
3,Argentina,soybean,0.106592087676755,-0.0861264068428184,2201666744.04091,-526816364.509543,1381199487.47536,820467256.565548,-1674850379.53137,0.0428911346463788,-0.164835055729982,10160765694.6163,10160765694.6163,53397715
3,Brazil,soybean,0.104735082664965,-0.0846259467932918,4900979752.28829,-1172010892.5089,3127242703.62721,1773737048.66108,-3728968859.77939,0.0413080106761311,-0.162090342715922,23005496794.5545,23005496794.5545,86760520
3,China,soybean,0.205274940301574,-0.165862151763671,2493278064.33722,-503399316.424949,2347860741.81074,145417322.52648,-1989878747.91227,0.0125064703191458,-0.304214050139668,6541048143.56436,6541048143.56436,12154000
3,United States,soybean,0.210995290746451,-0.170484194923132,9338970604.87265,-1685813442.03926,11226104624.0774,-1887134019.20472,-7653157162.83339,-0.0489385879234651,-0.311903529127676,24536936738.8614,24536936738.8614,106877870
4,Argentina,corn,0.0502334662305757,-0.040588640714305,266144450.880396,-32964424.2718461,243423861.175631,22720589.7047653,-233180026.60855,0.00597919415127556,-0.0795298436735752,2931981452.9703,2931981452.9703,33087165
4,Brazil,corn,0.0616873510388499,-0.0498433796393909,1020100840.89751,-126873849.079755,762933689.217484,257167151.680023,-893226991.817753,0.0183839305642119,-0.0972023967849051,9189351511.5099,9189351511.5099,79881614
4,China,corn,0.142592822042332,-0.115215000210205,14293383141.1174,-1487913882.93836,10422890674.2783,3870492466.83902,-12805469258.179,0.0373654889671787,-0.217155504146972,58969121268.5643,58969121268.5643,215646300
4,Mexico,corn,0.0736887812020506,-0.0595405352112567,445699185.174959,-55675729.9305246,280269180.979967,165430004.194992,-390023455.244434,0.0291025999277955,-0.115535995089271,3375774406.43564,3375774406.43564,23273257
4,United States,corn,0.257883809926806,-0.208370118420859,12797605484.4824,-618593229.865793,12514299853.5938,283305630.888535,-12179012254.6166,0.00512527394753101,-0.373322130590995,32623333193.0693,32623333193.0693,361091140
4,Argentina,soybean,0.107439015919574,-0.0868107248630161,2221202682.29181,-533648378.243309,1364412995.46361,856789686.828197,-1687554304.0485,0.0447899432028596,-0.16608534777479,10160765694.6163,10160765694.6163,53397715
4,Brazil,soybean,0.105567256060349,-0.0852983428967616,4944488052.87091,-1187210106.22581,3089235569.14791,1855252483.723,-3757277946.64509,0.0432063983003559,-0.16332087849259,23005496794.5545,23005496794.5545,86760520
4,China,soybean,0.191725922064611,-0.154914545028205,2361083740.22288,-491452196.126412,2146788337.93717,214295402.285717,-1869631544.09647,0.0184302601756933,-0.285830573795115,6541048143.56436,6541048143.56436,12154000
4,United States,soybean,0.236742372741097,-0.191287837174806,10216654429.7876,-1727251261.95924,12692331625.3535,-2475677195.56588,-8489403167.82836,-0.0642011350928728,-0.345984637698598,24536936738.8614,24536936738.8614,106877870
5,Argentina,corn,0.0374947741058998,-0.030295777477567,200189013.457893,-25226770.7775818,181331420.042653,18857593.4152408,-174962242.680312,0.00496260060679199,-0.0596737208221638,2931981452.9703,2931981452.9703,33087165
5,Brazil,corn,0.0460440711333034,-0.0372036094757092,768128110.639981,-97093080.7712619,568324931.648217,199803178.991764,-671035029.868718,0.014283191866058,-0.0730231103933972,9189351511.5099,9189351511.5099,79881614
5,China,corn,0.115716545151063,-0.0934989684820587,11790736662.6464,-1279144066.52977,8602299385.14814,3188437277.49829,-10511592596.1167,0.0307809713972139,-0.178255879856908,58969121268.5643,58969121268.5643,215646300
5,Mexico,corn,0.0550020616261644,-0.0444416657939406,335989824.117572,-42607110.7825007,208778253.437615,127211570.679956,-293382713.335071,0.0223791776207748,-0.0869082699293412,3375774406.43564,3375774406.43564,23273257
5,United States,corn,0.168021792464726,-0.135761608311498,9009634071.63864,-752929351.071409,8027624656.99458,982009414.644058,-8256704720.56722,0.0177655038246861,-0.253092002331672,32623333193.0693,32623333193.0693,361091140
5,Argentina,soybean,0.0717165795944592,-0.0579469963123233,1510855704.6598,-367402371.795458,877607807.035062,633247897.624733,-1143453332.86434,0.0331039668240421,-0.112536138243026,10160765694.6163,10160765694.6163,53397715
5,Brazil,soybean,0.07046716183149,-0.0569374667598435,3362530288.79911,-817361818.436992,1987035642.63061,1375494646.1685,-2545168470.36211,0.0320334671769866,-0.110633058398659,23005496794.5545,23005496794.5545,86760520
5,China,soybean,0.170823769302504,-0.138025605596423,2123438055.14676,-442387744.312907,1981389525.11355,142048530.033216,-1681050310.83386,0.0122167407147468,-0.257000143392587,6541048143.56436,6541048143.56436,12154000
5,United States,soybean,0.167809849162294,-0.135590358123133,7703303138.89945,-1500464389.88977,8979051828.131,-1275748689.23154,-6202838749.00968,-0.0330836807353587,-0.252795971030307,24536936738.8614,24536936738.8614,106877870
6,Argentina,corn,0.0431269474378593,-0.0348465735297904,228568863.31216,-27790105.9825837,229880929.439678,-1312066.1275177,-200778757.329576,-0.000345285849429129,-0.0684788633728136,2931981452.9703,2931981452.9703,33087165
6,Brazil,corn,0.0529604533683156,-0.0427920463215993,876594019.577263,-106958874.308509,720487731.692076,156106287.885187,-769635145.268757,0.0111594623900059,-0.0837529334148083,9189351511.5099,9189351511.5099,79881614
6,China,corn,0.115176371787091,-0.0930625084039699,11721628403.4788,-1256709484.69138,8721098603.20042,3000529800.27838,-10464918918.7874,0.0289669245215084,-0.177464386337501,58969121268.5643,58969121268.5643,215646300
6,Mexico,corn,0.0632640435177936,-0.0511173471623772,383236914.783658,-46936491.9789737,264676353.032157,118560561.751501,-336300422.804684,0.0208572840982439,-0.0996217111438354,3375774406.43564,3375774406.43564,23273257
6,United States,corn,0.158655602695854,-0.12819372697825,8564144270.14472,-736050773.651215,7618873880.6599,945270389.484818,-7828093496.4935,0.0171008591866117,-0.239953822319926,32623333193.0693,32623333193.0693,361091140
6,Argentina,soybean,0.0729732663518604,-0.0589623992123034,1536722037.72821,-373840348.869714,889245688.669293,647476349.058922,-1162881688.8585,0.033847780085802,-0.114448233903735,10160765694.6163,10160765694.6163,53397715
6,Brazil,soybean,0.0717019550913752,-0.0579351797138311,3420121993.28118,-831684416.907852,2013385551.35585,1406736441.92532,-2588437576.37332,0.0327610476453758,-0.112513874379188,23005496794.5545,23005496794.5545,86760520
6,China,soybean,0.141743914503099,-0.114529082918504,1808028194.62531,-395546049.469934,1587208790.27193,220819404.353384,-1412482145.15538,0.0189913504007348,-0.215941255002855,6541048143.56436,6541048143.56436,12154000
6,United States,soybean,0.148257663215399,-0.119792191878042,6943316388.28228,-1416758715.14996,7777953426.20259,-834637037.920303,-5526557673.13232,-0.0216444394774127,-0.225234214521139,24536936738.8614,24536936738.8614,106877870
