Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0297088532382648,-0.0192038027332146,136596131.644095,2815259.67201425,189523281.12,-52927149.4759054,-139411391.31611,-0.0171855158538604,-0.0380388194270128,3664976816.21287,3664976816.21287,33087165
1,Brazil,corn,0.0375093773443362,-0.0242460615153789,539120978.674574,11140279.1017255,593999681.704001,-54878703.0294266,-550261257.776302,-0.00467789561746554,-0.0479042515317505,11486689389.3874,11486689389.3874,79881614
1,China,corn,0.0824317362184442,-0.0532838742916023,7394610559.43894,251368259.580835,6098822398.08001,1295788161.35893,-7645978819.01978,0.0145430797051367,-0.103728577323681,73711401585.7054,73711401585.7054,215646300
1,Mexico,corn,0.0461680517082179,-0.0298430286241921,243063056.30351,5037166.6120037,218210057.632,24852998.6715097,-248100222.915514,0.00511886902216606,-0.0587954508909198,4219718008.04455,4219718008.04455,23273257
1,United States,corn,0.256620576517459,-0.165879540660886,10925368329.5742,1481410039.93956,11545528110.36,-620159780.785774,-12406778369.5138,-0.0131215039482725,-0.304243059311905,40779166491.3366,40779166491.3366,361091140
1,Argentina,soybean,0.0569122516556292,-0.0367880794701985,891600226.763943,25698410.0897985,903088854.937498,-11488628.1735554,-917298636.853739,-0.000832954146747719,-0.0722227961492916,12700957118.2704,12700957118.2704,53397715
1,Brazil,soybean,0.0557583130575834,-0.0360421735604217,1978558687.2479,57005307.4465231,2044728555.1,-66169867.8521004,-2035563994.69441,-0.00214441680702288,-0.0707853088458839,28756870993.1931,28756870993.1931,86760520
1,China,soybean,0.168734038672017,-0.109069682597592,1521327428.62068,164980697.877143,1955511753,-434184324.379318,-1686308126.49782,-0.0530009599042934,-0.206243169533245,8176310179.45544,8176310179.45544,12154000
1,United States,soybean,0.213852301317153,-0.138234127571407,6668216763.1036,1225302938.16789,11459338343.53,-4791121580.4264,-7893519701.27148,-0.186610346523603,-0.257359581117387,30671170923.5767,30671170923.5767,106877870
2,Argentina,corn,0.027480689245395,-0.0177635175282235,126640497.125278,2408806.55686719,175309035.036,-48668537.9107218,-129049303.682146,-0.015802739012606,-0.0352114925014714,3664976816.21287,3664976816.21287,33087165
