Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0239578342117872,-0.023229516051749,109925460.258218,2270283.67417345,189523281.12,-79597820.8617821,-112195743.932392,-0.0258455183379116,-0.0459194216874995,2443317877.47525,2443317877.47525,33087165
1,Brazil,corn,0.0287852619458838,-0.0279101899827288,412946435.007846,8549218.21681063,593999681.704001,-181053246.696156,-421495653.224655,-0.0154330941238482,-0.0550414012605857,7657792926.25825,7657792926.25825,79881614
1,China,corn,0.0582029829028739,-0.0564336122226265,5212414325.41605,177484827.881557,6098822398.08002,-886408072.663971,-5389899153.29762,-0.00994846506276879,-0.109682471856759,49140934390.4703,49140934390.4703,215646300
1,Mexico,corn,0.0336247478143914,-0.0326025554808339,176772657.804429,3668629.07921991,218210057.632001,-41437399.8275719,-180441286.883649,-0.00853468932019147,-0.064142184337787,2813145338.69637,2813145338.69637,23273257
1,United States,corn,0.186129525752167,-0.180471188169301,7852690119.17067,1074481835.86981,11545528110.36,-3692837991.18933,-8927171955.04049,-0.0781340386510164,-0.328372526579363,27186110994.2244,27186110994.2244,361091140
1,Argentina,soybean,0.0426488833746898,-0.0413523573200992,666548918.204195,19257865.6256058,903088854.937498,-236539936.733303,-685806783.829802,-0.0171497343457391,-0.0809946971842693,8467304745.51361,8467304745.51361,53397715
1,Brazil,soybean,0.0419975565058035,-0.0407208307880268,1486611940.35196,42936801.5159212,2044728555.1,-558116614.748043,-1529548741.86787,-0.0180873060169853,-0.0797834755159868,19171247328.7954,19171247328.7954,86760520
1,China,soybean,0.130318399549169,-0.126356720202874,1163060643.93764,127419580.975275,1955511753,-792451109.062362,-1290480224.91291,-0.0967346518499223,-0.236747419665321,5450873452.9703,5450873452.9703,12154000
1,United States,soybean,0.172578526215216,-0.167332139018273,5281682882.18764,988817861.363958,11459338343.53,-6177655461.34235,-6270500743.55159,-0.240614730182223,-0.306664233288115,20447447282.3845,20447447282.3845,106877870
2,Argentina,corn,0.0221609966459033,-0.0214873023478676,101930018.428228,1942511.46871467,175309035.036,-73379016.6077724,-103872529.896942,-0.0238262643225788,-0.0425129005335467,2443317877.47525,2443317877.47525,33087165
2,Brazil,corn,0.0266263672999426,-0.0258169257340242,382982394.143151,7314924.83675863,549449705.576203,-166467311.433052,-390297318.979908,-0.0141897797071915,-0.0509673378136924,7657792926.25825,7657792926.25825,79881614
2,China,corn,0.07002546380502,-0.0678966897053474,6189564761.52875,256911021.608826,7337645697.68999,-1148080936.16124,-6446475783.13758,-0.012885310315716,-0.131183418937751,49140934390.4703,49140934390.4703,215646300
2,Mexico,corn,0.031102891728312,-0.0301573638197713,163976662.452458,3138970.75590753,201844303.309601,-37867640.8571424,-167115633.208366,-0.00779944087585473,-0.0594052610469847,2813145338.69637,2813145338.69637,23273257
2,United States,corn,0.147883732789393,-0.143388067312596,6559097115.93445,678280520.898114,9173159320.55999,-2614062204.62554,-7237377636.83256,-0.055309016485338,-0.26621599677755,27186110994.2244,27186110994.2244,361091140
2,Argentina,soybean,0.0418734491315135,-0.0406004962779155,655032096.103105,18563945.8394269,886669057.574998,-231636961.471893,-673596041.942532,-0.0167942564319536,-0.079552592257818,8467304745.51361,8467304745.51361,53397715
2,Brazil,soybean,0.0412339645693343,-0.0399804520464262,1460916589.3756,41389657.2629506,2007551672.27999,-546635082.904392,-1502306246.63855,-0.0177152153561588,-0.078362467547016,19171247328.7954,19171247328.7954,86760520
2,China,soybean,0.143702451394759,-0.139333896872358,1258223723.53539,154936253.67033,2156348095.2,-898124371.664604,-1413159977.20573,-0.109634206347068,-0.25925385892708,5450873452.9703,5450873452.9703,12154000
2,United States,soybean,0.15167801265974,-0.147067001074883,4808222975.64917,763814766.870095,10071529201.58,-5263306225.93083,-5572037742.51926,-0.205001560113483,-0.272505299344607,20447447282.3845,20447447282.3845,106877870
3,Argentina,corn,0.0197652132247244,-0.0191643507426929,91206626.6611891,1545211.8257343,156356706.924,-65150080.2628112,-92751838.4869237,-0.0211543177428538,-0.0379614291459967,2443317877.47525,2443317877.47525,33087165
3,Brazil,corn,0.0237478411053543,-0.0230259067357512,342776336.329819,5818811.6488168,490049737.4058,-147273401.075981,-348595147.978633,-0.012553678557111,-0.0455216210904992,7657792926.25825,7657792926.25825,79881614
3,China,corn,0.0663877773735903,-0.0643695889414332,5891838517.5046,230912267.524613,6956469297.80999,-1064630780.30539,-6122750785.02922,-0.0119487202894998,-0.124595733902377,49140934390.4703,49140934390.4703,215646300
3,Mexico,corn,0.0277404169468729,-0.026897108271688,146798806.383758,2496960.66704406,180023297.5464,-33224491.1626415,-149295767.050802,-0.00684311059754081,-0.0530707621099971,2813145338.69637,2813145338.69637,23273257
3,United States,corn,0.157232704402516,-0.15245283018868,6890592273.28913,766750919.135222,9753071691.40001,-2862479418.11088,-7657343192.42436,-0.0605650933038582,-0.281663794944821,27186110994.2244,27186110994.2244,361091140
3,Argentina,soybean,0.0372208436724564,-0.0360893300248138,585462747.499579,14667809.0583125,788150273.399998,-202687525.900419,-600130556.557892,-0.0146953502752751,-0.0708762203079876,8467304745.51361,8467304745.51361,53397715
3,Brazil,soybean,0.0366524129505195,-0.0355381795968234,1305706961.38302,32702939.0719612,1784490375.36,-478783413.976986,-1338409900.45497,-0.0155162951534208,-0.069813396984591,19171247328.7954,19171247328.7954,86760520
3,China,soybean,0.131022823330515,-0.127039729501268,1168182012.17626,128800812.956044,1966082086.8,-797900074.623741,-1296982825.1323,-0.0973998080728039,-0.237940366130781,5450873452.9703,5450873452.9703,12154000
3,United States,soybean,0.147497909948645,-0.143013973486205,4708034938.18462,722294858.825372,9793967373.19,-5085932435.00537,-5430329797.00998,-0.19809299308316,-0.265574950360098,20447447282.3845,20447447282.3845,106877870
4,Argentina,corn,0.0161715380929564,-0.0156799233349306,74986961.8812409,1034397.99904528,127928214.756,-52941252.8747592,-76021359.8802862,-0.0171900952462327,-0.0311139866740718,2443317877.47525,2443317877.47525,33087165
4,Brazil,corn,0.0194300518134717,-0.0188393782383419,281922956.766093,3895237.55003438,400949785.150201,-119026828.384108,-285818194.316126,-0.0101459227008386,-0.0373238343042768,7657792926.25825,7657792926.25825,79881614
4,China,corn,0.0773008366678793,-0.0749508912331757,6777189439.90792,313068330.430725,8099998497.45,-1322809057.54208,-7090257770.33865,-0.0148463445894861,-0.144284146369704,49140934390.4703,49140934390.4703,215646300
4,Mexico,corn,0.0226967047747141,-0.0220067249495629,120782317.424836,1671519.12421956,147291788.9016,-26509471.4767637,-122453836.549056,-0.00546004585321766,-0.04352915395612,2813145338.69637,2813145338.69637,23273257
4,United States,corn,0.181030086690464,-0.175526772055074,7689773477.30214,1016412635.50755,11229212271.72,-3539438794.41785,-8706186112.8097,-0.0748883780511813,-0.320243896402074,27186110994.2244,27186110994.2244,361091140
4,Argentina,soybean,0.0348945409429282,-0.033833746898263,550376948.628328,12891629.0551577,738890881.3125,-188513932.684172,-563268577.683483,-0.013667729477958,-0.0665227713673504,8467304745.51361,8467304745.51361,53397715
4,Brazil,soybean,0.0343616371411119,-0.0333170433720219,1227435168.87169,28742817.5437158,1672959726.89999,-445524558.028301,-1256177986.41541,-0.0144384503277651,-0.0655240613649909,19171247328.7954,19171247328.7954,86760520
4,China,soybean,0.116229923922231,-0.112696534234996,1058001626.78763,101358600.206044,1744105077,-686103450.212371,-1159360226.99367,-0.0837527736794438,-0.212692559641412,5450873452.9703,5450873452.9703,12154000
4,United States,soybean,0.168398423504121,-0.163279111429595,5190654938.31786,941496768.562488,11181776515.14,-5991121576.82214,-6132151706.88034,-0.233349384846192,-0.299898154629952,20447447282.3845,20447447282.3845,106877870
5,Argentina,corn,0.0119789171058936,-0.0116147580258745,55859910.9917226,567570.918543363,94761640.56,-38901729.5682774,-56427481.9102664,-0.0126314433491751,-0.0230946134477494,2443317877.47525,2443317877.47525,33087165
5,Brazil,corn,0.0143926309729419,-0.0139550949913645,210101836.462094,2137304.55420266,296999840.852002,-86898004.3899078,-212239141.016297,-0.00740724126960656,-0.027715445306511,7657792926.25825,7657792926.25825,79881614
5,China,corn,0.065478355765733,-0.0634878137504547,5816999258.07831,224629235.287595,6861175197.84001,-1044175939.7617,-6041628493.36591,-0.0117191485236406,-0.122944925006097,49140934390.4703,49140934390.4703,215646300
5,Mexico,corn,0.0168123739071957,-0.016301277740417,90051027.9413558,917157.269804975,109105028.816001,-19054000.8746452,-90968185.2111611,-0.00392447350578085,-0.0323368238248637,2813145338.69637,2813145338.69637,23273257
5,United States,corn,0.113887472378039,-0.110425293217746,5270295447.32805,402272593.250315,7064387062.96001,-1794091615.63196,-5672568040.57837,-0.0379598628409109,-0.208656841053267,27186110994.2244,27186110994.2244,361091140
5,Argentina,soybean,0.0201612903225806,-0.0195483870967742,323505034.664135,4303575.92162299,426914731.424999,-103409696.760864,-327808610.585758,-0.00749746048263217,-0.038714634755463,8467304745.51361,8467304745.51361,53397715
5,Brazil,soybean,0.019853390348198,-0.0192498472816127,721388000.771116,9595133.16521075,966598953.319997,-245210952.548882,-730983133.936325,-0.0079467362559531,-0.03812913794286,19171247328.7954,19171247328.7954,86760520
5,China,soybean,0.112707805015497,-0.109281487743026,1030953642.62584,95308729.6703295,1691253408,-660299765.374158,-1126262372.29617,-0.0806029131508579,-0.206620531922723,5450873452.9703,5450873452.9703,12154000
5,United States,soybean,0.118834348501135,-0.1152217843067,3971678911.71304,468842280.718313,7890686264.23,-3919007352.51696,-4440521192.43134,-0.152642196154966,-0.217167509034581,20447447282.3845,20447447282.3845,106877870
6,Argentina,corn,0.0191662673694298,-0.0185836128413992,88514563.9586472,1452981.55147101,151618624.896,-63104060.9373531,-89967545.5101185,-0.0204899725456697,-0.0368218750165593,2443317877.47525,2443317877.47525,33087165
6,Brazil,corn,0.0230282095567071,-0.022328151986183,332679464.139508,5471499.65875883,475199745.3632,-142520281.223692,-338150963.798265,-0.012148519591995,-0.0441577576012481,7657792926.25825,7657792926.25825,79881614
6,China,corn,0.0682066205893052,-0.0661331393233904,6041027798.2529,243738319.539492,7147057497.75001,-1106029699.49712,-6284766117.79239,-0.0124133547100523,-0.127892686530014,49140934390.4703,49140934390.4703,215646300
6,Mexico,corn,0.0268997982515131,-0.0260820443846671,142483533.628594,2347922.61070074,174568046.1056,-32084512.477006,-144831456.239295,-0.00660831391739134,-0.0514838157300505,2813145338.69637,2813145338.69637,23273257
6,United States,corn,0.108788033316335,-0.105480877103519,5065696439.07392,367054698.586164,6748071224.32001,-1682374785.24609,-5432751137.66009,-0.0355961287252619,-0.19983553877251,27186110994.2244,27186110994.2244,361091140
6,Argentina,soybean,0.0201612903225806,-0.0195483870967742,323505034.664135,4303575.92162299,426914731.424999,-103409696.760864,-327808610.585758,-0.00749746048263217,-0.038714634755463,8467304745.51361,8467304745.51361,53397715
6,Brazil,soybean,0.019853390348198,-0.0192498472816127,721388000.771116,9595133.16521075,966598953.319997,-245210952.548882,-730983133.936325,-0.0079467362559531,-0.03812913794286,19171247328.7954,19171247328.7954,86760520
6,China,soybean,0.0859397013243165,-0.0833271344040576,815150582.079633,55413091.1098899,1289580723.6,-474430141.520367,-870563673.189526,-0.0579137741650513,-0.159710857480123,5450873452.9703,5450873452.9703,12154000
6,United States,soybean,0.100322465066285,-0.0972726621282694,3450333870.71154,334148241.988679,6661483881.36,-3211150010.64846,-3784482112.70022,-0.125071719881726,-0.185083353459019,20447447282.3845,20447447282.3845,106877870
7,Argentina,corn,0.0215620507906085,-0.0209065644465741,99255899.3429372,1838929.7760805,170570953.008,-71315053.6650629,-101094829.119018,-0.0231560928089993,-0.0413760444561894,2443317877.47525,2443317877.47525,33087165
7,Brazil,corn,0.0259067357512954,-0.025119170984456,372958094.332003,6924866.7556166,534599713.533602,-161641619.201599,-379882961.087619,-0.0137784346262291,-0.0496073692179657,7657792926.25825,7657792926.25825,79881614
7,China,corn,0.0491087668242998,-0.0476158603128411,4442006016.45861,126353944.849273,5145881398.38001,-703875381.921402,-4568359961.30789,-0.00789983740168698,-0.0929644504723503,49140934390.4703,49140934390.4703,215646300
7,Mexico,corn,0.0302622730329522,-0.0293422999327505,159694683.678077,2971589.55416812,196389051.8688,-36694368.1907234,-162666273.232245,-0.00755778677261884,-0.0578236293001575,2813145338.69637,2813145338.69637,23273257
7,United States,corn,0.0824409314975353,-0.0799347271800101,3961729333.44304,210792093.444654,5113772724.67999,-1152043391.23695,-4172521426.8877,-0.0243752374388797,-0.153479893750678,27186110994.2244,27186110994.2244,361091140
7,Argentina,soybean,0.0317928039702232,-0.0308263027295286,503283606.135322,10701643.6749234,673211691.862502,-169928085.72718,-513985249.810246,-0.0123202092988926,-0.0607023445190845,8467304745.51361,8467304745.51361,53397715
7,Brazil,soybean,0.0313072693952353,-0.0303555284056201,1122381097.43361,23860087.0572772,1524252195.62,-401871098.18639,-1146241184.49089,-0.0130237397350384,-0.0597895987064559,19171247328.7954,19171247328.7954,86760520
7,China,soybean,0.0880529726683571,-0.0853761622992393,832845578.901364,58171832.0741757,1321291725,-488446146.098636,-891017410.975542,-0.059624710407932,-0.163463235509532,5450873452.9703,5450873452.9703,12154000
7,United States,soybean,0.0871849994028426,-0.0845345754209958,3058549783.47833,252363376.071098,5789146706.42,-2730596922.94167,-3310913159.54942,-0.106354562173536,-0.161923056400384,20447447282.3845,20447447282.3845,106877870
8,Argentina,corn,0.0209631049353138,-0.0203258265452804,96577294.3533345,1738185.93803905,165832870.98,-69255576.6266656,-98315480.2913737,-0.0224873778745185,-0.0402385138658119,2443317877.47525,2443317877.47525,33087165
8,Brazil,corn,0.0251871042026484,-0.0244214162348878,362915651.426066,6545495.19724567,519749721.491001,-156834070.064936,-369461146.62331,-0.0133686360742282,-0.0482464268988579,7657792926.25825,7657792926.25825,79881614
8,China,corn,0.0627500909421608,-0.0608424881775191,5591503003.59076,206300113.658226,6575292897.92999,-983789894.339233,-5797803117.24899,-0.0110414150037294,-0.117983167987407,49140934390.4703,49140934390.4703,215646300
8,Mexico,corn,0.0294216543375925,-0.0285272360457296,155404381.4085,2808794.13877775,190933800.428,-35529419.0194998,-158213175.547277,-0.00731784702515446,-0.0562406688950506,2813145338.69637,2813145338.69637,23273257
8,United States,corn,0.0798912119666837,-0.0774625191228964,3850725570.45311,197955036.420126,4955614805.35999,-1104889234.90688,-4048680606.87323,-0.0233775373821646,-0.148924596376928,27186110994.2244,27186110994.2244,361091140
8,Argentina,soybean,0.0279156327543425,-0.0270669975186104,443915053.736584,8250642.59530088,591112705.050001,-147197651.313417,-452165696.331883,-0.0106721962100974,-0.0534013726825484,8467304745.51361,8467304745.51361,53397715
8,Brazil,soybean,0.0274893097128895,-0.0266536346976176,989951877.27764,18395403.2279781,1338367781.52,-348415904.242363,-1008347280.50562,-0.0112913769536519,-0.0525968531526412,19171247328.7954,19171247328.7954,86760520
8,China,soybean,0.0965060580445194,-0.0935722738799662,902497715.169318,69876935.4368131,1448135730.6,-545638015.430681,-972374650.606133,-0.0666061323596631,-0.178388777320865,5450873452.9703,5450873452.9703,12154000
8,United States,soybean,0.0818105816314345,-0.0793235399498385,2893058829.9363,222209054.488574,5432281498.49,-2539222668.5537,-3115267884.42486,-0.0989006883096509,-0.152354855909504,20447447282.3845,20447447282.3845,106877870
9,Argentina,corn,0.0185673215141351,-0.0180028749401054,85818015.3517922,1363589.13180043,146880542.868,-61062527.5162082,-87181604.4835925,-0.0198270839275845,-0.0356816463741017,2443317877.47525,2443317877.47525,33087165
9,Brazil,corn,0.0223085780080601,-0.0216303972366148,322564448.854407,5134874.19147194,460349753.320601,-137785304.466194,-327699323.045877,-0.0117449071558406,-0.0427929203886161,7657792926.25825,7657792926.25825,79881614
9,China,corn,0.0291014914514369,-0.0282168061113132,2689703799.17867,44371206.9703892,3049411199.04,-359707399.861328,-2734075006.14907,-0.00403712083711631,-0.0556374240755031,49140934390.4703,49140934390.4703,215646300
9,Mexico,corn,0.0260591795561533,-0.0252669804976462,138159937.378234,2203470.34070646,169112794.664799,-30952857.2865658,-140363407.71894,-0.00637523159301339,-0.049895540691824,2813145338.69637,2813145338.69637,23273257
9,United States,corn,0.0416454190039098,-0.0403793982661909,2097400585.02284,53790181.3540884,2583246015.56001,-485845430.53717,-2151190766.37692,-0.0102796455567727,-0.0791283007280421,27186110994.2244,27186110994.2244,361091140
9,Argentina,soybean,0.0279156327543425,-0.0270669975186104,443915053.736584,8250642.59530088,591112705.050001,-147197651.313417,-452165696.331883,-0.0106721962100974,-0.0534013726825484,8467304745.51361,8467304745.51361,53397715
9,Brazil,soybean,0.0274893097128895,-0.0266536346976176,989951877.27764,18395403.2279781,1338367781.52,-348415904.242363,-1008347280.50562,-0.0112913769536519,-0.0525968531526412,19171247328.7954,19171247328.7954,86760520
9,China,soybean,0.0528317836010142,-0.0512256973795436,523204243.569325,20941859.5467032,792775035,-269570791.430675,-544146103.116031,-0.0329065558237514,-0.0998273226870666,5450873452.9703,5450873452.9703,12154000
9,United States,soybean,0.042995342171265,-0.0416882837692581,1607927917.9111,61374166.8958799,2854921663.44,-1246993745.5289,-1669302084.80697,-0.0485694071961337,-0.0816386545348903,20447447282.3845,20447447282.3845,106877870
10,Argentina,corn,0.0137757546717777,-0.0133569717297557,64084133.9416804,750612.539773601,108975886.644001,-44891752.7023201,-64834746.4814539,-0.0145764118304636,-0.0265355347657218,2443317877.47525,2443317877.47525,33087165
10,Brazil,corn,0.0165515256188833,-0.0160483592400691,240991175.161125,2826585.27293304,341549816.979801,-100558641.818676,-243817760.434057,-0.00857168270922212,-0.03183916864584,7657792926.25825,7657792926.25825,79881614
10,China,corn,0.0318297562750091,-0.0308621316842488,2933301863.52607,53080789.5886004,3335293498.95001,-401991635.423935,-2986382653.11467,-0.00451169147018403,-0.0607717921964017,49140934390.4703,49140934390.4703,215646300
10,Mexico,corn,0.0193342299932751,-0.0187464694014796,103271521.548307,1212940.48931709,125470783.138401,-22199261.5900936,-104484462.037625,-0.00457228980576726,-0.0371415086879385,2813145338.69637,2813145338.69637,23273257
10,United States,corn,0.0586435492095869,-0.0568607853136155,2897088666.64491,106661829.832075,3637632144.35999,-740543477.715088,-3003750496.47698,-0.0156686139084898,-0.11048842172075,27186110994.2244,27186110994.2244,361091140
10,Argentina,soybean,0.0302419354838711,-0.0293225806451613,479603101.746827,9683045.82365178,640372097.137502,-160768995.390675,-489286147.570477,-0.0116561524453694,-0.0577853475546306,8467304745.51361,8467304745.51361,53397715
10,Brazil,soybean,0.029780085522297,-0.028874770922419,1069557626.81901,21589049.6217243,1449898429.97999,-380340803.160988,-1091146676.44073,-0.0123259912278805,-0.056915789449016,19171247328.7954,19171247328.7954,86760520
10,China,soybean,0.0591715976331358,-0.057372781065089,581251778.517976,26269468.6153845,887908039.2,-306656260.682024,-607521247.133364,-0.0374335858394769,-0.111453926123035,5450873452.9703,5450873452.9703,12154000
10,United States,soybean,0.0597157530156456,-0.0579003941239698,2180889827.35088,118391525.647916,3965168977,-1784279149.64912,-2299281352.99879,-0.0694962431701071,-0.112448332608229,20447447282.3845,20447447282.3845,106877870
11,Argentina,corn,0.0107810253953041,-0.010453282223287,50354666.1701851,459732.444020118,85285476.5039998,-34930810.3338146,-50814398.6142054,-0.0113420805904774,-0.0207972933373341,2443317877.47525,2443317877.47525,33087165
11,Brazil,corn,0.0129533678756479,-0.0125595854922279,189418228.522122,1731216.68890417,267299856.766801,-77881628.2446785,-191149445.211024,-0.00663867962133705,-0.0249614277967194,7657792926.25825,7657792926.25825,79881614
11,China,corn,0.0600218261185887,-0.0581971626045835,5364539034.79026,188750954.651383,6289410598.02001,-924871563.229752,-5553289989.44164,-0.0103801541503194,-0.113007415473943,49140934390.4703,49140934390.4703,215646300
11,Mexico,corn,0.0151311365164762,-0.0146711499663754,81195748.0607434,742897.388542037,98194525.9344006,-16998777.8736572,-81938645.4492855,-0.00350116775131425,-0.0291270572914147,2813145338.69637,2813145338.69637,23273257
11,United States,corn,0.0620431752507225,-0.0601570627231005,3053103236.72127,119386870.652202,3848509370.12,-795406133.398727,-3172490107.37348,-0.0168294124244037,-0.11669525325073,27186110994.2244,27186110994.2244,361091140
11,Argentina,soybean,0.0294665012406949,-0.0285707196029776,467729391.267078,9192845.60772723,623952299.774999,-156222908.507921,-476922236.874804,-0.0113265498276103,-0.0563251531873233,8467304745.51361,8467304745.51361,53397715
