Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
1,Argentina,corn,0.0242718446601941,-0.0196116504854369,111574261.725431,2300039.81941747,189523281.12,-77949019.3945694,-113874301.544848,-0.0283648236208036,-0.0388386841361108,2931981452.9703,2931981452.9703,33087165
1,Brazil,corn,0.0304878048780486,-0.0246341463414635,438112309.852878,9054873.19670726,593999681.703998,-155887371.85112,-447167183.049587,-0.0140340531323666,-0.048661451516954,9189351511.5099,9189351511.5099,79881614
1,China,corn,0.0663900414937759,-0.0536431535269711,5954439884.05028,202450536.035851,6098822398.08,-144382514.029724,-6156890420.08614,-0.00164330306755018,-0.104408719133624,58969121268.5643,58969121268.5643,215646300
1,Mexico,corn,0.037313432835821,-0.0301492537313434,196414572.091624,4071083.16477613,218210057.632001,-21795485.5403767,-200485655.256401,-0.00460290541241122,-0.0593895299621298,3375774406.43564,3375774406.43564,23273257
1,United States,corn,0.207307837940174,-0.167504733055661,8817046081.23754,1196739235.21812,11545528110.36,-2728482029.12245,-10013785316.4557,-0.0590944192070476,-0.306951630515273,32623333193.0693,32623333193.0693,361091140
1,Argentina,soybean,0.0461409395973152,-0.0372818791946311,722667354.556053,20834684.1533399,903088854.937502,-180421500.381449,-743502038.709396,-0.0135990677099109,-0.0731738198729786,10160765694.6163,10160765694.6163,53397715
1,Brazil,soybean,0.0452302631578951,-0.0365460526315789,1604551925.2786,46241805.3168178,2044728555.10001,-440176629.821411,-1650793730.59541,-0.0148744508390724,-0.071756491300208,23005496794.5545,23005496794.5545,86760520
1,China,soybean,0.137240356083086,-0.110890207715134,1236055907.72086,134187564.65319,1955511753,-719455845.279138,-1370243472.37405,-0.0932379214398295,-0.209483777263162,6541048143.56436,6541048143.56436,12154000
1,United States,soybean,0.174727932285369,-0.141180169286578,5438058216.00002,1001133247.06172,11032239025.5287,-5594180809.52864,-6439191463.06174,-0.244511329053195,-0.262428498373369,24536936738.8614,24536936738.8614,106877870
2,Argentina,corn,0.0224514563106797,-0.0181407766990291,103443990.812427,1967971.57048909,175309035.036001,-71865044.2235737,-105411962.382915,-0.0261509294117552,-0.0359524656188142,2931981452.9703,2931981452.9703,33087165
2,Brazil,corn,0.0282012195121949,-0.0227865853658538,406268936.518947,7747575.87893267,549449705.5762,-143180769.057253,-414016512.397881,-0.0128901173752655,-0.0450539422590717,9189351511.5099,9189351511.5099,79881614
2,China,corn,0.079875518672199,-0.064539419087137,7072990293.49673,293049127.96791,7337645697.69,-264655404.193268,-7366039421.46465,-0.00301220019942993,-0.124913501558169,58969121268.5643,58969121268.5643,215646300
2,Mexico,corn,0.0345149253731344,-0.0278880597014925,182178787.973713,3483320.53286157,201844303.3096,-19665515.335887,-185662108.506575,-0.00415308513360357,-0.0549983755290712,3375774406.43564,3375774406.43564,23273257
2,United States,corn,0.164710336993563,-0.133085952290799,7350137389.08113,755457081.49254,9173159320.55999,-1823021931.47886,-8105594470.57367,-0.0394836473513817,-0.248460033884449,32623333193.0693,32623333193.0693,361091140
2,Argentina,soybean,0.0453020134228186,-0.0366040268456377,710151983.244241,20083946.7739303,886669057.575,-176517074.330759,-730235930.018173,-0.0133047759868102,-0.0718681989099589,10160765694.6163,10160765694.6163,53397715
2,Brazil,soybean,0.0444078947368423,-0.0358815789473683,1576752232.90998,44575571.670691,2007551672.28,-430799439.370026,-1621327804.58066,-0.0145575767732358,-0.0704756701869807,23005496794.5545,23005496794.5545,86760520
2,China,soybean,0.1513353115727,-0.122278931750742,1338696304.6793,163165805.423146,2156348095.2,-817651790.520697,-1501862110.10245,-0.105963630582675,-0.229605726351381,6541048143.56436,6541048143.56436,12154000
2,United States,soybean,0.153567110036276,-0.124082224909311,4938087132.52344,773327816.566299,9837181153.29395,-4899094020.77051,-5711414949.08974,-0.214130367065502,-0.232768051280177,24536936738.8614,24536936738.8614,106877870
3,Argentina,corn,0.0200242718446602,-0.0161796116504854,92543644.3332916,1565464.60209102,156356706.924,-63813062.5907087,-94109108.9353824,-0.0232208984686068,-0.0320974434678103,2931981452.9703,2931981452.9703,33087165
3,Brazil,corn,0.0251524390243901,-0.0203231707317075,363555056.782346,6162973.0695089,490049737.405801,-126494680.623455,-369718029.851856,-0.0113879209569762,-0.0402333101948244,9189351511.5099,9189351511.5099,79881614
3,China,corn,0.0757261410788379,-0.0611867219917012,6732091692.89986,263393287.728282,6956469297.81,-224377604.910141,-6995484980.62814,-0.00255377466527899,-0.118629629035312,58969121268.5643,58969121268.5643,215646300
3,Mexico,corn,0.0307835820895524,-0.0248731343283584,163072799.72559,2770880.97902577,180023297.546401,-16950497.8208103,-165843680.704616,-0.00357971094600924,-0.0491275958454002,3375774406.43564,3375774406.43564,23273257
3,United States,corn,0.175123059447179,-0.141499432033321,7725185069.56534,853993876.802822,9753071691.4,-2027886621.83466,-8579178946.36816,-0.0439206785516575,-0.262976774800889,32623333193.0693,32623333193.0693,361091140
3,Argentina,soybean,0.0402684563758387,-0.032536912751678,634574394.713072,15868797.4510066,788150273.399999,-153575878.686928,-650443192.164082,-0.0115756091621957,-0.0640151748119453,10160765694.6163,10160765694.6163,53397715
3,Brazil,soybean,0.0394736842105264,-0.0318947368421053,1408885428.36487,35220204.7768423,1784490375.36,-375604946.995136,-1444105633.1417,-0.0126924442155374,-0.0627721994459834,23005496794.5545,23005496794.5545,86760520
3,China,soybean,0.137982195845697,-0.111489614243323,1241570909.50562,135642161.774778,1966082086.8,-724511177.294375,-1377213071.2804,-0.0938930674816358,-0.210549294402522,6541048143.56436,6541048143.56436,12154000
3,United States,soybean,0.149334945586457,-0.120662636033857,4832847304.93451,731290792.375432,9591279746.22739,-4758432441.29288,-5564138097.30994,-0.207982308767813,-0.226765800333075,24536936738.8614,24536936738.8614,106877870
4,Argentina,corn,0.016383495145631,-0.01323786407767,76064584.7678849,1047955.64272209,127928214.756001,-51863629.9881158,-77112540.4106073,-0.0188726263444183,-0.026300487110001,2931981452.9703,2931981452.9703,33087165
4,Brazil,corn,0.0205792682926828,-0.0166280487804879,298935561.5531,4125626.60024976,400949785.1502,-102014223.597099,-303061188.153351,-0.00918402188206839,-0.0329796055547292,9189351511.5099,9189351511.5099,79881614
4,China,corn,0.088174273858921,-0.0712448132780083,7746065478.27477,357105742.885503,8099998497.45,-353933019.175232,-8103171221.16028,-0.00402832171213072,-0.137413803136998,58969121268.5643,58969121268.5643,215646300
4,Mexico,corn,0.0251865671641792,-0.0203507462686567,134146082.872885,1854887.26695112,147291788.9016,-13145706.0287151,-136000970.139836,-0.0027761914877944,-0.0402873396636223,3375774406.43564,3375774406.43564,23273257
4,United States,corn,0.201628171147293,-0.162915562287013,8631763015.08716,1132062766.88582,11229212271.72,-2597449256.63284,-9763825781.97298,-0.0562564655373093,-0.299289644138732,32623333193.0693,32623333193.0693,361091140
4,Argentina,soybean,0.0377516778523488,-0.0305033557046982,596473582.880158,13947185.2596738,738890881.3125,-142417298.432343,-610420768.139835,-0.0107345437231668,-0.0600762567001487,10160765694.6163,10160765694.6163,53397715
4,Brazil,soybean,0.0370065789473686,-0.0299013157894736,1324265036.59227,30955258.1046466,1672959726.9,-348694690.307728,-1355220294.69691,-0.0117830926892511,-0.0589085428930056,23005496794.5545,23005496794.5545,86760520
4,China,soybean,0.122403560830861,-0.0989020771513352,1123122107.34774,106742335.943991,1744105077,-620982969.652257,-1229864443.29173,-0.080476323487851,-0.188022533437822,6541048143.56436,6541048143.56436,12154000
