Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original
1,Argentina,corn,0.042809238095238,-0.0149832333333334,196755472.891336,4558656.57006342,212975365.733992,-16219892.8426561,-201314129.461399,-0.00526662078641287,-0.0297419693855455,6768688611.42857,6768688611.42857
1,Australia,corn,0.269432432432432,-0.0875655405405405,24817929.787244,2105139.41156544,15626473.714098,9191456.07314596,-26923069.1988094,0.0993854742915153,-0.167463357190924,160769912,160769912
1,Brazil,corn,-0.0206438805970149,0.00516097014925378,-309472626.979597,2120087.1068617,-205396179.938017,-104076447.04158,307352539.872738,-0.00887154266812999,0.010348575911389,29699984085.2,29699984085.2
1,Canada,corn,0.913929268292683,-0.210203731707317,1245653698.75063,329845948.912816,721819423.79196,523834274.958669,-1575499647.66344,0.298827386715652,-0.376221854590952,4187687739.13043,4187687739.13043
1,China,corn,1.00410434782609,-0.100410434782609,79893738326.0542,11057458748.9276,22024521202.1386,57869217123.9156,-90951197074.9818,0.648987308564439,-0.190738614151985,476836834950,476836834950
1,Egypt,corn,-0.391206837606837,0.131054290598291,-1193910108.25871,115781304.409832,-591918613.274302,-601991494.984412,1078128803.84888,-0.266000595326166,0.279283808280802,3860334082.68657,3860334082.68657
1,India,corn,-0.168891304347826,0.0422228260869565,-682080244.767318,24996694.9413605,-296009259.1846,-386070985.582717,657083549.825957,-0.113214995699169,0.0862284192166825,7620266680,7620266680
1,Indonesia,corn,-0.0328811572700294,0.0129551759643917,-196712778.847836,2142151.41970738,-130296595.227196,-66416183.6206408,194570627.428129,-0.0131355840916904,0.0260781885130515,7461048428.68021,7461048428.68021
1,Mexico,corn,-0.164025633802817,0.0221434605633804,-930759801.932519,26051730.6419538,-317654381.671487,-613105420.261033,904708071.290569,-0.12627877965865,0.0447772539724827,20204634965.9259,20204634965.9259
1,Pakistan,corn,0.155140298507463,-0.0605047164179104,120814478.745509,6841508.75600503,88197700.040856,32616778.7046527,-127655987.501513,0.0446976593376059,-0.117348612127009,1087835511.53846,1087835511.53846
1,Russia,corn,0.814438655462185,-0.232115016806723,894810063.21096,337893661.951468,829758410.127814,65051653.0831466,-1232703725.16243,0.0449598971802628,-0.41035265258626,3004010617.19298,3004010617.19298
1,South Africa,corn,0.352104255319149,-0.0668998085106384,780025363.342167,73028286.9760325,414810590.175,365214773.167167,-853053650.3182,0.169421757135555,-0.129324032642517,6596250000,6596250000
1,Thailand,corn,-0.411214814814814,0.0493457777777779,-480404109.118818,24689388.4641154,-120080247.961076,-360323861.157742,455714720.654703,-0.360173893491713,0.101126561340049,4506380070.83333,4506380070.83333
1,Ukraine,corn,0.452868253968254,-0.158503888888889,1474098677.64025,270256788.470407,1193533819.61436,280564858.025893,-1744355466.11066,0.0779852590658708,-0.291884294984876,5976188154.28572,5976188154.28572
1,United States,corn,0.457186261558785,-0.0784074438573317,21072221000.3765,2085412244.12236,9122812382.9098,11949408617.4667,-23157633244.4989,0.252828734160968,-0.150667160462423,153700601865.889,153700601865.889
1,Vietnam,corn,-0.39609,0.0633744,-763688685.250823,33634292.7572741,-169831567.357288,-593857117.893536,730054392.493549,-0.3462561016875,0.13076511457536,5582944616.875,5582944616.875
1,Argentina,soybean,0.228257971014492,-0.00570644927536232,3589682245.48353,147573642.723498,1293042622.49951,2296639622.98401,-3737255888.20703,0.166512090795401,-0.0113803349873924,328395947250,328395947250
1,Brazil,soybean,-0.00540552631578979,0.000216221052631565,-201188740.983921,206396.603150877,-76365035.0005717,-124823705.983349,200982344.380737,-0.0040452559709484,0.000432488856806715,464711035250,464711035250
1,Canada,soybean,0.478438596491228,-0.119609649122807,963985558.41748,163520379.839557,683558479.7664,280427078.65108,-1127505938.25704,0.133188292071553,-0.224912830082333,5013079680,5013079680
1,China,soybean,0.479284210526315,-0.011982105263158,4459587741.27785,576740529.98813,2406674442.10104,2052913299.1768,-5036328271.26602,0.250575318595299,-0.0238206396797786,211427079162,211427079162
1,India,soybean,-0.133680459770115,0.0100260344827587,-437490399.023896,12300931.5786166,-184034848.4703,-253455550.553596,425189467.445282,-0.0976663761314928,0.0201525903329669,21098502000,21098502000
1,Japan,soybean,0.359123595505618,-0.0269342696629214,116166656.523842,10238265.3855582,57018060.1536001,59148596.370242,-126404921.9094,0.203412832791298,-0.0531430844435678,2378577066.66667,2378577066.66667
1,United States,soybean,0.149235976789168,-0.0490986363636363,5315627556.37587,456561522.462257,6118652248.4087,-803024692.032833,-5772189078.83813,-0.0312771683063655,-0.0957865966345042,60260926702.1277,60260926702.1277
2,Argentina,corn,0.0410759047619045,-0.0143765666666668,189025042.397317,4196972.80417665,204352056.443032,-15327014.0457144,-193222015.201496,-0.00497670185307973,-0.0285464476642124,6768688611.42857,6768688611.42857
2,Australia,corn,0.252275675675676,-0.0819895945945945,23436601.5156814,1845575.74608321,14631420.4977564,8805181.01792498,-25282177.2617646,0.0952087552532467,-0.157256895567403,160769912,160769912
2,Brazil,corn,-0.0891619402985073,0.0222904850746268,-1378359511.10048,39548503.0439786,-887116249.636859,-491243261.463617,1338811008.0565,-0.041873888649991,0.0450778358741158,29699984085.2,29699984085.2
2,Canada,corn,1.49819756097561,-0.34458543902439,1502401474.00508,886388585.137305,1183273298.82996,319128175.175125,-2388790059.14239,0.18205039871139,-0.570431753261149,4187687739.13043,4187687739.13043
2,China,corn,0.706665217391305,-0.0706665217391305,59534816630.4,5476777072.70809,15500344258.9857,44034472371.4144,-65011593703.1082,0.493834462062716,-0.136339286183554,476836834950,476836834950
2,Egypt,corn,-0.535017094017094,0.179230726495727,-1724340340.64221,216551342.557636,-809511864.12267,-914828476.519543,1507788998.08458,-0.404233151801968,0.390585106311639,3860334082.68657,3860334082.68657
2,India,corn,-0.154426086956522,0.0386065217391305,-620639934.273727,20898222.2896815,-270656631.940241,-349983302.333486,599741711.984046,-0.102632312575007,0.0787035069990551,7620266680,7620266680
2,Indonesia,corn,-0.102310385756677,0.0403102919881307,-634377048.930171,20739363.4067982,-405420490.860476,-228956558.069695,613637685.523373,-0.0452823085868157,0.0822455036164294,7461048428.68021,7461048428.68021
2,Mexico,corn,-0.161596901408451,0.0218155816901408,-916453456.066887,25285944.9479906,-312950863.879229,-603502592.187658,891167511.118896,-0.124300925002168,0.0441070829847609,20204634965.9259,20204634965.9259
2,Pakistan,corn,-0.0551082089552237,0.0214922014925373,-48125694.5623212,863247.311724347,-31329173.2063274,-16796521.3559937,47262447.250597,-0.0230177601664856,0.0434463177100704,1087835511.53846,1087835511.53846
2,Russia,corn,1.03645210084034,-0.295388848739496,965369067.566123,547219747.49619,1055947972.99849,-90578905.4323673,-1512588815.06231,-0.0626028406954512,-0.503523125519347,3004010617.19298,3004010617.19298
2,South Africa,corn,0.220372340425532,-0.0418707446808512,512209153.581321,28606368.8511802,259618505.625,252590647.956321,-540815522.432503,0.117175849820238,-0.0819883301015733,6596250000,6596250000
2,Thailand,corn,0.114418148148148,-0.0137301777777777,120985817.494987,1911448.7436229,33411635.7336594,87574181.7613274,-122897266.238609,0.0875377331742121,-0.0272718377737461,4506380070.83333,4506380070.83333
2,Ukraine,corn,0.584828571428571,-0.20469,1745439044.25432,450702554.366032,1541315101.15894,204123943.095388,-2196141598.62036,0.0567378918936877,-0.3674820039,5976188154.28572,5976188154.28572
2,United States,corn,0.623640686922061,-0.106954377807133,27239304774.9245,3880381798.61853,12444286846.5491,14795017928.3754,-31119686573.5431,0.313036885294245,-0.202469516682156,153700601865.889,153700601865.889
2,Vietnam,corn,0.0294790833333327,-0.00471665333333322,52355121.7827,186304.134777974,12639750.8817594,39715370.9009407,-52541425.9174776,0.0231565625651022,-0.00941105984799956,5582944616.875,5582944616.875
2,Argentina,soybean,0.435623188405797,-0.010890579710145,6576394670.09553,537500498.451805,2467731345.61013,4108663324.4854,-7113895168.54736,0.297888320695932,-0.0216625546938669,328395947250,328395947250
2,Brazil,soybean,-0.0912921052631582,0.00365168421052621,-3459022589.404,58869862.0592791,-1289703241.90862,-2169319347.49538,3400152727.34467,-0.0703027680056239,0.00731670321862593,464711035250,464711035250
2,Canada,soybean,0.760543859649123,-0.190135964912281,1311894891.65436,413207314.384655,1086610086.0384,225284805.615956,-1725102206.03901,0.106998577434083,-0.344120244671437,5013079680,5013079680
2,China,soybean,0.39818947368421,-0.00995473684210535,3790366990.04905,398083134.723463,1999465887.63503,1790901102.41402,-4188450124.77258,0.218594528317398,-0.0198103768986153,211427079162,211427079162
2,India,soybean,0.18427816091954,-0.0138208620689656,555793909.334595,23374906.39755,253691552.8233,302102356.511295,-579168815.732147,0.116411900693425,-0.0274507079096017,21098502000,21098502000
2,Japan,soybean,0.308651685393258,-0.0231488764044944,101285482.397549,7562681.44055909,49004634.016,52280848.3815489,-108848163.838108,0.179794553423647,-0.0457618823301982,2378577066.66667,2378577066.66667
2,United States,soybean,0.205502901353965,-0.0676104545454545,7007332791.73236,865741344.516543,8425587559.2273,-1418254767.49495,-7873074136.24889,-0.0552398867735328,-0.130649735527066,60260926702.1277,60260926702.1277
3,Argentina,corn,0.0231815238095236,-0.00811353333333345,108053645.876439,1336736.6003395,115327759.410737,-7274113.53429794,-109390382.47678,-0.0023619143427206,-0.0161612372435157,6768688611.42857,6768688611.42857
3,Australia,corn,0.18525045045045,-0.0602063963963965,17780818.2173311,995175.472068643,10744108.5260392,7036709.69129194,-18775993.6893998,0.076086609624778,-0.116787982625753,160769912,160769912
3,Brazil,corn,-0.107637313432836,0.0269093283582089,-1677555745.53698,57636384.1017264,-1070936876.13619,-606618869.400791,1619919361.43525,-0.0517085789932072,0.0545427686691078,29699984085.2,29699984085.2
3,Canada,corn,1.10618780487805,-0.254423195121951,1376597213.93736,483218681.235939,873664813.70532,502932400.232043,-1859815895.1733,0.286903667897313,-0.44411522802784,4187687739.13043,4187687739.13043
3,China,corn,0.747226086956522,-0.0747226086956522,62475053475.2045,6123527655.57075,16390026425.6354,46085027049.5691,-68598581130.7753,0.516830867194485,-0.143861749141021,476836834950,476836834950
3,Egypt,corn,-0.433374358974359,0.14518041025641,-1344341619.39702,142086229.24055,-655720516.44595,-688621102.951068,1202255390.15647,-0.304279420665051,0.31143817203504,3860334082.68657,3860334082.68657
3,India,corn,-0.461289130434783,0.115322282608696,-2045389119.74716,186472353.900104,-808483623.81462,-1236905495.93254,1858916765.84706,-0.362721508820242,0.243943794083471,7620266680,7620266680
3,Indonesia,corn,-0.108346439169139,0.0426884970326409,-673856904.671342,23258690.6647562,-429339272.118526,-244517632.552816,650598214.006585,-0.0483599289992986,0.0871993018441874,7461048428.68021,7461048428.68021
3,Mexico,corn,-0.135923098591549,0.0183496183098592,-766187311.761765,17889560.159055,-263230611.19749,-502956700.564275,748297751.602715,-0.103591904865817,0.037035945111836,20204634965.9259,20204634965.9259
3,Pakistan,corn,0.0170147761194032,-0.00663576268656703,14307044.0285191,82291.5267192925,9672948.51742996,4634095.51108909,-14389335.555238,0.00635051132327307,-0.0132274920267017,1087835511.53846,1087835511.53846
3,Russia,corn,1.09213949579832,-0.311259756302521,971416310.102565,607602448.327051,1112682859.03883,-141266548.936266,-1579018758.42962,-0.0976351747290272,-0.525636876711537,3004010617.19298,3004010617.19298
3,South Africa,corn,0.212415106382978,-0.0403588702127659,495112349.405712,26577820.5482047,250244165.7825,244868183.623212,-521690169.953917,0.113593427714512,-0.0790889020206809,6596250000,6596250000
3,Thailand,corn,-0.148724814814814,0.0178469777777779,-165515410.694731,3229532.81305307,-43429643.0904869,-122085767.604244,162285877.881679,-0.122034955211293,0.036012470171356,4506380070.83333,4506380070.83333
3,Ukraine,corn,0.725257142857143,-0.25384,1955783544.7062,693133494.08244,1911414457.3657,44369087.3405013,-2648917038.78864,0.0123327447176079,-0.4432452544,5976188154.28572,5976188154.28572
3,United States,corn,0.443801849405549,-0.0761120171730516,20541436001.3434,1965096090.86597,8855736376.48477,11685699624.8587,-22506532092.2094,0.247249109852992,-0.146430995187952,153700601865.889,153700601865.889
3,Vietnam,corn,-0.177440833333333,0.0283905333333332,-328255496.297032,6749967.48596649,-76081332.1169006,-252174164.180131,321505528.811065,-0.147033420000145,0.0575870890496178,5582944616.875,5582944616.875
3,Argentina,soybean,0.300376811594203,-0.00750942028985499,4658049545.50422,255558128.316001,1701583600.67587,2956465944.82834,-4913607673.82019,0.214351141951971,-0.0149624491866204,328395947250,328395947250
