Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
1,Argentina,corn,0.494900320445053,-0.173215112155768,1532541593.66645,609252540.214275,2298847673.09252,-0.248820603552089,-0.316426749232402
1,Australia,corn,0.656781857918685,-0.213454103823573,48799867.3714947,12509023.6593501,50109418.1334077,0.115783578374827,-0.381345553208021
1,Brazil,corn,0.116446665970686,-0.0291116664926716,1636604941.17326,67456708.3247249,4277083811.19083,0.0407466832950753,-0.0573758438593625
1,Canada,corn,2.07289506684727,-0.476765865374871,1344368956.39895,1696838928.66682,-Inf,-0.164304152512492,-0.726226040363092
1,China,corn,0.841756630581631,-0.0841756630581631,69126576619.626,7770889344.3127,24662384960.4872,0.568172361926965,-0.161265783865045
1,Egypt,corn,-0.877447882238407,0.293945040549866,-3185462055.71496,582462841.501947,-1004326508.98646,-0.820916197382268,0.674293767963595
1,India,corn,-0.437489089732538,0.109372272433135,-1925774438.07467,167726801.187741,-366706211.971051,-0.339877025973182,0.230706838843457
1,Indonesia,corn,-0.123753211604298,0.0487587653720934,-775664772.218099,30343727.8214774,332711907.490338,-0.0564205590990591,0.0998949479447975
1,Mexico,corn,0.028739225143874,-0.00387979539442296,155675796.239414,799766.556395874,655734451.765626,0.0206004990647646,-0.00774453797654325
1,Pakistan,corn,-0.0279690810554803,0.0109079416116374,-24083887.8395814,222361.21414826,102891135.894477,-0.0112144181170988,0.0219348664134778
1,Russia,corn,1.6644175946991,-0.474359014489244,762809370.845184,1411197782.10513,-Inf,-0.472612243464939,-0.723701554351282
1,South Africa,corn,0.844366008976308,-0.160429541705499,1526732782.48181,419962052.787802,1345659862.6064,0.246789742918177,-0.295121445559161
1,Thailand,corn,-0.129784707182294,0.0155741648618755,-143918602.920549,2459347.34794196,43215963.952149,-0.105975599930445,0.0313908843348956
1,Ukraine,corn,1.58730158730159,-0.555555555555556,1475602013.40388,3320104530.15873,-Inf,-0.589844551084861,-0.802469135802469
1,United States,corn,0.914243685605391,-0.156792792081325,36080422132.8103,8339298421.19788,23699502125.4675,0.377407733987379,-0.289001604513992
1,Vietnam,corn,-0.0279130567450322,0.00446608907920504,-50146248.8251343,167035.715201403,59493405.6640487,-0.0222601571599948,0.00895212411007354
1,Argentina,soybean,1.5062183665719,-0.0376554591642974,17840274352.9949,6425882360.48117,11159638703.1613,0.674838908406986,-0.0738929847237208
1,Brazil,soybean,0.205313858421999,-0.00821255433687993,7303828562.99361,297757769.751379,9220583196.63315,0.142701564247003,-0.0163576626250237
